transform_param,l1_distance,l2_distance,cosine_similarity
63.061363,3193.8718,42.314465,0.8525418
66.24359,3193.8718,42.314465,0.9136332
94.833885,3193.8718,42.314465,0.6565044
71.082825,3193.8718,42.314465,0.80632484
79.547676,3193.8718,42.314465,0.5613276
55.33411,3193.8718,42.314465,0.969594
58.94146,3193.8718,42.314465,0.94504297
51.794388,3193.8718,42.314465,0.64169765
71.218544,3193.8718,42.314465,0.82531065
99.446,3193.8718,42.314465,0.20144442
93.69366,3193.8718,42.314465,0.75135237
81.64545,3193.8718,42.314465,0.6728511
93.054825,3193.8718,42.314465,0.641624
79.708466,3193.8718,42.314465,0.8951719
68.438446,3193.8718,42.314465,0.66973996
58.67732,3193.8718,42.314465,0.8031748
82.652435,3193.8718,42.314465,0.9580523
59.652565,3193.8718,42.314465,0.7126725
70.87142,3193.8718,42.314465,0.80633616
91.29009,3193.8718,42.314465,0.62405336
56.461464,3193.8718,42.314465,0.80745333
56.451073,3193.8718,42.314465,0.81916714
61.22012,3193.8718,42.314465,0.79651004
77.59586,3193.8718,42.314465,0.80032164
62.586174,3193.8718,42.314465,0.8334069
75.1599,3193.8718,42.314465,0.7760846
65.09913,3193.8718,42.314465,0.75436616
75.31211,3193.8718,42.314465,0.6686784
63.881573,3193.8718,42.314465,0.88377774
99.00062,3193.8718,42.314465,0.6027668
74.635895,3193.8718,42.314465,0.7721982
87.182175,3193.8718,42.314465,0.5791282
85.02733,3530.913,45.131588,0.728303
74.52797,3530.913,45.131588,0.84699947
61.943104,3530.913,45.131588,0.8260535
75.53591,3530.913,45.131588,0.74802774
84.048584,3530.913,45.131588,0.7137351
72.995964,3530.913,45.131588,0.73759747
54.096256,3530.913,45.131588,0.82631916
50.899162,3530.913,45.131588,0.9592613
66.39384,3530.913,45.131588,0.8876325
57.511196,3530.913,45.131588,0.8176507
95.30951,3530.913,45.131588,0.5154226
58.791634,3530.913,45.131588,0.84978175
69.714134,3530.913,45.131588,0.60120404
85.603874,3530.913,45.131588,0.6883064
90.77108,3530.913,45.131588,0.45368946
73.88566,3530.913,45.131588,0.65441203
59.05675,3530.913,45.131588,0.8822938
63.54476,3530.913,45.131588,0.85921943
70.948425,3530.913,45.131588,0.73459744
68.22973,3530.913,45.131588,0.75005174
67.43364,3530.913,45.131588,0.92745036
56.59269,3530.913,45.131588,0.9723568
95.66551,3530.913,45.131588,0.5132312
51.48783,3530.913,45.131588,0.76962864
72.00011,3530.913,45.131588,0.87198025
99.016075,3530.913,45.131588,0.815264
82.9862,3530.913,45.131588,0.82630384
67.77053,3530.913,45.131588,0.95118
57.30488,3530.913,45.131588,0.8744239
98.193634,3530.913,45.131588,0.18023272
50.699318,3530.913,45.131588,0.91459584
84.06938,3530.913,45.131588,0.6891874
94.006874,3505.6702,46.20832,0.68043596
51.258026,3505.6702,46.20832,0.72555506
86.25874,3505.6702,46.20832,0.81722546
99.94189,3505.6702,46.20832,0.21496743
81.982124,3505.6702,46.20832,0.796181
70.73395,3505.6702,46.20832,0.80660474
93.72004,3505.6702,46.20832,0.42453116
77.70896,3505.6702,46.20832,0.8590452
87.472046,3505.6702,46.20832,0.7917168
79.38895,3505.6702,46.20832,0.5616288
51.914555,3505.6702,46.20832,0.91435474
60.65725,3505.6702,46.20832,0.7976141
53.93818,3505.6702,46.20832,0.8147294
55.33439,3505.6702,46.20832,0.91013384
50.770275,3505.6702,46.20832,0.7270937
71.05825,3505.6702,46.20832,0.685578
58.932583,3505.6702,46.20832,0.8532789
92.78483,3505.6702,46.20832,0.7298306
87.50188,3505.6702,46.20832,0.4973789
78.65885,3505.6702,46.20832,0.68853176
74.451065,3505.6702,46.20832,0.84158003
62.79343,3505.6702,46.20832,0.8171936
73.747574,3505.6702,46.20832,0.85048753
82.06146,3505.6702,46.20832,0.8850576
89.11144,3505.6702,46.20832,0.560707
54.084103,3505.6702,46.20832,0.87596005
85.42323,3505.6702,46.20832,0.6326408
87.1365,3505.6702,46.20832,0.78937113
77.94861,3505.6702,46.20832,0.39740318
60.71596,3505.6702,46.20832,0.9386288
76.95923,3505.6702,46.20832,0.80203074
75.13525,3505.6702,46.20832,0.8202225
73.78551,3374.1978,42.656567,0.62050796
73.032,3374.1978,42.656567,0.7815275
55.54128,3374.1978,42.656567,0.8539065
59.144623,3374.1978,42.656567,0.81967807
54.866604,3374.1978,42.656567,0.8055539
62.12389,3374.1978,42.656567,0.84154856
63.17384,3374.1978,42.656567,0.88162804
62.25379,3374.1978,42.656567,0.85109603
60.54645,3374.1978,42.656567,0.880167
86.7711,3374.1978,42.656567,0.70349014
90.92827,3374.1978,42.656567,0.5578047
66.35546,3374.1978,42.656567,0.84935534
65.25645,3374.1978,42.656567,0.7871257
92.201614,3374.1978,42.656567,0.6382874
81.1962,3374.1978,42.656567,0.69359803
64.67191,3374.1978,42.656567,0.94822186
85.68062,3374.1978,42.656567,0.8690688
67.22964,3374.1978,42.656567,0.64696133
79.32778,3374.1978,42.656567,0.6860291
99.6317,3374.1978,42.656567,0.5094434
65.07972,3374.1978,42.656567,0.8619862
96.5263,3374.1978,42.656567,0.69404894
66.03262,3374.1978,42.656567,0.6801989
77.014336,3374.1978,42.656567,0.75265956
72.99919,3374.1978,42.656567,0.86231387
89.15798,3374.1978,42.656567,0.9063775
53.054634,3374.1978,42.656567,0.8520969
81.35612,3374.1978,42.656567,0.6214664
88.03335,3374.1978,42.656567,0.8297909
73.60724,3374.1978,42.656567,0.8261656
55.26463,3374.1978,42.656567,0.9240277
62.24025,3374.1978,42.656567,0.92462766
83.98362,4253.888,50.40289,0.736443
94.771866,4253.888,50.40289,0.5393558
71.08043,4253.888,50.40289,0.7598068
78.0206,4253.888,50.40289,0.789387
61.41925,4253.888,50.40289,0.7343575
70.610664,4253.888,50.40289,0.70236427
66.83949,4253.888,50.40289,0.8567746
82.776276,4253.888,50.40289,0.7951171
99.23495,4253.888,50.40289,0.17480385
90.66518,4253.888,50.40289,0.60772526
59.60823,4253.888,50.40289,0.85968363
78.88393,4253.888,50.40289,0.7476301
53.320587,4253.888,50.40289,0.81514424
62.345776,4253.888,50.40289,0.80860543
58.610886,4253.888,50.40289,0.79777324
66.777275,4253.888,50.40289,0.81533855
83.9407,4253.888,50.40289,0.72283643
74.969666,4253.888,50.40289,0.8257482
96.64546,4253.888,50.40289,0.6315772
60.637444,4253.888,50.40289,0.76318544
68.21046,4253.888,50.40289,0.80657035
66.49263,4253.888,50.40289,0.6245149
61.79818,4253.888,50.40289,0.96409774
99.65854,4253.888,50.40289,0.034473643
69.361275,4253.888,50.40289,0.90208125
97.02545,4253.888,50.40289,0.5830541
69.523674,4253.888,50.40289,0.80628127
60.204582,4253.888,50.40289,0.9223419
55.960316,4253.888,50.40289,0.78400695
92.77816,4253.888,50.40289,0.7375522
51.60488,4253.888,50.40289,0.90659714
98.21973,4253.888,50.40289,0.4164434
70.90956,3425.978,41.806297,0.8153622
62.368717,3425.978,41.806297,0.8251082
80.87231,3425.978,41.806297,0.80203664
56.64565,3425.978,41.806297,0.8895155
53.607277,3425.978,41.806297,0.8587173
91.38917,3425.978,41.806297,0.8394965
71.233536,3425.978,41.806297,0.7469561
75.91274,3425.978,41.806297,0.87738514
58.8348,3425.978,41.806297,0.67527103
53.071213,3425.978,41.806297,0.81082726
68.38881,3425.978,41.806297,0.61963195
75.30731,3425.978,41.806297,0.77934164
88.27153,3425.978,41.806297,0.55406255
75.0526,3425.978,41.806297,0.6692787
89.12535,3425.978,41.806297,0.7256449
55.77164,3425.978,41.806297,0.7490978
53.19814,3425.978,41.806297,0.8270967
57.943047,3425.978,41.806297,0.89481765
88.60061,3425.978,41.806297,0.5956049
87.966515,3425.978,41.806297,0.8354962
57.06839,3425.978,41.806297,0.8622178
51.549435,3425.978,41.806297,0.9008066
84.2641,3425.978,41.806297,0.8662036
92.76409,3425.978,41.806297,0.5175734
87.70538,3425.978,41.806297,0.7207501
60.13995,3425.978,41.806297,0.90583634
79.18839,3425.978,41.806297,0.7009379
87.868286,3425.978,41.806297,0.7016897
62.791435,3425.978,41.806297,0.7986739
76.38604,3425.978,41.806297,0.8235115
65.72302,3425.978,41.806297,0.7223854
61.27877,3425.978,41.806297,0.8271036
98.47947,4167.99,54.398678,0.063126735
95.6291,4167.99,54.398678,0.7534714
72.28339,4167.99,54.398678,0.76932347
56.8389,4167.99,54.398678,0.8440893
86.39536,4167.99,54.398678,0.7485504
62.785057,4167.99,54.398678,0.7528823
58.42589,4167.99,54.398678,0.9474397
69.076454,4167.99,54.398678,0.84356654
76.49249,4167.99,54.398678,0.92829233
54.872017,4167.99,54.398678,0.8044866
78.587326,4167.99,54.398678,0.6904102
50.767418,4167.99,54.398678,0.79454035
94.59345,4167.99,54.398678,0.51372033
96.03709,4167.99,54.398678,0.27767947
86.65354,4167.99,54.398678,0.7771909
73.32747,4167.99,54.398678,0.8398564
62.744812,4167.99,54.398678,0.8932529
87.205605,4167.99,54.398678,0.72716916
96.58986,4167.99,54.398678,0.29051355
57.926685,4167.99,54.398678,0.84300166
73.2911,4167.99,54.398678,0.80409217
65.763084,4167.99,54.398678,0.76694554
67.83709,4167.99,54.398678,0.8556995
70.28789,4167.99,54.398678,0.82702816
97.58982,4167.99,54.398678,0.48858976
62.931858,4167.99,54.398678,0.56598234
74.63379,4167.99,54.398678,0.90911615
97.57437,4167.99,54.398678,0.32328302
73.80284,4167.99,54.398678,0.72606134
93.17998,4167.99,54.398678,0.5644846
52.93824,4167.99,54.398678,0.7991238
97.65152,4167.99,54.398678,0.21435969
59.376556,3995.123,52.356087,0.78429365
98.99675,3995.123,52.356087,0.44043142
