transform_param,l1_distance,l2_distance,cosine_similarity
63.061363,13016.938,117.31705,0.8841454
66.24359,13016.938,117.31705,0.95096016
94.833885,13016.938,117.31705,0.71022546
71.082825,13016.938,117.31705,0.74173236
79.547676,13016.938,117.31705,0.6728567
55.33411,13016.938,117.31705,0.92183584
58.94146,13016.938,117.31705,0.94309366
51.794388,13016.938,117.31705,0.82259727
71.218544,13016.938,117.31705,0.8192133
99.446,13016.938,117.31705,0.33204782
93.69366,13016.938,117.31705,0.8917284
81.64545,13016.938,117.31705,0.88394463
93.054825,13016.938,117.31705,0.74618495
79.708466,13016.938,117.31705,0.8962935
68.438446,13016.938,117.31705,0.8271168
58.67732,13016.938,117.31705,0.6688285
82.652435,13016.938,117.31705,0.9829668
59.652565,13016.938,117.31705,0.9004575
70.87142,13016.938,117.31705,0.80486006
91.29009,13016.938,117.31705,0.7129194
56.461464,13016.938,117.31705,0.81933427
56.451073,13016.938,117.31705,0.8498651
61.22012,13016.938,117.31705,0.8608504
77.59586,13016.938,117.31705,0.8641969
62.586174,13016.938,117.31705,0.8614925
75.1599,13016.938,117.31705,0.8878795
65.09913,13016.938,117.31705,0.7880193
75.31211,13016.938,117.31705,0.82301265
63.881573,13016.938,117.31705,0.7837443
99.00062,13016.938,117.31705,0.5893794
74.635895,13016.938,117.31705,0.83292145
87.182175,13016.938,117.31705,0.5797082
85.02733,11248.83,101.71432,0.8531621
74.52797,11248.83,101.71432,0.91345704
61.943104,11248.83,101.71432,0.77542955
75.53591,11248.83,101.71432,0.9073076
84.048584,11248.83,101.71432,0.90318096
72.995964,11248.83,101.71432,0.88582206
54.096256,11248.83,101.71432,0.9068476
50.899162,11248.83,101.71432,0.97030044
66.39384,11248.83,101.71432,0.9218173
57.511196,11248.83,101.71432,0.9229236
95.30951,11248.83,101.71432,0.7689846
58.791634,11248.83,101.71432,0.86018395
69.714134,11248.83,101.71432,0.6469296
85.603874,11248.83,101.71432,0.8226479
90.77108,11248.83,101.71432,0.74119437
73.88566,11248.83,101.71432,0.7044077
59.05675,11248.83,101.71432,0.937937
63.54476,11248.83,101.71432,0.871462
70.948425,11248.83,101.71432,0.73118603
68.22973,11248.83,101.71432,0.8872629
67.43364,11248.83,101.71432,0.97255826
56.59269,11248.83,101.71432,0.98072696
95.66551,11248.83,101.71432,0.55701876
51.48783,11248.83,101.71432,0.9133791
72.00011,11248.83,101.71432,0.90056133
99.016075,11248.83,101.71432,0.9233339
82.9862,11248.83,101.71432,0.84036493
67.77053,11248.83,101.71432,0.95839167
57.30488,11248.83,101.71432,0.830639
98.193634,11248.83,101.71432,0.6016298
50.699318,11248.83,101.71432,0.8651041
84.06938,11248.83,101.71432,0.6886441
94.006874,11719.32,106.5993,0.8416804
51.258026,11719.32,106.5993,0.89773726
86.25874,11719.32,106.5993,0.8659314
99.94189,11719.32,106.5993,0.24415544
81.982124,11719.32,106.5993,0.7205297
70.73395,11719.32,106.5993,0.8164444
93.72004,11719.32,106.5993,0.823926
77.70896,11719.32,106.5993,0.93501693
87.472046,11719.32,106.5993,0.8485169
79.38895,11719.32,106.5993,0.568625
51.914555,11719.32,106.5993,0.9436481
60.65725,11719.32,106.5993,0.9113609
53.93818,11719.32,106.5993,0.8943623
55.33439,11719.32,106.5993,0.88590133
50.770275,11719.32,106.5993,0.83284986
71.05825,11719.32,106.5993,0.8510035
58.932583,11719.32,106.5993,0.9228567
92.78483,11719.32,106.5993,0.75273955
87.50188,11719.32,106.5993,0.660074
78.65885,11719.32,106.5993,0.7867533
74.451065,11719.32,106.5993,0.88854295
62.79343,11719.32,106.5993,0.91473436
73.747574,11719.32,106.5993,0.95421207
82.06146,11719.32,106.5993,0.93782765
89.11144,11719.32,106.5993,0.8560533
54.084103,11719.32,106.5993,0.86573887
85.42323,11719.32,106.5993,0.82045877
87.1365,11719.32,106.5993,0.9280542
77.94861,11719.32,106.5993,0.80921954
60.71596,11719.32,106.5993,0.9543927
76.95923,11719.32,106.5993,0.9043055
75.13525,11719.32,106.5993,0.8742673
73.78551,11800.309,103.88097,0.76861095
73.032,11800.309,103.88097,0.83435214
55.54128,11800.309,103.88097,0.8713707
59.144623,11800.309,103.88097,0.9129327
54.866604,11800.309,103.88097,0.80610776
62.12389,11800.309,103.88097,0.8160311
63.17384,11800.309,103.88097,0.94827765
62.25379,11800.309,103.88097,0.9703628
60.54645,11800.309,103.88097,0.9005504
86.7711,11800.309,103.88097,0.86508816
90.92827,11800.309,103.88097,0.602268
66.35546,11800.309,103.88097,0.9059678
65.25645,11800.309,103.88097,0.86421955
92.201614,11800.309,103.88097,0.8108945
81.1962,11800.309,103.88097,0.8806361
64.67191,11800.309,103.88097,0.9288974
85.68062,11800.309,103.88097,0.9018805
67.22964,11800.309,103.88097,0.61823106
79.32778,11800.309,103.88097,0.75701034
99.6317,11800.309,103.88097,0.7325813
65.07972,11800.309,103.88097,0.90805995
96.5263,11800.309,103.88097,0.7839979
66.03262,11800.309,103.88097,0.80735075
77.014336,11800.309,103.88097,0.8817717
72.99919,11800.309,103.88097,0.76708806
89.15798,11800.309,103.88097,0.8715176
53.054634,11800.309,103.88097,0.8890239
81.35612,11800.309,103.88097,0.85174364
88.03335,11800.309,103.88097,0.8138133
73.60724,11800.309,103.88097,0.7971542
55.26463,11800.309,103.88097,0.943278
62.24025,11800.309,103.88097,0.9281982
83.98362,13949.552,126.5219,0.71855366
94.771866,13949.552,126.5219,0.7070062
71.08043,13949.552,126.5219,0.880936
78.0206,13949.552,126.5219,0.8507692
61.41925,13949.552,126.5219,0.81032294
70.610664,13949.552,126.5219,0.7657027
66.83949,13949.552,126.5219,0.90116376
82.776276,13949.552,126.5219,0.7921237
99.23495,13949.552,126.5219,0.1172411
90.66518,13949.552,126.5219,0.77956665
59.60823,13949.552,126.5219,0.87990594
78.88393,13949.552,126.5219,0.8631034
