run_name,dataset,transform,label,original_mse,transformed_mse,diff_mse
2_INFO_DOWN_regression_ImageNet_saturation_ResNet18_ImageNet,ImageNet,HueShift100,saturation,937.9542274475098,7262.70556640625,-6324.75133895874
2_INFO_DOWN_regression_ImageNet_brightness_ResNet18_ImageNet,ImageNet,HueShift100,brightness,546.0204849243164,19421.357421875,-18875.336936950684
2_INFO_DOWN_regression_ImageNet_hue_ResNet18_ImageNet,ImageNet,SaturationShift25,hue,513.4296264648438,7029.212890625,-6515.783264160156
2_INFO_DOWN_regression_ImageNet_brightness_ResNet18_ImageNet,ImageNet,SaturationShift25,brightness,546.0204849243164,20037.095703125,-19491.075218200684
2_INFO_DOWN_regression_ImageNet_hue_ResNet18_ImageNet,ImageNet,SaturationShift50,hue,513.4296264648438,4721.41259765625,-4207.982971191406
2_INFO_DOWN_regression_ImageNet_brightness_ResNet18_ImageNet,ImageNet,SaturationShift50,brightness,546.0204849243164,17740.298828125,-17194.278343200684
2_INFO_DOWN_regression_ImageNet_hue_ResNet18_ImageNet,ImageNet,SaturationShift75,hue,513.4296264648438,2818.48583984375,-2305.0562133789062
2_INFO_DOWN_regression_ImageNet_brightness_ResNet18_ImageNet,ImageNet,SaturationShift75,brightness,546.0204849243164,18084.056640625,-17538.036155700684
2_INFO_DOWN_regression_ImageNet_hue_ResNet18_ImageNet,ImageNet,SaturationShift100,hue,513.4296264648438,3332.831298828125,-2819.4016723632812
2_INFO_DOWN_regression_ImageNet_brightness_ResNet18_ImageNet,ImageNet,SaturationShift100,brightness,546.0204849243164,19806.580078125,-19260.559593200684
2_INFO_DOWN_regression_ImageNet_hue_ResNet18_ImageNet,ImageNet,BrightnessShift25,hue,513.4296264648438,487.0036926269531,26.425933837890625
2_INFO_DOWN_regression_ImageNet_saturation_ResNet18_ImageNet,ImageNet,BrightnessShift25,saturation,937.9542274475098,10329.953125,-9391.99889755249
2_INFO_DOWN_regression_ImageNet_hue_ResNet18_ImageNet,ImageNet,BrightnessShift50,hue,513.4296264648438,487.0036926269531,26.425933837890625
2_INFO_DOWN_regression_ImageNet_saturation_ResNet18_ImageNet,ImageNet,BrightnessShift50,saturation,937.9542274475098,10329.953125,-9391.99889755249
2_INFO_DOWN_regression_ImageNet_hue_ResNet18_ImageNet,ImageNet,BrightnessShift75,hue,513.4296264648438,2841.359375,-2327.9297485351562
2_INFO_DOWN_regression_ImageNet_saturation_ResNet18_ImageNet,ImageNet,BrightnessShift75,saturation,937.9542274475098,8335.76953125,-7397.81530380249
2_INFO_DOWN_regression_ImageNet_hue_ResNet18_ImageNet,ImageNet,BrightnessShift100,hue,513.4296264648438,3178.568359375,-2665.1387329101562
2_INFO_DOWN_regression_ImageNet_saturation_ResNet18_ImageNet,ImageNet,BrightnessShift100,saturation,937.9542274475098,7639.2578125,-6701.30358505249
2_INFO_DOWN_regression_ImageNet_saturation_ResNet34_ImageNet,ImageNet,HueShift25,saturation,671.6119155883789,7675.27685546875,-7003.664939880371
2_INFO_DOWN_regression_ImageNet_brightness_ResNet34_ImageNet,ImageNet,HueShift25,brightness,552.7018165588379,17923.60546875,-17370.903652191162
2_INFO_DOWN_regression_ImageNet_saturation_ResNet34_ImageNet,ImageNet,HueShift50,saturation,671.6119155883789,8767.3251953125,-8095.713279724121
2_INFO_DOWN_regression_ImageNet_brightness_ResNet34_ImageNet,ImageNet,HueShift50,brightness,552.7018165588379,18509.021484375,-17956.319667816162
2_INFO_DOWN_regression_ImageNet_saturation_ResNet34_ImageNet,ImageNet,HueShift75,saturation,671.6119155883789,8908.3388671875,-8236.726951599121
2_INFO_DOWN_regression_ImageNet_brightness_ResNet34_ImageNet,ImageNet,HueShift75,brightness,552.7018165588379,18118.609375,-17565.907558441162
