run_name,dataset,transform,label,original_mse,transformed_mse,diff_mse
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet18_ImageNet,ImageNet,HueShift25,saturation,2002.511962890625,1999.9693040355799,2.542658855045147
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet18_ImageNet,ImageNet,HueShift25,brightness,4025.8335876464844,3827.3201407527945,198.5134468936899
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet18_ImageNet,ImageNet,HueShift50,saturation,2002.511962890625,1990.5755590516317,11.936403838993328
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet18_ImageNet,ImageNet,HueShift50,brightness,4025.8335876464844,3772.791182406205,253.04240524027955
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet18_ImageNet,ImageNet,HueShift75,saturation,2002.511962890625,2010.4293323912743,-7.917369500649329
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet18_ImageNet,ImageNet,HueShift75,brightness,4025.8335876464844,3796.9447866705245,228.88880097595984
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet18_ImageNet,ImageNet,HueShift100,saturation,2002.511962890625,2039.2829845377728,-36.77102164714779
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet18_ImageNet,ImageNet,HueShift100,brightness,4025.8335876464844,3864.7711460522696,161.06244159421476
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet18_ImageNet,ImageNet,SaturationShift25,hue,773.5952682495117,855.3275462369587,-81.73227798744699
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet18_ImageNet,ImageNet,SaturationShift25,brightness,4025.8335876464844,3809.2550613141925,216.57852633229186
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet18_ImageNet,ImageNet,SaturationShift50,hue,773.5952682495117,825.9524463923733,-52.357178142861585
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet18_ImageNet,ImageNet,SaturationShift50,brightness,4025.8335876464844,4137.6497657774225,-111.81617813093817
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet18_ImageNet,ImageNet,SaturationShift75,hue,773.5952682495117,719.6318146860526,53.9634535634591
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet18_ImageNet,ImageNet,SaturationShift75,brightness,4025.8335876464844,4031.5802862391815,-5.746698592697157
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet18_ImageNet,ImageNet,SaturationShift100,hue,773.5952682495117,699.2066254914216,74.3886427580901
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet18_ImageNet,ImageNet,SaturationShift100,brightness,4025.8335876464844,3665.2971472456165,360.53644040086783
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet18_ImageNet,ImageNet,BrightnessShift25,hue,773.5952682495117,2670.728275790256,-1897.133007540744
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet18_ImageNet,ImageNet,BrightnessShift25,saturation,2002.511962890625,6359.667570115391,-4357.155607224766
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet18_ImageNet,ImageNet,BrightnessShift50,hue,773.5952682495117,2670.728275790256,-1897.133007540744
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet18_ImageNet,ImageNet,BrightnessShift50,saturation,2002.511962890625,6359.667570115391,-4357.155607224766
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet18_ImageNet,ImageNet,BrightnessShift75,hue,773.5952682495117,839.7321815296397,-66.13691328012794
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet18_ImageNet,ImageNet,BrightnessShift75,saturation,2002.511962890625,2315.5724561199595,-313.0604932293345
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet18_ImageNet,ImageNet,BrightnessShift100,hue,773.5952682495117,713.5708685256336,60.024399723878105
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet18_ImageNet,ImageNet,BrightnessShift100,saturation,2002.511962890625,1915.079598891991,87.43236399863395
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet34_ImageNet,ImageNet,HueShift25,saturation,1971.9610443115234,1992.6844526055634,-20.723408294039928
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet34_ImageNet,ImageNet,HueShift25,brightness,1240.7813110351562,1260.4679566449704,-19.68664560981415
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet34_ImageNet,ImageNet,HueShift50,saturation,1971.9610443115234,1968.0946834338508,3.866360877672605
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet34_ImageNet,ImageNet,HueShift50,brightness,1240.7813110351562,1276.380349063645,-35.59903802848885
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet34_ImageNet,ImageNet,HueShift75,saturation,1971.9610443115234,1964.958901937046,7.002142374477444
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet34_ImageNet,ImageNet,HueShift75,brightness,1240.7813110351562,1274.7801352081526,-33.998824172996365
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet34_ImageNet,ImageNet,HueShift100,saturation,1971.9610443115234,1995.3729670607597,-23.411922749236282
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet34_ImageNet,ImageNet,HueShift100,brightness,1240.7813110351562,1268.153897099972,-27.372586064815778
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet34_ImageNet,ImageNet,SaturationShift25,hue,742.8072891235352,821.4294229364582,-78.62213381292304
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet34_ImageNet,ImageNet,SaturationShift25,brightness,1240.7813110351562,1271.5669878317196,-30.785676796563394
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet34_ImageNet,ImageNet,SaturationShift50,hue,742.8072891235352,803.913338343904,-61.106049220368845
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet34_ImageNet,ImageNet,SaturationShift50,brightness,1240.7813110351562,1278.4989105658112,-37.71759953065498
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet34_ImageNet,ImageNet,SaturationShift75,hue,742.8072891235352,710.8492380484977,31.958051075037474
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet34_ImageNet,ImageNet,SaturationShift75,brightness,1240.7813110351562,1292.372891818053,-51.5915807828967
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet34_ImageNet,ImageNet,SaturationShift100,hue,742.8072891235352,690.6119889200027,52.1953002035325
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet34_ImageNet,ImageNet,SaturationShift100,brightness,1240.7813110351562,1293.5465884811977,-52.76527744604141
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet34_ImageNet,ImageNet,BrightnessShift25,hue,742.8072891235352,2391.528715886467,-1648.721426762932
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet34_ImageNet,ImageNet,BrightnessShift25,saturation,1971.9610443115234,6020.063494197103,-4048.1024498855795
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet34_ImageNet,ImageNet,BrightnessShift50,hue,742.8072891235352,2391.528715886467,-1648.721426762932
