transform_param,l1_distance,l2_distance,cosine_similarity
0.26122728,55.514427,3.1385748,0.96331954
0.32487187,54.90822,3.3293607,0.9405909
0.8966777,100.006256,5.5679383,0.88128686
0.42165652,63.3655,3.9816654,0.91705054
0.59095347,64.621315,3.6153069,0.94092584
0.106682196,54.070343,3.0277817,0.95711666
0.17882918,37.209457,2.095925,0.9763705
0.03588773,36.12859,1.9963274,0.97964334
0.42437083,76.08839,4.4926887,0.9195647
0.98892003,171.48093,10.480473,0.589634
0.8738732,72.15845,4.1386495,0.93197715
0.63290894,60.38649,3.5700324,0.9470545
0.8610965,71.26083,4.3807006,0.8943693
0.5941694,60.536385,3.4955125,0.949513
0.36876887,81.05976,4.7093253,0.89866656
0.1735464,67.07889,4.0142326,0.92598933
0.65304875,34.971413,2.1386974,0.9812127
0.19305128,66.57312,3.8281145,0.9368093
0.4174284,75.16766,4.230988,0.92747843
0.82580185,77.643036,4.469954,0.9009837
0.1292293,61.270718,3.5235922,0.9440692
0.12902142,51.889736,2.9729795,0.96227884
0.22440241,65.211464,3.6248975,0.9484601
0.5519173,68.70395,3.9465086,0.94032973
0.25172347,65.289024,3.9174786,0.927308
0.5031979,58.860325,3.4918833,0.9468229
0.3019826,58.484203,3.2844954,0.9427863
0.5062422,62.351006,3.6267033,0.94064677
0.27763146,46.467136,2.6867735,0.96526146
0.98001236,132.40494,7.738022,0.7493722
0.4927179,61.11416,3.5742235,0.940928
0.74364346,72.73259,4.085453,0.9320929
0.70054656,58.29969,3.3197665,0.9513229
0.49055937,75.57999,4.3308177,0.92303705
0.23886207,60.81942,3.4397392,0.9286367
0.5107183,56.21176,3.2163084,0.95504385
0.6809716,100.018776,5.8736286,0.8627378
0.45991927,71.75776,4.1531725,0.9157182
0.08192511,38.912186,2.1790798,0.9756088
0.01798323,30.667072,1.821868,0.9857898
0.3278768,78.85722,4.46768,0.9201746
0.15022393,45.46985,2.58599,0.96774167
0.9061902,104.24064,5.8845243,0.85374194
0.17583267,78.126945,4.455719,0.92960083
0.39428273,78.7495,4.4864674,0.9157342
0.7120775,86.173035,4.806233,0.89936155
0.81542164,87.26312,5.167762,0.87178004
0.47771317,81.317215,4.880807,0.9003485
0.18113501,36.97396,2.0945175,0.9814377
0.2708952,50.130062,2.7760663,0.9602314
0.41896844,72.0562,4.10198,0.9143629
0.36459458,73.542366,4.1772127,0.9317845
0.34867275,32.796333,1.8474011,0.9873126
0.1318538,47.446648,2.8012972,0.9672903
0.9133102,121.1147,7.1649566,0.82241446
0.029756606,39.77211,2.2407608,0.98095584
0.4400021,71.926865,4.1231914,0.91590315
0.98032147,144.65793,8.738681,0.66943175
0.65972394,72.30704,4.037581,0.92249686
0.35541067,85.71762,4.8832455,0.89569473
0.14609759,49.142357,2.922756,0.96753025
0.9638726,117.082,6.6776505,0.8274046
0.013986362,29.620441,1.7646044,0.98505664
0.68138754,84.41943,4.8257875,0.90430605
0.88013744,96.43429,5.5188375,0.850345
0.02516049,38.44229,2.2645423,0.9777217
0.72517484,69.44025,3.9937398,0.9431989
0.99883777,173.96643,10.67043,0.5393926
0.6396425,100.83898,6.2352967,0.8526848
0.41467896,63.077644,3.585554,0.94708276
0.87440073,80.9392,4.79328,0.90140724
0.55417925,53.898132,3.103537,0.95002395
0.74944085,83.65293,5.0448937,0.8734756
0.587779,111.24807,6.71859,0.81974125
0.038291093,32.84648,1.9360901,0.98523426
0.21314499,34.498417,1.91011,0.98413795
0.078763574,33.88604,1.9521273,0.9822106
0.10668776,57.212906,3.2544217,0.95332277
0.015405494,40.57685,2.4719067,0.9713494
0.421165,86.21161,4.933359,0.89835626
0.17865163,54.218246,3.0282357,0.96113056
0.8556965,74.351715,4.305576,0.924658
0.75003755,85.89906,5.026877,0.902025
0.573177,81.944275,4.868028,0.8996301
0.48902133,70.20174,4.042128,0.93445337
0.25586864,75.08113,4.3884287,0.92490005
0.47495148,83.979225,5.105594,0.89384645
0.6412293,62.86025,3.6633554,0.9392017
0.7822289,81.97598,4.8580184,0.8943925
0.08168206,54.17269,3.0212278,0.9549017
0.7084647,80.42319,4.844395,0.8934173
0.7427299,72.71819,4.1452656,0.91372347
0.5589722,89.98639,5.327575,0.88273776
0.2143192,59.87015,3.5701716,0.94490445
0.5391846,65.97349,3.8172562,0.934551
0.50270486,75.00508,4.447503,0.8883826
0.4757101,74.32347,4.295321,0.9252502
0.46063992,65.29999,3.8491437,0.93349767
0.11082557,55.207134,3.138072,0.95661294
0.18289249,60.817688,3.6061797,0.9407295
0.09733209,44.74497,2.5134087,0.9731677
0.24247783,50.64817,2.9275243,0.9631168
0.2634768,38.89616,2.1861076,0.9788641
0.24507587,62.335213,3.5032663,0.9486878
0.21092907,62.833523,3.6053498,0.9490944
0.7354221,94.39485,5.613778,0.851251
0.8185654,98.75487,5.5753026,0.8789018
0.32710922,63.616295,3.551797,0.9436023
0.3051289,76.58458,4.3028736,0.9252163
0.84403235,74.93919,4.328987,0.90987253
0.6239239,85.72338,5.311689,0.86084896
0.29343832,36.01124,2.106804,0.98154044
0.7136123,78.463745,4.936355,0.88647246
0.3445928,73.28838,4.152991,0.924173
0.5865556,85.999084,4.9157915,0.8869688
0.99263406,183.69504,11.10253,0.50323176
0.30159438,52.850937,2.950877,0.965095
0.930526,106.56984,6.315529,0.80851173
0.32065243,58.2707,3.2859132,0.9522541
0.5402867,67.04375,3.7829683,0.94015557
0.4599838,72.27518,4.2359786,0.9298846
0.78315955,76.38394,4.383868,0.9109458
0.0610927,43.462738,2.578821,0.96896625
0.6271223,66.3255,3.7933576,0.9379811
0.76066697,73.760315,4.1769023,0.9257771
0.47214484,36.015297,2.118798,0.9784687
0.1052926,53.070564,2.9633796,0.9656819
0.24480501,56.587547,3.3613813,0.9523404
0.67967236,80.76658,4.705762,0.9033219
0.89543736,113.44665,6.618928,0.83111703
0.4216086,75.18101,4.1942506,0.9279671
0.56041205,71.11501,4.1078734,0.9242308
0.22838503,43.668137,2.4633892,0.96891415
0.41221333,85.76997,5.047833,0.889939
0.33678982,51.526768,2.908687,0.9651755
0.65552557,76.44426,4.7852044,0.86931986
0.98469895,165.76724,9.677228,0.6253467
0.8133035,97.88523,5.4783125,0.8720118
0.19216458,56.87268,3.2080286,0.9620434
0.5776786,75.53411,4.3900437,0.90870774
0.06641171,43.574165,2.5988734,0.96853787
0.24691549,53.045673,3.1155546,0.96182406
0.17221768,62.845596,3.5575626,0.9438391
0.33554554,57.563095,3.3581867,0.9523909
0.678814,74.48793,4.268515,0.9337201
0.4993933,67.5774,3.8397148,0.9260789
0.93290925,112.098145,6.4065523,0.85735905
0.21274884,58.84401,3.4788775,0.94343024
0.36420915,61.67941,3.4507842,0.95029163
0.32985258,72.19493,4.2049813,0.9303094
0.23596363,51.67901,2.894977,0.96012944
0.9931708,174.80878,10.847241,0.5538414
0.38722554,56.227768,3.175409,0.95354474
0.94050896,95.567444,5.443489,0.8875988
0.39047348,70.22095,4.2312107,0.9204235
0.20409168,57.889328,3.2728055,0.9463257
0.11920633,59.588974,3.3542678,0.95032394
0.85556316,72.64868,4.228575,0.9324145
0.03209764,22.804798,1.3027395,0.9924949
0.96439457,165.62556,10.321717,0.51804173
0.41819122,57.15831,3.324737,0.9496945
0.24737436,61.661747,3.6305108,0.9338671
0.6174461,65.015945,3.6120787,0.9374358
0.132913,50.762592,2.8608246,0.9645704
0.072145574,48.070972,2.9069233,0.9662193
0.82778335,77.29433,4.3240848,0.91152966
0.4246708,77.85691,4.5149198,0.9108569
0.51825494,69.24079,3.9843924,0.9203136
0.176696,63.105366,3.611717,0.94466466
0.061424244,49.542065,2.8619714,0.954421
0.36777613,65.2612,3.8269682,0.93278265
0.50614625,89.47107,5.3399158,0.88845193
0.7654306,76.710976,4.3121552,0.9218453
0.501052,77.560234,4.4154983,0.9228505
0.782507,88.9029,5.2263036,0.8806237
0.11543278,51.441666,2.9115517,0.96281743
0.06396277,46.44474,2.8070421,0.9657969
0.15886097,62.586823,3.580735,0.9452758
0.7720121,77.74464,4.4045734,0.922931
0.7593302,70.74827,3.9697437,0.901909
0.14136781,72.50899,4.2906837,0.94103193
0.030988658,50.705368,3.038897,0.9561708
0.68528193,88.236694,5.001228,0.9008678
0.8552818,89.4291,5.1649942,0.88931406
0.7541077,107.566635,6.100835,0.8334358
0.20279898,30.478268,1.8275657,0.9792545
0.5837679,72.167336,4.2493205,0.92492276
0.7573657,77.28667,4.402665,0.9239544
0.2558287,61.36828,3.5430465,0.9466311
0.5277208,70.33186,4.019997,0.93410933
0.3144604,54.667572,3.0965264,0.96032596
0.22557542,58.46267,3.3756976,0.94696987
0.96958935,178.74306,10.877885,0.532102
0.912582,77.60315,4.6477695,0.9133329
0.44566774,74.83423,4.3790646,0.92339176
0.13677806,55.92923,3.1817708,0.9540552
0.7279073,82.60534,4.7407355,0.90101695
0.25570112,56.97446,3.128353,0.9550122
0.16851781,48.694862,2.8446891,0.96162885
0.381529,64.337494,3.809218,0.9344727
0.5298498,49.46257,2.8245993,0.9609597
0.09744033,54.56931,3.2038887,0.94969904
0.57174647,81.25694,4.7819276,0.90753424
0.015348375,31.479378,1.8280796,0.98492885
0.89186907,94.49898,5.4709773,0.8729592
0.9207417,126.34273,7.4109526,0.7822051
0.7330708,84.96988,5.0754776,0.88901293
0.4665494,64.21003,3.6235144,0.93677855
0.25489628,63.60518,3.7363937,0.9463403
0.7441121,84.12558,5.015382,0.8990041
0.9317972,137.74658,7.988506,0.74911666
0.1585337,63.699024,3.7251961,0.93975395
0.46582198,70.354965,4.0551367,0.9274956
0.31526163,84.554306,4.814833,0.90668833
0.3567418,76.25064,4.3597317,0.92138314
0.40575778,62.976963,3.4514937,0.9367478
0.95179635,122.381424,7.0385137,0.80404896
0.25863716,62.90853,3.7065973,0.9460401
0.49267584,70.24162,4.187907,0.9179884
0.9514875,97.10878,5.626618,0.8824842
0.4760569,55.679855,3.1862793,0.95029426
0.86359954,79.14344,4.6908083,0.9074214
0.058764774,33.190334,1.8952751,0.98345953
0.9530304,120.410034,7.0925636,0.77568984
0.18753114,58.188942,3.291283,0.95107985
0.97993505,156.71674,9.620185,0.6700734
0.17557687,65.92831,3.8772583,0.9317982
0.44436595,51.14393,2.924412,0.97367316
0.3086145,56.893433,3.2138412,0.9531297
0.4332314,77.82941,4.451627,0.9176203
0.25052473,76.63839,4.543095,0.8984246
0.9653174,158.99432,9.30307,0.660195
0.30572498,36.29576,2.091388,0.9817566
0.6532749,77.38962,4.3410635,0.91432214
0.13744749,75.64256,4.27544,0.91672647
0.8243875,75.86048,4.5284634,0.8806052
0.54250795,86.11884,5.2425075,0.8727826
0.9794461,146.6347,8.840443,0.7068505
0.42340222,63.2244,3.669166,0.9395869
0.19544788,64.36448,3.6831791,0.929139
0.346019,76.24419,4.2910757,0.9371303
0.7369656,92.604675,5.8694973,0.8366733
0.6591065,71.11131,4.086824,0.91867733
0.77834743,80.495316,4.606674,0.91172296
0.073470294,58.26822,3.642926,0.9388586
0.58036876,73.47284,4.2670517,0.91814566
0.93216866,88.771645,5.2567096,0.89229405
0.107901916,38.738693,2.2204518,0.9780062
0.09433526,48.737152,2.7934024,0.9619609
0.71660435,83.385056,4.7681046,0.91052216
0.31518245,78.82969,4.517845,0.9177971
0.65857923,71.814606,4.1052876,0.92987585
0.5453845,42.632988,2.4458354,0.97159874
0.98606664,168.09314,10.192278,0.59028935
0.88905644,81.19545,4.6530914,0.88848436
0.6780728,88.20076,5.005472,0.89225954
0.2616746,63.051853,3.525874,0.9479774
0.26190817,73.693634,4.17533,0.9223938
0.8822438,99.51215,6.188113,0.84324074
0.58534104,81.32471,4.6904383,0.91643465
0.7892818,93.926254,5.3683085,0.8839849
0.4498642,60.37551,3.3745618,0.94471025
0.103073634,57.593037,3.2443945,0.9566246
0.33268645,66.1609,3.8822162,0.9235874
0.16114919,57.52674,3.3970854,0.9478732
0.7818328,83.920074,5.127843,0.88692105
0.700512,77.63042,4.4548993,0.87218666
0.088412926,58.9001,3.426475,0.94607323
0.6213854,84.23549,4.9187255,0.9070319
0.8741355,73.32351,4.2633243,0.90053135
0.6973643,60.327545,3.3485677,0.9521185
0.5111119,61.548412,3.7308345,0.94957876
0.31186327,74.66481,4.2375236,0.9218112
0.88709676,82.23116,4.771682,0.9076793
0.4228049,59.899902,3.4929986,0.93771166
0.8553936,87.5746,4.998073,0.8972021
0.7829998,78.00192,4.6241627,0.89814734
0.81622696,74.08502,4.2220154,0.92269385
0.98979753,130.39508,7.571168,0.761749
0.7487585,89.46898,5.1815476,0.8783857
0.034040935,43.197212,2.4354832,0.97985697
0.20543393,63.240974,3.7028525,0.931738
0.03519515,35.209602,2.066713,0.9797558
0.18991357,44.83481,2.583863,0.9683878
0.06143951,43.805447,2.6145575,0.9636306
0.501617,87.01665,5.115355,0.8845957
0.028206212,43.3168,2.5142531,0.97207445
0.4725791,69.66574,3.9897783,0.9306102
0.8988409,90.717514,5.1829987,0.8500165
0.748576,70.96216,4.237516,0.90915
0.9439559,106.780075,6.171847,0.84940445
0.22664678,52.245304,2.9891949,0.96197784
0.5310858,83.66153,4.686493,0.895272
0.31857947,59.74028,3.5579875,0.9443431
0.4938198,81.87843,4.713967,0.91114175
0.55707586,94.12599,5.400717,0.87416
0.03618613,21.008865,1.2220345,0.99464107
0.23325613,64.9607,3.7972171,0.94289947
0.7047728,102.39542,5.788047,0.8576621
0.772928,88.03156,4.915073,0.9012624
0.5694514,55.06221,3.1512477,0.94761425
0.27082902,56.507195,3.2187078,0.9591347
0.4050841,68.938705,3.994407,0.9267591
0.096036814,51.45071,2.9686036,0.95786005
0.9531796,162.27783,9.787105,0.58503246
0.8686775,98.07032,6.06772,0.82844335
0.06560235,40.979286,2.4679363,0.97078264
0.16649066,76.18756,4.4457045,0.91010785
0.58109444,72.16034,4.1357393,0.9306289
0.23243007,74.82911,4.248206,0.9283004
0.9344007,129.42993,7.728794,0.74442375
0.75559056,78.16835,4.444795,0.9059211
0.2732915,58.260056,3.4246588,0.9512435
0.0061014113,24.119461,1.3747861,0.9913427
0.7994474,37.091362,2.1368024,0.9813315
0.4240897,56.428326,3.2335947,0.9494485
0.64237773,81.457016,4.7799153,0.9022449
0.28697482,58.1849,3.3262177,0.94742006
0.14287326,57.206787,3.2826307,0.9535308
0.67531157,77.61047,4.382293,0.9145631
0.4503246,72.76488,4.109701,0.93183655
0.2351697,24.666933,1.3994031,0.99203694
0.137628,54.52164,3.0640345,0.96544504
0.5804796,81.85513,5.044431,0.88720715
0.72554994,73.53714,4.1892347,0.9221488
0.28388697,49.02515,2.9254446,0.95670164
0.7351425,83.15707,4.7974644,0.8928121
0.1831222,54.93578,3.1005895,0.95373964
0.33841568,61.47326,3.591549,0.94141567
0.7448823,76.63855,4.6979504,0.9038209
0.6601435,64.0477,3.703573,0.9384711
0.27052364,55.402958,3.1883466,0.95438915
0.122135,62.90748,3.5944948,0.9552243
0.042473424,33.269783,1.8653668,0.98512834
0.8379152,68.89563,3.963321,0.93327963
0.07514195,51.925438,3.2116532,0.9549998
0.11484515,54.53161,3.133255,0.96216327
0.23771062,25.28006,1.4500964,0.9913319
0.4456697,69.51462,4.064257,0.9158448
0.78978705,82.20704,4.73645,0.90622646
0.24748033,53.30729,3.0978277,0.9592539
0.54350823,93.28154,5.515913,0.8565349
0.090372525,41.575474,2.4141035,0.9749268
0.464511,71.11298,4.1334968,0.92606974
0.177639,60.517853,3.5337121,0.93949896
0.21119156,54.924454,3.3706267,0.94973135
0.36682844,68.6452,4.324432,0.9140861
0.7613477,69.90575,3.9911246,0.92595917
0.7439864,89.96441,5.0588417,0.89951265
0.414973,75.04518,4.3186088,0.92473984
0.11867116,50.55403,2.8787947,0.9656637
0.28069162,47.507168,2.6710947,0.9675306
0.5053558,72.98796,4.205774,0.9297927
0.86941177,98.5758,5.509102,0.86420023
0.9682546,116.18199,7.0019865,0.80795944
0.63747096,89.329384,5.162339,0.89364046
0.3506865,55.142517,3.2057602,0.94323134
0.69345343,85.39046,4.898339,0.8910202
0.33623013,67.30055,3.870619,0.93211347
0.62547344,73.2145,4.346772,0.92093015
0.24376658,57.94301,3.2662876,0.9544539
0.2669887,52.336082,2.9294605,0.95206255
0.07522559,52.80578,3.1630197,0.95080954
0.42014116,76.93408,4.505011,0.9195901
0.6181745,70.56998,4.089754,0.92827845
0.78879493,85.40588,5.0431147,0.89610255
0.8103486,90.031166,5.1507897,0.89393425
0.99244446,167.3102,9.771034,0.5842217
0.087755725,46.64395,2.8300598,0.9611002
0.49313676,42.260765,2.6529846,0.9768771
0.5213746,87.57284,5.128013,0.88833725
0.8045334,81.58683,4.9058003,0.90039814
0.26635852,68.48558,3.9827352,0.9469858
0.06937232,29.875141,1.7134702,0.9875336
0.31375882,67.17849,3.7727437,0.9453536
0.98392785,146.95929,8.47858,0.70610315
0.8994412,90.56403,5.276934,0.8810161
0.39524695,60.17415,3.6549368,0.93408793
0.876272,113.29988,6.554967,0.8056251
0.032754485,51.761353,3.2379985,0.9603658
0.31420407,50.037865,2.7805445,0.9584196
0.7268118,71.0181,4.061992,0.92510074
0.22145225,39.789345,2.3160508,0.97910947
0.19839095,53.195526,2.9772096,0.959232
0.8618075,93.26849,5.2992144,0.86882186
0.615954,88.67503,5.000767,0.8960518
0.98902273,151.40756,8.951308,0.71293265
0.13466968,46.99911,2.639792,0.9760872
0.3561284,59.27574,3.3181486,0.9487806
0.31121337,58.136253,3.292175,0.95557326
