transform_param,l1_distance,l2_distance,cosine_similarity
0.26122728,70.58005,2.8209095,0.9484693
0.32487187,75.605804,3.0578413,0.93704355
0.8966777,129.2774,5.28151,0.8059976
0.42165652,101.10518,3.6701057,0.90856445
0.59095347,81.29219,3.2955546,0.8707156
0.106682196,69.021484,2.6638496,0.92737913
0.17882918,54.30556,2.0422134,0.9704628
0.03588773,37.830128,1.2889178,0.9804878
0.42437083,85.4445,3.1873744,0.9200541
0.98892003,154.39594,6.181939,0.5694774
0.8738732,116.45682,4.183221,0.9043883
0.63290894,118.136345,5.2573004,0.87566817
0.8610965,118.42709,4.807868,0.7855525
0.5941694,60.779243,2.8704824,0.94002175
0.36876887,84.497696,3.48014,0.90305036
0.1735464,68.08646,2.636813,0.9457291
0.65304875,41.430084,1.4663523,0.9853058
0.19305128,60.405003,2.1611428,0.9432255
0.4174284,79.585815,3.5960038,0.9218169
0.82580185,92.07207,3.6857996,0.801139
0.1292293,66.72774,2.4045343,0.9562248
0.12902142,61.978535,2.6325855,0.9728475
0.22440241,45.17733,1.8594291,0.9387659
0.5519173,101.10684,3.6495008,0.9000461
0.25172347,81.14453,3.1045892,0.93500507
0.5031979,76.30543,3.08268,0.90012455
0.3019826,69.15965,2.5902815,0.944363
0.5062422,90.745255,3.4377885,0.90612876
0.27763146,77.05847,2.8505228,0.920932
0.98001236,102.27342,3.8834321,0.78374344
0.4927179,78.95706,3.2043107,0.9157562
0.74364346,87.43092,3.4136205,0.86230385
0.70054656,109.70441,4.0800867,0.8877776
0.49055937,94.71431,3.517081,0.92187786
0.23886207,68.89638,2.68536,0.8864107
0.5107183,74.09987,3.0952394,0.92866087
0.6809716,103.03205,3.635755,0.90552044
0.45991927,77.944275,2.9884937,0.92828625
0.08192511,31.830303,1.410368,0.97793585
0.01798323,11.69629,0.5386055,0.99777335
0.3278768,71.158615,2.7789366,0.9582976
0.15022393,54.921417,2.0234578,0.9671368
0.9061902,137.53949,5.4784517,0.77597445
0.17583267,67.90346,2.4508357,0.9180342
0.39428273,79.14378,3.0390148,0.9033965
0.7120775,112.80567,4.034346,0.86883444
0.81542164,108.761734,4.780722,0.78857183
0.47771317,83.24232,3.1117744,0.8886711
0.18113501,40.950314,1.6407477,0.9680953
0.2708952,62.35855,2.389658,0.9522643
0.41896844,100.01347,3.7608082,0.8927239
0.36459458,70.52807,2.8229356,0.9273691
0.34867275,38.293938,1.4463817,0.98560894
0.1318538,36.7883,1.5166303,0.9860612
0.9133102,136.25815,5.697351,0.6775881
0.029756606,30.713142,1.1013418,0.98895544
0.4400021,69.113495,2.4969192,0.9481609
0.98032147,133.5118,5.3060765,0.80540633
0.65972394,84.55082,3.5812352,0.919393
0.35541067,60.807785,2.6060324,0.9577925
0.14609759,45.48197,1.818497,0.96834683
0.9638726,136.84253,6.563747,0.6624162
0.013986362,18.164524,0.6596686,0.9963565
0.68138754,78.95725,2.9279346,0.9113631
0.88013744,92.58893,3.9674642,0.83090866
0.02516049,28.192245,0.9104658,0.99352527
0.72517484,98.811516,3.5611875,0.92360413
0.99883777,200.73949,8.348304,0.49666417
0.6396425,77.05711,3.9410934,0.9154923
0.41467896,77.76401,2.7909355,0.9299482
0.87440073,149.98212,5.907767,0.76909596
0.55417925,71.79944,2.8717852,0.93862355
0.74944085,92.8179,3.759533,0.86313
0.587779,75.58719,3.3527827,0.83027965
0.038291093,36.046616,1.4011518,0.98540616
0.21314499,64.267235,2.343596,0.9493711
0.078763574,28.42585,0.96533966,0.9899822
0.10668776,41.02961,1.4944551,0.9776964
0.015405494,14.031431,0.5918375,0.99577236
0.421165,59.004242,2.1950972,0.9367424
0.17865163,64.37927,2.363645,0.96427983
0.8556965,107.670334,3.953844,0.84076566
0.75003755,142.03026,6.1223083,0.8223466
0.573177,63.876343,3.1482038,0.8267406
0.48902133,70.58493,2.8686812,0.9369828
0.25586864,65.59721,2.641949,0.9378285
0.47495148,111.66374,3.9388123,0.8959987
0.6412293,63.923443,2.4298553,0.9418893
0.7822289,90.60362,3.685286,0.88258314
0.08168206,47.14282,1.8132868,0.97349334
0.7084647,105.70376,3.836836,0.829591
0.7427299,114.010056,3.9551895,0.92271566
0.5589722,177.3311,7.5575466,0.75178576
0.2143192,67.0011,2.3059509,0.96265143
0.5391846,90.31191,3.7205906,0.8804948
0.50270486,88.70158,3.600224,0.9114826
0.4757101,92.27133,3.506191,0.8693576
0.46063992,84.75179,3.0495305,0.92166513
0.11082557,34.635933,1.4475625,0.974728
0.18289249,89.900345,3.2095094,0.93248546
0.09733209,48.298824,1.9584522,0.97102374
0.24247783,74.90199,2.7993703,0.9436197
0.2634768,67.846725,2.837774,0.9243523
0.24507587,67.39699,2.381811,0.96386886
0.21092907,52.338547,2.016728,0.94814324
0.7354221,128.51672,4.58448,0.8945366
0.8185654,103.63922,4.0324173,0.7752181
0.32710922,88.96604,3.163798,0.9452685
0.3051289,76.61986,3.014946,0.908048
0.84403235,130.06255,5.1278276,0.82724965
0.6239239,126.37851,4.6934943,0.90651166
0.29343832,43.447,1.6889303,0.97723377
0.7136123,109.67445,3.9751818,0.9217149
0.3445928,95.76126,3.7027879,0.85288405
0.5865556,101.62655,3.9988728,0.8748338
0.99263406,202.84665,8.655092,0.5503773
0.30159438,66.11205,2.6523526,0.9508092
0.930526,119.76625,5.208695,0.71585345
0.32065243,93.25134,4.1204953,0.8851063
0.5402867,82.15717,3.1132097,0.9385452
0.4599838,64.67247,2.9948208,0.8994998
0.78315955,86.0807,3.469999,0.88682526
0.0610927,51.352993,1.6778834,0.9826458
0.6271223,92.78314,3.536305,0.90050715
0.76066697,97.71045,3.8302536,0.8801478
0.47214484,79.13673,2.858409,0.9322485
0.1052926,62.25567,2.4410093,0.9543542
0.24480501,72.58679,3.115962,0.9195235
0.67967236,118.21843,4.2066393,0.8801899
0.89543736,156.58415,6.2055407,0.77603346
0.4216086,96.27982,3.9175723,0.8465923
0.56041205,103.44159,3.8471568,0.89335084
0.22838503,50.870358,2.0799737,0.9414561
0.41221333,108.16489,3.7875812,0.91144794
0.33678982,81.011505,2.9866798,0.95584035
0.65552557,80.16038,3.3090067,0.88346434
0.98469895,206.7587,7.9488926,0.56319696
0.8133035,150.58348,5.788422,0.813361
0.19216458,64.62544,2.3098743,0.94121146
0.5776786,78.70572,3.144119,0.8967302
0.06641171,41.640465,1.5679153,0.9858143
0.24691549,99.48326,3.740109,0.93030214
0.17221768,49.68338,1.7832727,0.95406765
0.33554554,72.80362,2.9461973,0.8986751
0.678814,85.901215,3.6204045,0.8320366
0.4993933,82.36737,3.2916288,0.8952353
0.93290925,117.5657,5.4767103,0.79442036
0.21274884,89.58969,3.6281295,0.9194316
0.36420915,75.045425,2.8359613,0.9223447
0.32985258,71.05763,2.7563016,0.9109687
0.23596363,74.48059,2.7526557,0.9597472
0.9931708,190.28429,7.875904,0.35552606
0.38722554,69.99015,2.6242442,0.9507984
0.94050896,100.0597,4.5297527,0.7469429
0.39047348,71.75469,2.6307743,0.93453366
0.20409168,58.114956,2.5692508,0.9571645
0.11920633,79.2817,3.0175383,0.9370364
0.85556316,139.02997,5.4133034,0.89101285
0.03209764,20.474562,0.792201,0.9908092
0.96439457,192.23071,7.5812216,0.6298976
0.41819122,56.952538,2.2410305,0.94239795
0.24737436,54.08821,2.0833378,0.952399
0.6174461,111.70291,3.9384367,0.942582
0.132913,51.299324,1.8868694,0.97214323
0.072145574,46.91739,1.7761747,0.976935
0.82778335,133.66583,5.400305,0.84828246
0.4246708,105.465096,4.1593137,0.9052298
0.51825494,92.05917,3.4501767,0.8825043
0.176696,65.55797,2.449615,0.94394195
0.061424244,39.761917,1.384032,0.97834116
0.36777613,52.270523,2.4692776,0.86630845
0.50614625,77.832954,3.154367,0.87257344
0.7654306,98.60449,3.708232,0.86542356
0.501052,103.283165,4.024785,0.88684464
0.782507,132.7506,5.454806,0.78890854
0.11543278,76.54347,2.937741,0.9560215
0.06396277,45.693542,1.5584426,0.9809041
0.15886097,48.184578,1.7130175,0.97575957
0.7720121,75.60565,3.701389,0.84000504
0.7593302,80.42714,3.259473,0.87629
0.14136781,47.663887,1.9122503,0.9456443
0.030988658,22.26937,0.7960472,0.9914383
0.68528193,90.65081,4.099083,0.8491533
0.8552818,107.497604,4.480272,0.8234956
0.7541077,118.4445,4.496044,0.81488705
0.20279898,36.538017,1.3374208,0.9856034
0.5837679,91.08277,3.7120974,0.896417
0.7573657,88.76928,3.6128705,0.86274016
0.2558287,85.64772,3.0345492,0.94271433
0.5277208,90.36702,3.4592633,0.9057157
0.3144604,69.91464,2.442992,0.9275749
0.22557542,60.51394,2.269767,0.94503415
0.96958935,212.44025,7.9368396,0.62123847
0.912582,94.89725,3.9571931,0.8060918
0.44566774,105.77953,3.7366366,0.9080279
0.13677806,53.40482,1.9876493,0.9677664
0.7279073,98.23015,4.519202,0.79750156
0.25570112,54.91782,2.2296686,0.94272745
0.16851781,78.0589,2.6737256,0.9512557
0.381529,94.22019,3.6325912,0.91864496
0.5298498,79.75799,3.1391196,0.9207587
0.09744033,42.50976,1.6070621,0.97778594
0.57174647,70.145,2.6744516,0.87961423
0.015348375,25.79374,0.8975869,0.9940808
0.89186907,106.24185,4.539735,0.7630242
0.9207417,205.1778,7.727157,0.67751634
0.7330708,100.10676,4.057398,0.8665767
0.4665494,72.15651,2.8108573,0.92768705
0.25489628,73.83277,2.9372275,0.9041889
0.7441121,121.07146,4.8555226,0.8509505
0.9317972,150.56902,6.914884,0.539849
0.1585337,67.05821,2.4028354,0.92965466
0.46582198,62.053585,2.7199037,0.8700237
0.31526163,81.74855,3.3574407,0.87427497
0.3567418,79.59198,2.7280147,0.94196075
0.40575778,99.01669,3.533059,0.9069206
0.95179635,152.36008,6.5018735,0.62622184
0.25863716,84.548676,3.2241678,0.88567305
0.49267584,92.65191,3.4799862,0.93236375
0.9514875,192.21362,7.576908,0.6103559
0.4760569,50.117596,2.2356951,0.9316753
0.86359954,85.89145,3.6742911,0.817845
0.058764774,35.124283,1.2454895,0.9759749
0.9530304,137.42804,5.7678313,0.6434634
0.18753114,71.230095,2.4704328,0.9586842
0.97993505,151.19876,6.292676,0.57218385
0.17557687,60.935493,2.2602732,0.94113886
0.44436595,45.63273,2.3613293,0.92605066
0.3086145,49.994297,1.9449872,0.9615934
0.4332314,66.27248,2.445161,0.9036507
0.25052473,53.47453,2.0313106,0.93307626
0.9653174,167.55644,6.750898,0.6243074
0.30572498,29.794037,0.97415054,0.99272525
0.6532749,82.28018,3.2811606,0.8813643
0.13744749,81.19578,3.052013,0.94090164
0.8243875,89.43695,3.9831254,0.8722302
0.54250795,81.014404,2.7263193,0.9466896
0.9794461,155.67163,6.962683,0.4573871
0.42340222,71.50386,2.979121,0.91489285
0.19544788,49.831757,2.1493535,0.9456683
0.346019,77.60239,3.6050224,0.8933264
0.7369656,105.89371,4.571219,0.8520253
0.6591065,85.32379,3.0222037,0.92650706
0.77834743,100.527626,3.9858081,0.86337507
0.073470294,42.70527,1.7002875,0.9739297
0.58036876,90.87086,3.4060733,0.92316425
0.93216866,170.98883,6.74074,0.7041419
0.107901916,20.989014,0.71564645,0.99481386
0.09433526,60.261963,2.1863217,0.9715635
0.71660435,76.25557,3.2417998,0.79305124
0.31518245,67.667015,2.4976907,0.9068953
0.65857923,90.14235,3.6109054,0.86375797
0.5453845,59.559776,2.1762564,0.932258
0.98606664,186.48227,7.581426,0.43436968
0.88905644,112.53409,4.9059205,0.7682379
0.6780728,116.01396,4.2441134,0.8248747
0.2616746,48.386665,1.9905376,0.95925117
0.26190817,55.834724,2.2095408,0.9442489
0.8822438,86.60971,3.648345,0.7743691
0.58534104,82.51633,3.1409538,0.90028393
0.7892818,114.55418,4.2549443,0.88127685
0.4498642,53.10299,2.2416952,0.95841354
0.103073634,63.579082,2.4512546,0.9407204
0.33268645,85.35918,3.2058628,0.92779994
0.16114919,76.177765,2.7217567,0.9621694
0.7818328,168.50903,6.1337485,0.8356457
0.700512,97.24258,3.919941,0.7764674
0.088412926,54.840797,2.1029036,0.9706576
0.6213854,119.22945,5.5740657,0.8950927
0.8741355,105.64734,4.34109,0.8316785
0.6973643,98.51251,3.6024017,0.91138136
0.5111119,71.25787,2.8313668,0.9488037
0.31186327,72.74335,2.8964033,0.90447533
0.88709676,135.31055,5.0774407,0.77020556
