transform_param,l1_distance,l2_distance,cosine_similarity
0.26122728,88.949326,4.077493,0.99310994
0.32487187,64.468216,2.9244504,0.9959698
0.8966777,182.94984,8.436563,0.9301436
0.42165652,104.21407,4.731735,0.9831084
0.59095347,130.4865,5.9528522,0.9728365
0.106682196,56.96371,2.5451477,0.9965822
0.17882918,82.41305,3.7166965,0.9916034
0.03588773,57.07366,2.579923,0.9954501
0.42437083,127.75569,5.830178,0.9693225
0.98892003,573.6044,25.629396,0.5375879
0.8738732,129.56558,5.9086013,0.9777713
0.63290894,142.42361,6.5131016,0.986719
0.8610965,195.24954,8.829904,0.93008554
0.5941694,172.98296,7.775604,0.9731494
0.36876887,126.28038,5.5923886,0.98269
0.1735464,65.08915,2.9396017,0.99045885
0.65304875,56.24276,2.5425014,0.9953686
0.19305128,102.53628,4.6064587,0.98696053
0.4174284,114.313416,5.199119,0.9880165
0.82580185,170.56131,7.7189384,0.95502055
0.1292293,72.6389,3.3348083,0.9904764
0.12902142,42.690136,1.9754981,0.996923
0.22440241,145.74976,6.637902,0.9743074
0.5519173,189.58282,8.574477,0.9304052
0.25172347,81.645805,3.6531205,0.9907357
0.5031979,147.4988,6.635449,0.9736864
0.3019826,101.98636,4.6374745,0.98772734
0.5062422,101.33417,4.6454363,0.98295337
0.27763146,81.56421,3.7217834,0.9869971
0.98001236,424.51593,19.32849,0.749913
0.4927179,85.791306,3.9169276,0.9833863
0.74364346,114.52298,5.342839,0.9710968
0.70054656,98.42084,4.4788837,0.9852431
0.49055937,99.16261,4.481624,0.9796634
0.23886207,121.53124,5.4283442,0.9808119
0.5107183,111.50628,4.9857755,0.9855682
0.6809716,215.47559,9.716149,0.9327441
0.45991927,102.40201,4.661677,0.9784368
0.08192511,54.808426,2.529534,0.99515057
0.01798323,18.335062,0.8250007,0.9994184
0.3278768,71.67467,3.2358184,0.989463
0.15022393,51.61801,2.399442,0.993664
0.9061902,138.95502,6.2743773,0.96783006
0.17583267,112.87051,5.2684755,0.9772314
0.39428273,123.411194,5.5667443,0.98048306
0.7120775,210.04207,9.607936,0.9395983
0.81542164,211.69571,9.579828,0.9337443
0.47771317,141.9765,6.5423064,0.9652201
0.18113501,82.51659,3.8360937,0.9893627
0.2708952,102.76195,4.672422,0.9872681
0.41896844,122.2114,5.5057425,0.9735262
0.36459458,91.11313,4.18246,0.98584795
0.34867275,48.60705,2.194392,0.9967092
0.1318538,48.867764,2.2185,0.99692464
0.9133102,303.6136,13.601097,0.8636296
0.029756606,34.062126,1.516377,0.99803114
0.4400021,72.67207,3.2470675,0.99076265
0.98032147,250.83655,11.457648,0.93335384
0.65972394,158.46411,7.3220305,0.9637139
0.35541067,158.87305,7.1127644,0.9783717
0.14609759,67.63981,3.1236584,0.9923703
0.9638726,376.0418,17.33352,0.8975096
0.013986362,31.714596,1.4420751,0.9975196
0.68138754,129.26627,5.9068956,0.9767295
0.88013744,253.35039,11.339073,0.9205433
0.02516049,32.89556,1.4794773,0.998461
0.72517484,170.72946,7.710796,0.94432896
0.99883777,560.8541,25.586504,0.56495273
0.6396425,190.27747,8.674799,0.96099156
0.41467896,139.1778,6.447208,0.9673275
0.87440073,164.66916,7.405861,0.9624117
0.55417925,85.07277,3.8974767,0.99352944
0.74944085,154.00043,6.9919715,0.96661437
0.587779,313.33972,14.354014,0.9060173
0.038291093,50.15169,2.2493813,0.9977621
0.21314499,91.30583,4.1275635,0.978263
0.078763574,44.61715,2.035247,0.9964573
0.10668776,68.22003,3.0709593,0.98859084
0.015405494,34.758392,1.5703765,0.9981812
0.421165,109.67355,5.001295,0.979483
