transform_param,l1_distance,l2_distance,cosine_similarity
0.26122728,64.98364,2.5595963,0.9954536
0.32487187,80.25694,3.2244925,0.993529
0.8966777,149.83244,5.936089,0.9550237
0.42165652,82.36432,3.2868917,0.9875744
0.59095347,133.79248,5.389078,0.9732243
0.106682196,55.52057,2.2470644,0.9960041
0.17882918,87.10554,3.567393,0.9883797
0.03588773,47.51287,1.9153091,0.9968668
0.42437083,118.44974,4.8291836,0.97626126
0.98892003,557.6533,22.39854,0.62439674
0.8738732,100.95752,3.9362378,0.9851482
0.63290894,124.34365,4.864023,0.9899559
0.8610965,163.81143,6.3832355,0.96023464
0.5941694,166.43088,6.6425076,0.9717703
0.36876887,109.06259,4.288123,0.9855196
0.1735464,57.096973,2.2559302,0.9937464
0.65304875,50.51677,1.9602268,0.9962011
0.19305128,99.93629,3.9128923,0.9874271
0.4174284,108.99385,4.328725,0.9870316
0.82580185,179.27591,7.072112,0.95329237
0.1292293,73.63492,2.93731,0.9907746
0.12902142,63.66964,2.6170194,0.9930819
0.22440241,159.5395,6.340652,0.96853125
0.5519173,124.069885,5.006608,0.9703323
0.25172347,72.43918,2.8836803,0.9928506
0.5031979,127.814384,5.072084,0.9785801
0.3019826,88.38993,3.486423,0.9904921
0.5062422,95.415726,3.818963,0.9835737
0.27763146,96.3939,4.0105205,0.9826282
0.98001236,446.15442,17.474037,0.73763466
0.4927179,97.277504,3.8759432,0.97958326
0.74364346,114.09917,4.5267496,0.97893894
0.70054656,97.47212,3.7917857,0.9835964
0.49055937,87.63417,3.4523716,0.98486835
0.23886207,124.04971,5.003975,0.9806075
0.5107183,101.4757,4.0040393,0.98801124
0.6809716,179.28069,7.0847225,0.9612074
0.45991927,111.71004,4.462777,0.978919
0.08192511,92.1499,3.636969,0.98628306
0.01798323,20.338554,0.8047596,0.99927986
0.3278768,67.075935,2.6682403,0.99167204
0.15022393,48.560318,1.964231,0.9945551
0.9061902,137.33926,5.413153,0.96889955
0.17583267,147.98285,5.835502,0.96633714
0.39428273,121.39436,4.8423505,0.9812991
0.7120775,155.25531,6.157523,0.9756875
0.81542164,152.94614,6.0650616,0.96131384
0.47771317,110.140335,4.3822265,0.9814146
0.18113501,91.01828,3.582731,0.989604
0.2708952,81.72951,3.2278104,0.99132067
0.41896844,118.21747,4.658229,0.97735435
0.36459458,119.010315,4.842452,0.97674024
0.34867275,45.597473,1.7895025,0.9966133
0.1318538,44.422874,1.7231253,0.99724257
0.9133102,251.86143,9.958446,0.9039203
0.029756606,31.339397,1.2382175,0.99844456
0.4400021,69.841415,2.7909107,0.99159974
0.98032147,200.97833,7.9539776,0.9581076
0.65972394,122.570694,4.859422,0.97900516
0.35541067,137.2062,5.4529166,0.9802512
0.14609759,104.60985,4.139097,0.984928
0.9638726,285.94974,11.218801,0.93796843
0.013986362,27.471897,1.0838503,0.9983738
0.68138754,131.71584,5.2795653,0.9772148
0.88013744,191.37381,7.4684863,0.9541186
0.02516049,36.545982,1.4571524,0.99777174
0.72517484,148.14166,5.7515182,0.9645489
0.99883777,406.5405,15.9651985,0.78400743
0.6396425,178.14879,6.9702296,0.9675572
0.41467896,139.6114,5.4747343,0.96819687
0.87440073,150.96542,5.987987,0.96828794
0.55417925,88.24324,3.5381598,0.992378
0.74944085,169.88387,6.7385907,0.96421504
0.587779,182.54178,7.262607,0.9656826
0.038291093,49.732838,1.9954278,0.9973588
0.21314499,94.637215,3.7491481,0.98117864
0.078763574,64.928955,2.565154,0.9931871
0.10668776,88.39706,3.6020086,0.9832967
0.015405494,59.679207,2.3360133,0.9949459
0.421165,101.46026,4.0248785,0.98351455
0.17865163,72.31008,2.9457529,0.9895363
0.8556965,158.39212,6.4080076,0.9495068
0.75003755,124.45949,4.990312,0.980113
0.573177,237.82872,9.519816,0.9398993
0.48902133,148.6178,6.3015914,0.95717955
0.25586864,177.7666,6.987215,0.96552956
0.47495148,126.23152,5.148489,0.9733696
0.6412293,67.33742,2.6774628,0.99291974
0.7822289,129.80664,5.173803,0.97289604
0.08168206,93.69476,3.7734137,0.98765755
0.7084647,241.6741,9.601275,0.9160166
0.7427299,97.0805,3.8646152,0.98880494
0.5589722,166.95029,6.6510906,0.9668119
0.2143192,83.52017,3.3550625,0.98946506
0.5391846,94.28723,3.6916072,0.98445475
0.50270486,83.32915,3.302207,0.98786396
0.4757101,132.421,5.273676,0.9738947
0.46063992,101.49979,4.187726,0.9775301
0.11082557,60.364624,2.4234095,0.99121046
0.18289249,75.28122,3.0223324,0.9911664
0.09733209,69.774055,2.7991784,0.99203426
0.24247783,103.705086,4.16848,0.9855536
0.2634768,71.98052,2.8996937,0.9912612
0.24507587,94.172104,3.6829941,0.98892134
0.21092907,84.45675,3.3278856,0.989537
0.7354221,143.31477,5.7903824,0.97171265
0.8185654,201.2319,8.064017,0.93251234
0.32710922,84.361664,3.3623424,0.9885003
0.3051289,139.21082,5.450225,0.9771058
0.84403235,145.38232,5.7635536,0.9662287
0.6239239,123.85839,4.981876,0.98209786
0.29343832,63.326675,2.4894493,0.99249816
0.7136123,111.367004,4.4242377,0.98168737
0.3445928,158.11359,6.295276,0.96551895
0.5865556,145.8566,5.760803,0.9755824
0.99263406,294.3246,11.784565,0.8629654
0.30159438,88.65412,3.513201,0.98858404
0.930526,214.88367,8.61747,0.93680197
0.32065243,99.46892,3.9969208,0.98511314
0.5402867,72.02476,2.8221078,0.99034
0.4599838,213.46405,8.3698435,0.9343893
0.78315955,138.31262,5.592984,0.969718
0.0610927,54.189735,2.160453,0.9952644
0.6271223,116.83963,4.5833774,0.9804612
0.76066697,143.65585,5.7208767,0.9636241
0.47214484,115.21822,4.6347585,0.9779699
0.1052926,96.17093,3.8356774,0.9825456
0.24480501,154.385,6.055128,0.966015
0.67967236,141.27658,5.5900908,0.962047
0.89543736,204.2257,8.196034,0.9441539
0.4216086,138.43024,5.631447,0.97203493
0.56041205,119.740295,4.8304677,0.9760568
0.22838503,136.11673,5.298332,0.976175
0.41221333,81.67236,3.2002952,0.99280334
0.33678982,104.72321,4.1718063,0.9819318
0.65552557,182.95015,7.089505,0.9542737
0.98469895,293.54755,12.029772,0.85847855
0.8133035,155.71005,6.244147,0.96514374
0.19216458,73.75581,2.9816618,0.9933425
0.5776786,98.612625,3.8831148,0.98596644
0.06641171,41.328125,1.6572961,0.9972498
0.24691549,88.634995,3.5284605,0.98718303
0.17221768,143.22284,5.745631,0.9713886
0.33554554,96.32267,3.8461246,0.98399353
0.678814,149.73102,5.857343,0.96478176
0.4993933,80.41075,3.2302163,0.9903091
0.93290925,217.23721,8.562898,0.95584315
0.21274884,119.29851,4.813321,0.9743498
0.36420915,119.31328,4.8369584,0.9782122
0.32985258,80.08032,3.1803768,0.9864507
0.23596363,73.29939,2.8855526,0.99269927
0.9931708,816.5001,33.413174,0.3591925
0.38722554,111.247406,4.383252,0.97958815
0.94050896,242.45816,9.530307,0.93884766
0.39047348,71.58445,2.8901074,0.98813665
0.20409168,62.8572,2.5051064,0.99431455
0.11920633,68.60266,2.7555008,0.99348676
0.85556316,281.92072,11.275283,0.86881536
0.03209764,60.01474,2.3597703,0.99421203
