transform_param,l1_distance,l2_distance,cosine_similarity
0.26122728,53.858147,3.4766424,0.99380165
0.32487187,57.857063,3.6827466,0.99415654
0.8966777,183.1937,11.623826,0.88936234
0.42165652,99.474045,6.4661255,0.9749794
0.59095347,110.258575,7.2542877,0.96895266
0.106682196,46.46531,2.9948504,0.99584913
0.17882918,45.711777,2.8933384,0.99527407
0.03588773,38.492447,2.4640942,0.99650353
0.42437083,99.43432,6.573258,0.9635916
0.98892003,431.24246,28.355371,0.5134694
0.8738732,139.42946,8.866941,0.9622386
0.63290894,111.92049,7.155264,0.985816
0.8610965,167.80261,10.740234,0.91697824
0.5941694,131.85965,8.32468,0.9757652
0.36876887,94.24979,6.0838556,0.98504376
0.1735464,57.678703,3.6923823,0.98709255
0.65304875,43.425568,2.775015,0.99577713
0.19305128,97.01269,6.358634,0.9774555
0.4174284,96.17241,5.9741926,0.9865103
0.82580185,142.95857,9.180101,0.94633377
0.1292293,54.221813,3.4747763,0.9917829
0.12902142,27.428825,1.7907542,0.997982
0.22440241,110.19677,7.086339,0.97936153
0.5519173,134.2626,8.575638,0.9370069
0.25172347,56.166847,3.6099756,0.9925096
0.5031979,92.34047,6.125096,0.9811171
0.3019826,92.6978,5.980248,0.98277426
0.5062422,82.98595,5.3104415,0.9824717
0.27763146,62.732872,3.9722652,0.9883522
0.98001236,285.12927,18.787472,0.81907016
0.4927179,76.68588,5.0811963,0.977698
0.74364346,90.84201,5.813384,0.9729258
0.70054656,87.20097,5.6043015,0.9821176
0.49055937,65.96924,4.2195506,0.9860789
0.23886207,128.32928,8.325048,0.9614097
0.5107183,114.386246,7.3072805,0.9731126
0.6809716,132.2641,8.490024,0.95156175
0.45991927,93.37983,6.072421,0.9698416
0.08192511,49.348083,3.2644095,0.9938881
0.01798323,12.920717,0.8280242,0.9995798
0.3278768,56.563187,3.6678092,0.9887948
0.15022393,42.962063,2.7550602,0.9935174
0.9061902,131.53018,8.387399,0.9543663
0.17583267,76.63557,4.994476,0.98300904
0.39428273,125.77519,8.231978,0.96360165
0.7120775,137.77884,8.998504,0.9456757
0.81542164,152.43896,9.953273,0.92950565
0.47771317,111.001564,7.0090013,0.9643021
0.18113501,60.292164,3.8516867,0.99098647
0.2708952,75.245285,4.8698263,0.9900546
0.41896844,91.29462,5.9301476,0.97543937
0.36459458,82.29799,5.3405137,0.98282534
0.34867275,43.236637,2.78864,0.99561715
0.1318538,41.025635,2.667609,0.996387
0.9133102,240.91162,15.745451,0.87343395
0.029756606,24.905958,1.5892329,0.99816537
0.4400021,61.77048,3.9249206,0.9893607
0.98032147,333.4365,20.967964,0.80364335
0.65972394,115.788795,7.5083494,0.9720625
0.35541067,118.93823,7.702497,0.97665906
0.14609759,75.53372,4.8547015,0.98330456
0.9638726,256.8579,16.83435,0.9079515
0.013986362,21.764378,1.429178,0.9983115
0.68138754,109.32405,7.099087,0.9700956
0.88013744,187.49707,12.1222,0.931583
0.02516049,25.7654,1.6389297,0.99827087
0.72517484,109.647934,7.1221523,0.96055204
0.99883777,474.84576,31.960772,0.40284795
0.6396425,138.9754,8.979703,0.96465117
0.41467896,136.03076,8.623678,0.9517445
0.87440073,207.1648,13.4729,0.8913184
0.55417925,77.13994,4.8030906,0.98896813
0.74944085,146.50354,9.558674,0.9543394
0.587779,155.75111,10.144869,0.96326166
0.038291093,30.899017,2.0173252,0.99855936
0.21314499,72.03428,4.6322546,0.981543
0.078763574,34.078453,2.1774983,0.9967412
0.10668776,42.0953,2.6944275,0.99401736
0.015405494,26.977127,1.7268023,0.9985017
0.421165,86.59554,5.7151146,0.9772239
0.17865163,46.91253,3.0701535,0.9934778
0.8556965,123.06956,7.88848,0.9452324
0.75003755,148.73589,9.588334,0.94823986
0.573177,157.39267,10.17029,0.9601867
0.48902133,80.28577,5.16139,0.9819123
0.25586864,107.26446,6.7516646,0.98077315
0.47495148,98.00903,6.4261813,0.9674736
0.6412293,72.61578,4.689114,0.9885836
0.7822289,156.97359,9.951178,0.9537147
0.08168206,53.353714,3.4738905,0.99334735
0.7084647,159.55682,10.218809,0.92419326
0.7427299,86.94939,5.6749015,0.9794239
0.5589722,169.7234,11.238461,0.94421697
0.2143192,52.788845,3.4396389,0.99169314
0.5391846,80.044174,5.2721686,0.979421
0.50270486,72.526596,4.6614017,0.9872421
0.4757101,93.029495,6.034589,0.9778545
0.46063992,74.26584,4.7455215,0.97466516
0.11082557,33.000557,2.1613927,0.99556667
0.18289249,79.93083,5.163419,0.98226166
0.09733209,47.855106,3.0750942,0.9942941
0.24247783,90.78349,5.8591394,0.97849435
0.2634768,62.45088,4.023869,0.9904108
0.24507587,67.7237,4.4225154,0.99040353
0.21092907,58.794456,3.8341768,0.9909152
0.7354221,166.939,10.604274,0.9361812
0.8185654,204.18808,12.945692,0.9136747
0.32710922,74.16375,4.687339,0.9866483
0.3051289,78.82474,5.152763,0.98697346
0.84403235,111.684135,7.249117,0.96135235
0.6239239,85.6048,5.5704474,0.98368776
0.29343832,50.429665,3.2591221,0.9927098
0.7136123,129.25348,8.262218,0.95559776
0.3445928,212.51953,13.770894,0.8888861
0.5865556,132.59619,8.512862,0.97028244
0.99263406,330.16254,21.697964,0.7572316
0.30159438,64.48016,4.1205335,0.989125
0.930526,177.5285,11.733524,0.9148985
0.32065243,64.32096,4.1831903,0.98743474
0.5402867,80.09131,5.1549153,0.9772694
0.4599838,107.485916,6.8355646,0.9700306
0.78315955,124.78447,7.944641,0.96117425
0.0610927,38.142754,2.514751,0.9946021
0.6271223,100.91324,6.396024,0.975538
0.76066697,130.17314,8.425032,0.9562609
0.47214484,84.00317,5.4719443,0.9727293
0.1052926,52.779472,3.37792,0.99208796
0.24480501,71.99141,4.671895,0.98840463
0.67967236,95.16022,6.2221756,0.9660088
0.89543736,157.67836,10.071779,0.9350525
0.4216086,123.95984,7.94184,0.9642762
0.56041205,100.65287,6.5178137,0.9750694
0.22838503,121.79591,7.8635583,0.97005457
0.41221333,93.04173,5.8752913,0.9871793
0.33678982,101.54536,6.493371,0.9739666
0.65552557,122.25377,7.9145155,0.95595944
0.98469895,367.5193,23.359417,0.5488433
0.8133035,131.78667,8.528607,0.95365214
0.19216458,87.232666,5.7469516,0.9838398
0.5776786,100.46864,6.4685864,0.9766481
0.06641171,30.984734,1.9951708,0.99694383
0.24691549,104.67228,6.675552,0.96128416
0.17221768,89.90707,5.9425116,0.9809152
0.33554554,83.36762,5.4657626,0.97975016
