transform_param,l1_distance,l2_distance,cosine_similarity
0.26122728,66.54395,3.6761596,0.9829814
0.32487187,137.53522,7.971406,0.90079194
0.8966777,238.0256,13.366526,0.6970099
0.42165652,115.44621,6.3720703,0.9118056
0.59095347,207.73676,11.775826,0.78462327
0.106682196,55.145164,3.0520594,0.98717594
0.17882918,103.44934,5.815489,0.9499871
0.03588773,34.54199,1.924844,0.99386847
0.42437083,160.2727,8.972257,0.85283905
0.98892003,580.1272,32.733925,0.11394003
0.8738732,119.88474,6.753444,0.92666876
0.63290894,197.1846,10.863376,0.87299967
0.8610965,249.11476,14.062401,0.75071836
0.5941694,140.00528,8.377479,0.9122702
0.36876887,225.48032,12.560703,0.7930674
0.1735464,107.066086,6.005054,0.9384343
0.65304875,20.834858,1.1609105,0.9968004
0.19305128,136.98425,7.7373548,0.9070378
0.4174284,217.60326,12.252739,0.86825466
0.82580185,340.9245,20.168547,0.5747218
0.1292293,96.181656,5.39094,0.9578943
0.12902142,54.93602,3.002089,0.97950935
0.22440241,112.77128,6.2404675,0.9535705
0.5519173,150.70735,8.394383,0.8348777
0.25172347,102.75285,5.71809,0.94259477
0.5031979,236.71774,13.190424,0.7570036
0.3019826,129.4489,7.214687,0.9261061
0.5062422,111.54806,6.2895193,0.93737507
0.27763146,126.93532,6.9091167,0.92797506
0.98001236,291.0296,16.62128,0.6182697
0.4927179,104.11714,5.7496176,0.9288869
0.74364346,217.62486,12.53531,0.8012807
0.70054656,116.96248,6.6377344,0.9208405
0.49055937,87.52163,4.9982452,0.945791
0.23886207,197.49915,10.725316,0.82877576
0.5107183,132.20636,7.3953986,0.9150295
0.6809716,184.52997,10.389452,0.85570484
0.45991927,142.24347,8.2036085,0.9068488
0.08192511,95.668076,5.1749806,0.96551144
0.01798323,17.621658,1.0009804,0.9983151
0.3278768,99.74985,5.5902214,0.94332266
0.15022393,50.68822,2.8792071,0.98669016
0.9061902,178.1087,10.497813,0.81570303
0.17583267,139.68535,7.7480426,0.89286196
0.39428273,165.59607,9.205368,0.86315715
0.7120775,232.76794,13.227323,0.7512678
0.81542164,242.12206,13.672559,0.7144542
0.47771317,232.47879,12.959492,0.78993976
