transform_param,l1_distance,l2_distance,cosine_similarity
0.26122728,102.98927,6.776539,0.98011935
0.32487187,94.11273,6.2974286,0.9700043
0.8966777,217.07697,14.705742,0.86942863
0.42165652,104.46393,7.058203,0.9621095
0.59095347,162.78224,11.410341,0.90683067
0.106682196,86.98622,5.6934166,0.9848453
0.17882918,54.529446,3.6964257,0.9930768
0.03588773,57.045784,3.523983,0.99472666
0.42437083,146.44933,9.639292,0.95592535
0.98892003,491.04138,32.08818,0.6826772
0.8738732,253.75734,15.49502,0.88155144
0.63290894,137.16107,9.795956,0.95607185
0.8610965,235.04056,15.6536665,0.8929069
0.5941694,104.79966,7.1422243,0.9714904
0.36876887,135.33238,10.288218,0.9309837
0.1735464,102.39251,6.5920606,0.9726964
0.65304875,40.78142,2.4171624,0.9958448
0.19305128,101.78117,6.328475,0.9776564
0.4174284,210.79907,14.467271,0.91082877
0.82580185,262.787,17.044237,0.8150994
0.1292293,94.714554,6.4689417,0.9771564
0.12902142,79.79307,5.8400593,0.97789586
0.22440241,119.95607,8.34496,0.963231
0.5519173,137.1465,9.148729,0.9489427
0.25172347,93.640625,5.894444,0.97257334
0.5031979,156.54327,10.2716,0.94941413
0.3019826,118.61949,7.646479,0.9658464
0.5062422,180.91496,11.8588915,0.9492027
0.27763146,132.28885,8.306821,0.9672854
0.98001236,313.17023,19.134674,0.82301855
0.4927179,155.81018,10.837685,0.9498401
0.74364346,212.0787,13.744784,0.89794016
0.70054656,152.62198,10.704715,0.9480945
0.49055937,151.8631,9.912899,0.9540931
0.23886207,125.82088,8.66515,0.9644852
0.5107183,117.805115,7.7530737,0.97287303
0.6809716,144.36679,8.899969,0.9566031
0.45991927,129.67348,8.584334,0.9642192
0.08192511,43.126583,2.6693165,0.9933233
0.01798323,8.941327,0.56427485,0.99983823
0.3278768,125.69225,8.760686,0.96296173
0.15022393,80.711945,6.044746,0.97972125
0.9061902,223.15222,14.055166,0.8689929
0.17583267,114.50371,7.2860923,0.9644153
0.39428273,198.0944,13.047495,0.9105158
0.7120775,187.03108,11.771015,0.9278462
0.81542164,237.33237,15.384528,0.89802384
0.47771317,172.0187,11.522968,0.9275012
0.18113501,63.07504,3.937383,0.99154663
0.2708952,129.79662,8.997689,0.9659786
0.41896844,100.384026,6.805077,0.97446024
0.36459458,101.465515,7.0252676,0.9631564
0.34867275,62.309044,3.9844644,0.98915434
0.1318538,49.079628,3.1643836,0.99770236
0.9133102,223.43982,14.529932,0.84200186
0.029756606,32.224873,1.9506078,0.99732584
0.4400021,105.50914,6.6878924,0.97772586
0.98032147,379.37106,24.34482,0.7656473
0.65972394,100.4337,7.707185,0.9636471
0.35541067,88.5827,5.6823654,0.9861722
0.14609759,49.107677,3.9513988,0.9897437
0.9638726,252.17328,15.927216,0.8197553
0.013986362,50.59665,3.569868,0.99321586
0.68138754,149.4213,9.57904,0.94658345
0.88013744,189.79991,11.781969,0.89514196
0.02516049,35.24508,2.1746612,0.9976699
0.72517484,148.75717,9.6556425,0.95280707
0.99883777,414.68842,25.437706,0.6641071
0.6396425,173.77151,10.665846,0.924641
0.41467896,143.48927,8.906098,0.96764845
0.87440073,297.26746,19.512152,0.84103847
0.55417925,112.99841,7.5385427,0.9787561
0.74944085,158.53795,10.706214,0.9339148
0.587779,202.56854,13.020426,0.89900976
0.038291093,39.127747,2.6142576,0.9968884
0.21314499,89.81707,6.7240195,0.97190523
0.078763574,56.394363,3.449886,0.99338615
0.10668776,54.196762,3.6984549,0.9908075
0.015405494,30.128754,2.0009127,0.99764776
0.421165,133.58661,8.626292,0.95516574
0.17865163,111.37477,7.1080794,0.97719765
0.8556965,148.45288,10.128369,0.93938214
0.75003755,200.85751,13.132566,0.90955436
