transform_param,l1_distance,l2_distance,cosine_similarity
0.26122728,42.01438,1.5460426,0.9992504
0.32487187,83.41203,2.800679,0.997169
0.8966777,115.63881,5.096629,0.9814171
0.42165652,27.966892,1.7028732,0.9979348
0.59095347,21.992096,0.9372364,0.9995285
0.106682196,5.285127,0.24912721,0.9999802
0.17882918,8.2143,0.3605973,0.9999496
0.03588773,6.4412723,0.26982433,0.99994266
0.42437083,24.076132,0.93292016,0.999248
0.98892003,213.07516,8.4237585,0.9205761
0.8738732,149.29462,6.0858836,0.973688
0.63290894,157.93188,6.1544876,0.98743975
0.8610965,217.09427,7.6649275,0.94890165
0.5941694,111.71744,3.7570567,0.99193066
0.36876887,12.053946,0.49248385,0.99987525
0.1735464,15.434683,0.65576196,0.999552
0.65304875,46.106323,1.8457179,0.9982197
0.19305128,199.22038,7.6253986,0.9892406
0.4174284,42.73795,1.7425349,0.99872255
0.82580185,166.6926,6.3936834,0.9686393
0.1292293,7.0598764,0.2725711,0.999938
0.12902142,3.4837275,0.16957293,0.9999896
0.22440241,18.891907,0.73627836,0.9996724
0.5519173,93.94839,3.356943,0.9912671
0.25172347,28.268131,1.2323375,0.9988886
0.5031979,32.108494,1.220635,0.99872744
0.3019826,66.36793,2.2717154,0.9964148
0.5062422,82.728806,3.243552,0.9943667
0.27763146,22.79654,0.76955646,0.9993919
0.98001236,267.1742,12.46722,0.97084415
0.4927179,35.314377,1.4988183,0.99837565
0.74364346,138.38339,4.916476,0.97374636
0.70054656,141.45729,5.7720413,0.98082316
0.49055937,63.176754,2.4494464,0.992729
0.23886207,53.847637,1.9833179,0.99635875
0.5107183,180.29135,6.4505134,0.98395014
0.6809716,100.0637,3.3637722,0.99287903
0.45991927,50.92991,1.8713893,0.9970106
0.08192511,60.198677,2.6571486,0.99667615
0.01798323,31.766354,1.177123,0.9995124
0.3278768,37.075447,1.496869,0.9988091
0.15022393,23.502981,0.8517076,0.9992987
0.9061902,125.737976,5.2898574,0.9762752
0.17583267,17.18029,0.9614253,0.9998764
0.39428273,102.81613,3.2806609,0.9887075
0.7120775,121.044174,5.2227807,0.98296225
0.81542164,180.88925,7.118138,0.9691802
0.47771317,48.62677,2.0753787,0.99661326
0.18113501,10.515568,0.49152908,0.99993956
0.2708952,25.523994,1.1527257,0.99914134
0.41896844,33.549263,1.3045472,0.99935037
0.36459458,107.62024,3.6277714,0.9905639
0.34867275,26.566017,1.061648,0.99882257
0.1318538,5.9587975,0.28066272,0.9999669
0.9133102,239.92093,9.625693,0.94625205
0.029756606,3.7844172,0.19298112,0.99999183
0.4400021,31.18354,1.326759,0.999141
0.98032147,64.31419,2.67592,0.9942913
0.65972394,80.72422,3.7498996,0.98640275
0.35541067,158.62093,5.0711136,0.9894531
0.14609759,8.661124,0.40003526,0.9999317
0.9638726,736.75574,27.140442,0.8222796
0.013986362,33.849068,1.2388442,0.99877095
0.68138754,54.96128,2.2673755,0.9948488
0.88013744,240.42819,9.891547,0.95761013
0.02516049,12.921026,0.48419133,0.99988365
0.72517484,45.117607,1.6745958,0.99773526
0.99883777,151.56358,6.48897,0.975395
0.6396425,219.97952,9.742886,0.97200304
0.41467896,131.88248,5.0039225,0.97836196
0.87440073,196.55481,7.0959444,0.95773184
0.55417925,25.228983,1.106773,0.9990451
0.74944085,58.275467,2.225452,0.99649954
0.587779,264.74945,10.726422,0.9087355
0.038291093,2.2714725,0.13263285,0.9999888
0.21314499,12.38389,0.71436876,0.99973655
0.078763574,16.747602,0.7227824,0.99975955
0.10668776,21.318714,0.7207168,0.9993759
0.015405494,6.6273975,0.26335397,0.99995565
0.421165,12.528204,0.5664536,0.9997741
0.17865163,12.792049,0.49670935,0.9997934
0.8556965,152.77692,6.0200715,0.975476
0.75003755,114.63342,5.2597136,0.9893424
0.573177,124.06798,4.6208024,0.97827053
0.48902133,15.194189,0.77695066,0.99967337
0.25586864,114.837234,3.8172715,0.9905592
0.47495148,66.8169,2.9657824,0.99125916
0.6412293,81.41713,2.9718502,0.997459
0.7822289,18.55082,1.0177925,0.9997
0.08168206,18.828342,0.7844701,0.99964094
0.7084647,104.39636,4.0128593,0.9806675
0.7427299,66.69858,3.055442,0.99180156
0.5589722,34.443985,1.6652251,0.9987758
0.2143192,10.363087,0.44243917,0.99990124
0.5391846,110.01963,4.569738,0.9867369
0.50270486,43.00892,1.9169338,0.9960738
0.4757101,40.738754,1.6274766,0.99826914
0.46063992,38.392357,1.603352,0.9986694
0.11082557,14.98172,0.5713699,0.9997428
0.18289249,7.1799498,0.32972854,0.9999416
0.09733209,8.416811,0.39016312,0.99991953
0.24247783,7.4039116,0.35868615,0.9999753
0.2634768,119.708954,4.321331,0.9902119
0.24507587,104.417625,3.8370059,0.9917777
0.21092907,12.991556,0.58273226,0.9996531
0.7354221,137.46895,5.5954137,0.97812515
0.8185654,188.64752,8.095087,0.9755844
0.32710922,21.586172,0.9166202,0.99937475
0.3051289,124.32576,4.4457026,0.98500496
0.84403235,208.89719,7.3213224,0.9701835
0.6239239,12.791311,0.73603976,0.99987435
0.29343832,35.615734,1.32062,0.9988929
0.7136123,103.12839,3.7423348,0.9849272
0.3445928,14.083426,0.7694358,0.9999341
0.5865556,141.7301,5.1328893,0.9852409
0.99263406,118.560074,5.2982674,0.98272705
0.30159438,76.2887,2.7661366,0.99788016
0.930526,78.412415,3.4276128,0.9885075
0.32065243,23.86631,0.90808755,0.9994386
0.5402867,38.028545,1.6862913,0.9977692
0.4599838,200.25964,7.7938375,0.94807506
0.78315955,80.86837,3.1051993,0.99133575
0.0610927,9.470536,0.36181998,0.99988395
0.6271223,59.633575,2.4821644,0.9965313
0.76066697,85.05045,3.2750552,0.98757285
0.47214484,45.253853,1.5809782,0.9980758
0.1052926,6.44606,0.25341982,0.9999473
0.24480501,24.892616,0.9531444,0.99941313
0.67967236,206.35342,8.261822,0.9679806
0.89543736,216.74045,7.506429,0.93250704
0.4216086,29.318346,1.6781251,0.99793833
0.56041205,39.162766,1.5386662,0.9971977
0.22838503,30.225094,1.1175022,0.9990064
0.41221333,10.68404,0.6089656,0.9999533
0.33678982,27.930473,1.0669616,0.9994307
0.65552557,69.13003,2.4277585,0.9954491
0.98469895,132.22075,5.892081,0.97157
0.8133035,225.90872,8.839423,0.97502494
0.19216458,6.0756755,0.30033898,0.99999255
0.5776786,190.68521,8.228298,0.96733546
0.06641171,6.488103,0.27477416,0.99994254
0.24691549,21.04842,0.9734546,0.9995448
0.17221768,24.48186,0.8422004,0.9995177
0.33554554,40.261337,1.7132779,0.9961673
0.678814,38.095875,2.3712764,0.9991262
0.4993933,230.07785,8.481516,0.9701567
0.93290925,197.20872,8.043204,0.96266407
0.21274884,11.641552,0.5197823,0.9998807
0.36420915,46.180363,1.662074,0.9969946
0.32985258,17.549923,0.79364187,0.9997047
0.23596363,33.441437,1.5904471,0.9986671
0.9931708,106.99313,4.830529,0.9861343
0.38722554,54.679176,2.19255,0.9958917
0.94050896,315.79968,12.251521,0.93919927
0.39047348,17.340181,0.69832814,0.99963
0.20409168,37.168827,1.4479,0.9988834
0.11920633,9.815456,0.48819822,0.9998808
0.85556316,70.44746,2.9471636,0.9956529
0.03209764,8.182938,0.365364,0.9998826
0.96439457,72.357895,3.2313616,0.9955577
0.41819122,38.84685,1.4274669,0.99827266
0.24737436,39.741962,1.5541328,0.9989183
0.6174461,86.17599,3.6057446,0.98932445
0.132913,45.084957,1.8351406,0.99846315
0.072145574,20.946388,0.9299829,0.9994254
0.82778335,87.75371,3.3886638,0.98862755
0.4246708,18.184841,0.9576651,0.9997007
0.51825494,145.15268,6.53011,0.9727589
0.176696,11.734348,0.5012267,0.99989736
0.061424244,12.41664,0.45833045,0.99983317
0.36777613,25.65696,1.4855851,0.9980315
0.50614625,20.523666,0.95435536,0.9997344
0.7654306,175.68037,6.060621,0.9841892
0.501052,17.131468,0.8381449,0.9997889
0.782507,319.94897,13.089761,0.9154718
0.11543278,14.099254,0.51758593,0.99987495
0.06396277,6.6417084,0.3229851,0.99991596
0.15886097,7.9150476,0.32501402,0.9999143
0.7720121,201.41495,8.554991,0.9132652
0.7593302,129.71288,4.740642,0.98002434
0.14136781,10.703432,0.49714303,0.99989736
0.030988658,9.728947,0.39023295,0.9999261
0.68528193,15.175917,0.84065104,0.9995557
0.8552818,118.60544,4.877069,0.97827196
0.7541077,36.700325,1.7203,0.9990315
0.20279898,51.823166,1.9136657,0.9980426
0.5837679,50.841526,2.1879392,0.9963951
0.7573657,48.544228,2.0928507,0.99779975
0.2558287,14.845732,0.5447665,0.99979806
0.5277208,112.15685,4.304231,0.9892528
0.3144604,64.75412,2.4875808,0.9964357
0.22557542,31.499947,1.3055769,0.99768275
0.96958935,133.68324,5.101317,0.9735954
0.912582,381.11475,14.302987,0.8836047
0.44566774,10.912937,0.49672467,0.999929
0.13677806,32.94226,1.2051325,0.9988507
0.7279073,132.97697,5.6801615,0.9773325
0.25570112,16.877872,0.6834129,0.9997357
0.16851781,21.70021,0.80731565,0.99958634
0.381529,65.228516,2.3639793,0.9961134
0.5298498,49.29377,2.8476152,0.99699265
0.09744033,12.9284315,0.4635863,0.999846
0.57174647,43.57122,1.9011513,0.9975798
0.015348375,8.864108,0.3342481,0.99994767
0.89186907,169.24588,7.3003373,0.96056104
0.9207417,314.1806,11.41444,0.8777597
0.7330708,95.421646,3.2759728,0.9909136
0.4665494,18.330944,0.8719335,0.9996718
0.25489628,47.303146,1.7690262,0.9967023
0.7441121,90.24669,3.8004074,0.99570674
0.9317972,27.875122,1.3960949,0.999634
0.1585337,34.101433,1.2986273,0.99899685
0.46582198,48.55725,1.9783279,0.9973918
0.31526163,30.683266,1.4419227,0.9993156
0.3567418,33.081455,1.3606045,0.998445
0.40575778,80.857025,3.1136224,0.9948344
0.95179635,327.7386,11.314728,0.86971414
0.25863716,54.080482,1.7671058,0.9972216
0.49267584,56.819565,2.2102401,0.99589777
0.9514875,116.33789,5.395965,0.97834325
0.4760569,41.55835,1.760968,0.9991262
0.86359954,57.820244,2.8503208,0.99698836
0.058764774,34.94599,1.267043,0.9985014
0.9530304,325.87192,11.050127,0.9068142
0.18753114,26.041454,0.9403078,0.99930906
0.97993505,149.27457,5.8220515,0.9593407
0.17557687,12.6554365,0.5480845,0.9997455
0.44436595,176.82663,6.9900923,0.9767437
0.3086145,25.898247,1.0254681,0.9991858
0.4332314,219.03424,8.083576,0.9897016
0.25052473,52.08882,1.9472775,0.9972336
0.9653174,96.892746,4.2236614,0.98791367
0.30572498,25.005348,0.8408174,0.99950004
0.6532749,53.12368,2.3710527,0.99660945
0.13744749,12.132465,0.5614105,0.99977523
0.8243875,181.46858,6.2905555,0.9868049
0.54250795,53.2078,1.9797043,0.99716485
0.9794461,640.8141,22.8836,0.59998643
0.42340222,61.741703,2.5031033,0.9955829
0.19544788,16.555416,0.6428224,0.9996152
0.346019,35.039192,1.2815038,0.9989943
0.7369656,87.88109,3.9997857,0.9957851
0.6591065,324.83417,12.329893,0.9645812
0.77834743,113.21527,4.3148894,0.98992586
0.073470294,8.769691,0.36313102,0.9998877
0.58036876,54.804916,2.1201649,0.9963926
0.93216866,57.23696,2.2138968,0.99603856
0.107901916,12.557371,0.4130391,0.99989223
0.09433526,12.077318,0.45566708,0.99984044
0.71660435,15.476148,0.88414675,0.99951327
0.31518245,104.670975,4.9081154,0.99241686
0.65857923,84.00098,3.544444,0.99072194
0.5453845,42.066727,1.9165964,0.9972702
0.98606664,68.69908,2.94882,0.9963109
0.88905644,229.6245,9.338761,0.947442
0.6780728,33.60267,1.7800348,0.99907243
0.2616746,16.966898,0.79445386,0.9995911
0.26190817,18.69571,0.67117286,0.99950045
0.8822438,131.69037,5.8974566,0.9851239
0.58534104,28.138601,1.3629972,0.9994965
0.7892818,60.346375,2.4667857,0.99553
0.4498642,40.114082,1.7301844,0.99780995
0.103073634,13.87734,0.69522035,0.9996401
0.33268645,33.92858,1.0790688,0.9989494
0.16114919,5.0061817,0.264497,0.9999767
0.7818328,75.68519,2.9919522,0.99391526
0.700512,143.86325,5.861007,0.97028863
0.088412926,20.864513,0.7034362,0.9997649
