transform_param,l1_distance,l2_distance,cosine_similarity
0.26122728,202.12602,9.82209,0.9248918
0.32487187,149.57599,7.1379375,0.96172434
0.8966777,492.15594,22.937733,0.75882065
0.42165652,456.4886,21.33476,0.7537238
0.59095347,551.40906,25.766956,0.7309948
0.106682196,156.46933,7.739616,0.94674796
0.17882918,146.88199,6.942569,0.962657
0.03588773,187.42714,9.522771,0.94364834
0.42437083,484.15375,22.146955,0.8674344
0.98892003,799.58826,37.218273,0.44352007
0.8738732,204.30539,9.28777,0.94157314
0.63290894,242.68286,11.311978,0.9118001
0.8610965,459.5855,20.868118,0.8240529
0.5941694,233.57475,10.941478,0.89981675
0.36876887,340.19635,15.82577,0.8357019
0.1735464,388.32785,18.429289,0.85317445
0.65304875,76.84681,3.5166209,0.9908297
0.19305128,223.43483,10.528486,0.9327866
0.4174284,319.57324,15.136707,0.84233123
0.82580185,491.9136,22.93042,0.76623505
0.1292293,272.9569,12.743263,0.9172889
0.12902142,274.6337,12.607496,0.9191807
0.22440241,261.96393,12.066252,0.9054959
0.5519173,343.73584,15.523152,0.89399534
0.25172347,222.04213,10.860894,0.903929
0.5031979,250.90393,11.699127,0.9152589
0.3019826,302.1762,14.20839,0.8428121
0.5062422,315.4743,14.752502,0.85846066
0.27763146,348.6,16.250032,0.8572359
0.98001236,764.8425,34.978584,0.6042013
0.4927179,335.23257,15.682075,0.8837571
0.74364346,593.6968,27.748558,0.64789677
0.70054656,266.3154,12.957652,0.876454
0.49055937,207.0409,9.534278,0.94475824
0.23886207,411.20526,19.790272,0.81902385
0.5107183,200.55927,9.332454,0.9455222
0.6809716,219.82304,10.394912,0.9481184
0.45991927,235.39038,11.061985,0.89852643
0.08192511,202.87337,9.483365,0.9451958
0.01798323,39.865074,1.8597584,0.9982376
0.3278768,192.98468,9.087259,0.95005953
0.15022393,203.4213,9.503697,0.94980806
0.9061902,337.09106,15.594603,0.8646633
0.17583267,301.00763,14.13125,0.90362495
0.39428273,668.0021,30.381481,0.7516292
0.7120775,380.89783,17.09535,0.8786205
0.81542164,382.0577,18.333447,0.79203117
0.47771317,538.261,24.694855,0.7649338
0.18113501,98.26764,4.679049,0.9853647
0.2708952,256.62302,11.890776,0.9042103
0.41896844,253.65808,11.783802,0.9322328
0.36459458,288.0241,13.224962,0.90970683
0.34867275,103.63739,4.7449517,0.9859977
0.1318538,55.783043,2.6379633,0.99466527
0.9133102,528.69214,24.651445,0.7705467
0.029756606,135.26047,6.2777205,0.9753866
0.4400021,200.35301,9.237073,0.94647926
0.98032147,218.11998,9.821707,0.93012744
0.65972394,264.91028,12.779511,0.87906945
0.35541067,124.62715,5.735719,0.9829752
0.14609759,294.2758,14.151689,0.8724554
0.9638726,413.7386,18.908243,0.74508464
0.013986362,207.93546,9.600633,0.9491825
0.68138754,530.0551,25.174673,0.7510738
0.88013744,312.3517,14.499426,0.8707535
0.02516049,131.2063,6.103739,0.98149014
0.72517484,322.0882,14.637352,0.8916127
0.99883777,938.6509,43.49415,0.24400815
0.6396425,489.94974,22.939056,0.8082804
0.41467896,453.66452,20.85374,0.8682264
0.87440073,285.58963,13.038599,0.87954926
0.55417925,223.07614,10.181282,0.9569449
0.74944085,291.424,13.654055,0.8615916
0.587779,664.49774,31.870098,0.6666631
0.038291093,120.36104,5.562494,0.98388934
0.21314499,234.36234,10.743679,0.942158
0.078763574,179.11319,8.10468,0.9544417
0.10668776,235.61798,11.098018,0.95588505
0.015405494,164.1799,7.3913784,0.96440655
0.421165,323.30966,14.892017,0.87662697
0.17865163,234.50806,10.775482,0.93417037
0.8556965,405.1106,18.720745,0.83188945
0.75003755,591.8025,28.033537,0.7681377
0.573177,321.6209,15.178219,0.84700286
0.48902133,201.15506,9.610604,0.91945755
0.25586864,232.52127,10.527639,0.9419417
0.47495148,180.4397,8.543354,0.9643384
0.6412293,154.77847,6.9567018,0.96326506
0.7822289,269.72418,12.473781,0.8787783
0.08168206,198.03413,9.540699,0.9336946
0.7084647,294.48596,13.92944,0.8602493
0.7427299,208.72687,9.519853,0.9408803
0.5589722,314.3898,15.23221,0.8658036
0.2143192,156.04738,7.188972,0.96358067
0.5391846,188.75385,9.508558,0.92628336
0.50270486,235.93,11.259835,0.9005257
0.4757101,356.15558,17.09474,0.81443846
0.46063992,422.02203,19.372726,0.85487396
0.11082557,252.10492,11.684195,0.926443
0.18289249,190.66498,9.168109,0.94020456
0.09733209,182.2888,8.898329,0.9330149
0.24247783,430.43796,19.665224,0.8657847
0.2634768,218.10431,10.389961,0.9506007
0.24507587,130.23218,5.8441734,0.98129445
