transform_param,l1_distance,l2_distance,cosine_similarity
0.26122728,18.615665,0.841874,0.99836683
0.32487187,41.942604,1.9349024,0.989889
0.8966777,325.40897,14.880116,0.6792352
0.42165652,112.5043,5.341088,0.94508046
0.59095347,276.9558,12.704465,0.80221784
0.106682196,7.893443,0.36522618,0.9995613
0.17882918,13.095578,0.6075283,0.9989856
0.03588773,41.368824,1.9399792,0.99386424
0.42437083,144.72852,6.8138666,0.94149655
0.98892003,473.12262,22.142347,0.18699637
0.8738732,119.765015,5.5873785,0.92975307
0.63290894,37.892143,1.7497154,0.9926466
0.8610965,156.41245,7.3575845,0.92448586
0.5941694,26.343071,1.2267405,0.99629384
0.36876887,53.074722,2.4973598,0.98693204
0.1735464,39.32143,1.8183516,0.99589753
0.65304875,27.142132,1.2711335,0.99585336
0.19305128,126.51039,5.8624,0.95561
0.4174284,88.585526,4.0312405,0.9706604
0.82580185,210.11986,9.87522,0.8296081
0.1292293,39.129738,1.8060212,0.9958184
0.12902142,32.702194,1.5158764,0.99603605
0.22440241,24.302982,1.1213791,0.9970604
0.5519173,176.30695,8.144133,0.8947268
0.25172347,21.171423,1.0428256,0.99654156
0.5031979,110.078354,5.089049,0.9610404
0.3019826,57.070248,2.6071935,0.98225904
0.5062422,59.37327,2.7527547,0.9834195
0.27763146,38.37343,1.7811847,0.99445575
0.98001236,270.76538,12.568779,0.7977416
0.4927179,135.98659,6.256551,0.94081086
0.74364346,176.82303,8.130494,0.88187337
0.70054656,61.888596,2.85766,0.98063606
0.49055937,58.319187,2.6751547,0.9854719
0.23886207,50.765842,2.37635,0.990487
0.5107183,69.54789,3.1601663,0.978776
0.6809716,278.11237,12.938602,0.78570056
0.45991927,85.01369,4.0874696,0.95848656
0.08192511,26.971834,1.2355893,0.9966479
0.01798323,13.5733,0.62021476,0.9994132
0.3278768,73.98012,3.4363563,0.9832013
0.15022393,26.544931,1.20983,0.9975561
0.9061902,152.46613,7.0585485,0.9123504
0.17583267,103.79192,4.894926,0.96710753
0.39428273,253.21024,11.738519,0.8335118
0.7120775,243.63838,11.2145405,0.83192396
0.81542164,101.00258,4.6688547,0.95117277
0.47771317,185.47046,8.683847,0.90883285
