transform_param,l1_distance,l2_distance,cosine_similarity
0.26122728,85.424736,3.4082923,0.9615718
0.32487187,78.34279,3.152248,0.96649134
0.8966777,285.38797,11.50569,0.7272248
0.42165652,286.1372,11.566892,0.8640663
0.59095347,404.5064,16.067766,0.673578
0.106682196,33.20508,1.3534504,0.9943675
0.17882918,54.52784,2.177241,0.9852623
0.03588773,57.26644,2.2682393,0.98659897
0.42437083,383.50452,15.417771,0.8065151
0.98892003,415.48175,16.970182,0.37966
0.8738732,164.44685,6.7252007,0.87797093
0.63290894,153.21379,6.160594,0.89175206
0.8610965,205.96655,8.272949,0.8434213
0.5941694,85.908325,3.466162,0.9552902
0.36876887,178.5237,7.128238,0.8674805
0.1735464,187.02603,7.579725,0.92442083
0.65304875,52.659924,2.1163864,0.9839959
0.19305128,111.72307,4.468348,0.9537536
0.4174284,144.61781,5.745807,0.88960505
0.82580185,202.04298,8.161303,0.852301
0.1292293,192.23276,7.7926707,0.94273424
0.12902142,81.34344,3.2704792,0.96948797
0.22440241,104.65405,4.1336055,0.9543842
0.5519173,231.6597,9.300652,0.8419013
0.25172347,74.339806,3.0197928,0.9716759
0.5031979,122.65942,4.950222,0.9297713
0.3019826,188.45844,7.5544767,0.8527075
0.5062422,119.966484,4.825861,0.9183768
0.27763146,127.4308,5.078049,0.93334293
0.98001236,376.85724,15.262358,0.6716339
0.4927179,187.15869,7.589136,0.88647527
0.74364346,362.18182,14.564846,0.722522
0.70054656,103.66773,4.1852465,0.93378407
0.49055937,82.89259,3.321596,0.9572141
0.23886207,189.32085,7.6180496,0.87124336
0.5107183,99.08043,4.009523,0.95362455
0.6809716,388.82135,15.515274,0.7776254
0.45991927,101.46921,4.089195,0.94144297
0.08192511,50.632896,2.0481508,0.9852601
0.01798323,18.987972,0.76485425,0.9985678
0.3278768,136.6,5.5012674,0.9375969
0.15022393,73.67934,2.9628484,0.97573566
0.9061902,329.1218,13.324907,0.5889724
0.17583267,126.33069,5.0320034,0.93687654
0.39428273,419.54456,17.100708,0.7200717
0.7120775,320.8596,12.9683275,0.73252654
0.81542164,162.64325,6.498618,0.88802236
0.47771317,365.12122,14.424876,0.7269018
0.18113501,17.357094,0.69245416,0.99862283
0.2708952,92.3236,3.7281444,0.9596709
0.41896844,162.17557,6.512919,0.94498515
0.36459458,136.15353,5.466446,0.92243665
0.34867275,98.370255,3.984639,0.9516969
0.1318538,27.498816,1.0947487,0.99556667
0.9133102,351.86902,14.160385,0.5819658
0.029756606,30.147984,1.1988026,0.9952138
0.4400021,63.662834,2.5527036,0.9790089
0.98032147,202.34235,8.058927,0.79835796
0.65972394,164.61195,6.702801,0.85450804
0.35541067,192.11273,7.831179,0.860301
0.14609759,94.31171,3.7935064,0.95313495
0.9638726,220.88365,8.905198,0.7810452
0.013986362,32.119034,1.2762033,0.9952381
0.68138754,407.6982,16.4084,0.72648215
0.88013744,328.00238,13.153596,0.7124943
0.02516049,49.56971,1.9867538,0.9912082
0.72517484,115.86061,4.649223,0.94693613
0.99883777,621.28577,25.219917,0.039134547
0.6396425,221.1751,8.818121,0.8918865
0.41467896,398.18396,16.003218,0.76011926
0.87440073,164.50665,6.6368017,0.85963506
0.55417925,139.67334,5.6520486,0.95215243
0.74944085,141.04068,5.6273665,0.9205625
0.587779,299.2672,12.016468,0.7314626
0.038291093,40.166626,1.6220016,0.9910574
0.21314499,113.90665,4.5120354,0.93738914
0.078763574,56.118164,2.253175,0.98463416
0.10668776,135.3678,5.3915415,0.9706667
0.015405494,30.706429,1.2300665,0.9952413
0.421165,279.05377,11.213411,0.83833027
0.17865163,133.63571,5.2954874,0.95422006
0.8556965,201.63452,8.112282,0.8545221
0.75003755,362.0975,14.578784,0.8049438
0.573177,264.77374,10.697295,0.75360346
0.48902133,120.89162,4.862628,0.93405527
0.25586864,86.65195,3.4580722,0.96275526
0.47495148,106.99148,4.2494235,0.9284385
0.6412293,128.10378,5.163034,0.9230095
0.7822289,109.9845,4.3902197,0.92587143
0.08168206,77.28106,3.1581554,0.9712095
0.7084647,162.88329,6.6032457,0.88470757
0.7427299,100.44377,4.0160465,0.9476286
0.5589722,227.96588,9.090709,0.8455138
0.2143192,63.332157,2.5464804,0.9762318
0.5391846,123.66127,4.954486,0.93004465
0.50270486,173.2698,6.9260616,0.8831776
0.4757101,182.74905,7.375829,0.8860378
0.46063992,164.95209,6.6536107,0.8939476
0.11082557,76.24843,3.0544748,0.9799215
0.18289249,82.997665,3.3744957,0.9665557
0.09733209,56.54686,2.2617877,0.98293555
0.24247783,172.57715,6.9890065,0.9502589
0.2634768,110.654755,4.456657,0.9556029
0.24507587,69.12315,2.761019,0.97589487
0.21092907,100.25454,4.0106754,0.9544775
0.7354221,131.22076,5.242135,0.9149418
0.8185654,303.11426,12.363138,0.69092935
0.32710922,98.70158,3.919494,0.9636672
0.3051289,156.13977,6.3351417,0.900617
0.84403235,294.79437,12.023641,0.71371496
0.6239239,149.99,6.0990987,0.8928851
0.29343832,94.88356,3.7511034,0.95230174
0.7136123,121.077194,4.834658,0.9337243
0.3445928,303.18845,12.013452,0.88822496
0.5865556,213.92314,8.479715,0.7901164
0.99263406,465.73038,18.796318,0.27951705
0.30159438,86.1089,3.446757,0.9570496
0.930526,234.04532,9.428236,0.74480927
0.32065243,145.6484,5.900795,0.89653575
0.5402867,98.57951,4.0247974,0.9429537
0.4599838,163.40518,6.563874,0.8972497
0.78315955,101.36684,4.1246986,0.9479934
0.0610927,75.69507,3.0972674,0.97767806
0.6271223,458.87616,18.503094,0.7124796
0.76066697,168.5139,6.804494,0.85876745
0.47214484,120.795044,4.8233547,0.98115075
0.1052926,136.05281,5.457841,0.91487324
0.24480501,58.635303,2.4058845,0.97978973
0.67967236,262.7009,10.504506,0.85478044
0.89543736,356.44614,14.239955,0.7108081
0.4216086,127.801926,5.1118693,0.9187356
0.56041205,248.88716,9.991098,0.80881274
0.22838503,118.28886,4.7244024,0.9329738
0.41221333,106.030815,4.276261,0.9432956
0.33678982,37.949287,1.5381166,0.99295956
0.65552557,249.63123,9.889619,0.82925224
0.98469895,637.577,25.671741,0.027341329
0.8133035,440.0758,17.816792,0.6081863
0.19216458,154.561,6.2043414,0.9208752
0.5776786,172.24957,6.903742,0.8554359
0.06641171,179.49615,7.247373,0.9545901
0.24691549,100.072334,4.0087695,0.9380977
