transform_param,l1_distance,l2_distance,cosine_similarity
2.7270072,758.5514,14.621411,0.9295883
0.3903304,758.5514,14.621411,0.99855775
1.550337,758.5514,14.621411,0.9866992
0.13148364,758.5514,14.621411,0.9983495
1.5506089,758.5514,14.621411,0.9871908
2.6992538,758.5514,14.621411,0.96382314
2.0140123,758.5514,14.621411,0.9317689
0.37587687,758.5514,14.621411,0.9303507
2.502976,742.558,14.507394,0.9958395
2.7653077,742.558,14.507394,0.9734038
0.39140287,742.558,14.507394,0.98893136
1.070495,742.558,14.507394,0.92972314
0.5094442,742.558,14.507394,0.9992311
1.7714791,742.558,14.507394,0.9792326
0.717644,742.558,14.507394,0.8866568
2.9618704,742.558,14.507394,0.97561765
2.7436805,836.6492,15.347701,0.9569422
1.7559546,836.6492,15.347701,0.99005014
2.6703353,836.6492,15.347701,0.9490991
0.410611,836.6492,15.347701,0.99546194
0.58736503,836.6492,15.347701,0.990037
2.1297235,836.6492,15.347701,0.9815229
1.673109,836.6492,15.347701,0.9108279
2.0411875,836.6492,15.347701,0.9159527
0.36780417,914.1344,17.141188,0.9942309
0.7826364,914.1344,17.141188,0.9632016
1.6360648,914.1344,17.141188,0.9834058
1.4262705,914.1344,17.141188,0.9107847
2.5930104,914.1344,17.141188,0.95667344
2.495201,914.1344,17.141188,0.95911944
1.7034656,914.1344,17.141188,0.85644156
2.2921007,914.1344,17.141188,0.987108
2.9329548,731.1768,13.174951,0.92917335
2.1106024,731.1768,13.174951,0.9844121
1.4196988,731.1768,13.174951,0.9432324
0.8574802,731.1768,13.174951,0.99566203
1.4772025,731.1768,13.174951,0.9737975
1.8856432,731.1768,13.174951,0.98079216
1.0697708,731.1768,13.174951,0.989235
1.0347587,731.1768,13.174951,0.9717431
2.225988,617.068,11.172132,0.9741247
1.2198443,617.068,11.172132,0.98785037
2.9905767,617.068,11.172132,0.9638203
1.4651521,617.068,11.172132,0.98524576
1.9851807,617.068,11.172132,0.9796077
2.1945045,617.068,11.172132,0.97226244
0.371916,617.068,11.172132,0.99581057
2.819021,617.068,11.172132,0.97064227
0.58883744,566.0521,10.512503,0.99152833
1.8193866,566.0521,10.512503,0.9867808
1.0068209,566.0521,10.512503,0.9876467
0.25086945,566.0521,10.512503,0.95242876
1.5266505,566.0521,10.512503,0.9897188
0.13408907,566.0521,10.512503,0.99907255
2.4143717,566.0521,10.512503,0.97450745
2.7175126,566.0521,10.512503,0.969144
0.44135955,685.2013,13.8531685,0.99160725
1.143868,685.2013,13.8531685,0.9907146
1.0817527,685.2013,13.8531685,0.9363507
0.1202624,685.2013,13.8531685,0.9988062
2.0912094,685.2013,13.8531685,0.9155089
1.383406,685.2013,13.8531685,0.9328754
0.7535971,685.2013,13.8531685,0.9989037
1.2254151,685.2013,13.8531685,0.9894949
1.5903339,780.55286,15.018828,0.92331
0.1660015,780.55286,15.018828,0.9674488
2.570641,780.55286,15.018828,0.99671805
0.5997822,780.55286,15.018828,0.8872144
0.26462433,780.55286,15.018828,0.9957955
2.944845,780.55286,15.018828,0.96056384
0.7609956,780.55286,15.018828,0.9879103
0.61667657,780.55286,15.018828,0.992172
2.424226,793.1097,14.51601,0.9787786
1.0364372,793.1097,14.51601,0.9651386
1.0066315,793.1097,14.51601,0.90714794
2.7288022,793.1097,14.51601,0.9816047
2.8749022,793.1097,14.51601,0.9755215
0.85464376,793.1097,14.51601,0.9921833
0.57709813,793.1097,14.51601,0.9919636
1.6090025,793.1097,14.51601,0.9384444
2.4700544,732.8782,14.1941395,0.9754813
1.3284394,732.8782,14.1941395,0.98101884
0.7522804,732.8782,14.1941395,0.9793243
0.44507533,732.8782,14.1941395,0.9949892
0.6948295,732.8782,14.1941395,0.98146474
2.7048247,732.8782,14.1941395,0.9422218
0.2812614,732.8782,14.1941395,0.999306
0.3336789,732.8782,14.1941395,0.8734227
1.928391,1086.6511,20.471384,0.9029862
0.57684433,1086.6511,20.471384,0.9792508
1.2789416,1086.6511,20.471384,0.8793732
2.9717758,1086.6511,20.471384,0.97808
0.117888086,1086.6511,20.471384,0.8114812
0.4459924,1086.6511,20.471384,0.9986579
0.36099106,1086.6511,20.471384,0.9238187
2.4969006,1086.6511,20.471384,0.98479867
0.68049353,1135.0879,21.089571,0.8031482
1.5978397,1135.0879,21.089571,0.9878807
0.14199664,1135.0879,21.089571,0.94398534
1.3273077,1135.0879,21.089571,0.8377696
1.7099602,1135.0879,21.089571,0.99551547
2.0094895,1135.0879,21.089571,0.9233419
0.32794058,1135.0879,21.089571,0.9474123
2.8461583,1135.0879,21.089571,0.98043644
1.4325573,934.4995,17.671879,0.98341113
2.5531106,934.4995,17.671879,0.94168496
2.983469,934.4995,17.671879,0.9696776
2.1674938,934.4995,17.671879,0.890922
1.4691027,934.4995,17.671879,0.9869826
2.3983521,934.4995,17.671879,0.98351043
1.4332238,934.4995,17.671879,0.98855186
0.5766204,934.4995,17.671879,0.8516074
