transform_param,l1_distance,l2_distance,cosine_similarity
1.7806305,72.93266,2.0052621,0.5651636
2.070889,72.93266,2.0052621,0.6623963
1.0110749,72.93266,2.0052621,0.4424439
2.398665,72.93266,2.0052621,0.3194582
2.73796,71.569695,1.971495,0.5199453
0.8494084,71.569695,1.971495,0.40855068
1.2703446,71.569695,1.971495,0.4680849
0.7110118,71.569695,1.971495,0.66002274
1.6316491,75.30786,2.0855742,0.54405755
1.4678373,75.30786,2.0855742,0.37734264
1.2419337,75.30786,2.0855742,0.29505795
1.1490885,75.30786,2.0855742,0.608732
1.4622266,76.29091,2.0955064,0.5886681
1.5158833,76.29091,2.0955064,0.4250909
2.568349,76.29091,2.0955064,0.45809984
2.733828,76.29091,2.0955064,0.33256757
1.5444757,75.30887,2.0874963,0.6050897
0.34264055,75.30887,2.0874963,0.5577442
1.0749658,75.30887,2.0874963,0.2650922
2.6391768,75.30887,2.0874963,0.39325395
2.7183452,83.759445,2.2922828,0.22953299
1.0829428,83.759445,2.2922828,0.33095738
2.6664557,83.759445,2.2922828,0.2730319
1.4199929,83.759445,2.2922828,0.5391973
1.6417832,77.125404,2.1200774,0.27949026
0.68239045,77.125404,2.1200774,0.6410198
2.3923364,77.125404,2.1200774,0.30461675
2.5247734,77.125404,2.1200774,0.52750933
0.36999175,74.41822,2.0555208,0.49211633
2.0469887,74.41822,2.0555208,0.2728257
1.7762551,74.41822,2.0555208,0.4473097
0.46424887,74.41822,2.0555208,0.6751654
1.7591405,72.53056,1.9854661,0.51884305
0.6332898,72.53056,1.9854661,0.5548174
2.944989,72.53056,1.9854661,0.4909678
1.3138301,72.53056,1.9854661,0.46433407
1.3181939,83.5711,2.277951,0.3034401
0.9210644,83.5711,2.277951,0.31970465
0.5762625,83.5711,2.277951,0.47331873
1.9550006,83.5711,2.277951,0.30900598
0.14153175,55.696617,1.5988489,0.87473536
1.7239891,55.696617,1.5988489,0.60479295
0.17230451,55.696617,1.5988489,0.81993514
0.5517493,55.696617,1.5988489,0.4223777
2.8922923,67.698006,1.920356,0.3157822
0.27927554,67.698006,1.920356,0.50497574
1.2548039,67.698006,1.920356,0.45558017
0.14609578,67.698006,1.920356,0.8797782
2.535767,78.22276,2.1506093,0.22329259
1.8095584,78.22276,2.1506093,0.52649117
2.968456,78.22276,2.1506093,0.31658894
0.8535418,78.22276,2.1506093,0.6210669
0.9590108,76.38745,2.0891232,0.63418275
1.8082331,76.38745,2.0891232,0.4958313
2.5152822,76.38745,2.0891232,0.33715487
2.73319,76.38745,2.0891232,0.35061347
1.9272006,79.88661,2.1799889,0.27796212
1.6736231,79.88661,2.1799889,0.4378501
1.7383896,79.88661,2.1799889,0.5721911
