transform_param,l1_distance,l2_distance,cosine_similarity
2.8810296,611.3916,11.855382,0.5096173
0.30723163,611.3916,11.855382,0.96169734
2.509347,611.3916,11.855382,0.8260123
2.9307926,611.3916,11.855382,0.5038509
2.9310179,611.3916,11.855382,0.76797545
2.1293921,611.3916,11.855382,0.6991881
0.2552007,611.3916,11.855382,0.9817227
1.8484025,611.3916,11.855382,0.70089334
1.1480005,556.96576,11.3085785,0.879006
1.0877597,556.96576,11.3085785,0.93814623
1.2898237,556.96576,11.3085785,0.8698505
1.7246004,556.96576,11.3085785,0.64265394
1.8325602,556.96576,11.3085785,0.8429657
1.0468445,556.96576,11.3085785,0.93265665
1.520669,556.96576,11.3085785,0.77016544
0.8243414,556.96576,11.3085785,0.9582152
1.7703168,614.3757,11.572739,0.69984686
2.7875676,614.3757,11.572739,0.8736659
2.5202181,614.3757,11.572739,0.56138635
1.5570227,614.3757,11.572739,0.90727687
1.8724605,614.3757,11.572739,0.7659288
1.9939988,614.3757,11.572739,0.8845249
1.8799986,614.3757,11.572739,0.6234936
2.9771469,614.3757,11.572739,0.5316402
2.7058265,375.98822,7.8549557,0.65738535
0.53939897,375.98822,7.8549557,0.9385518
0.4936932,375.98822,7.8549557,0.9786426
1.8340454,375.98822,7.8549557,0.7121225
0.79730093,375.98822,7.8549557,0.9373207
0.49658552,375.98822,7.8549557,0.9659666
1.397435,375.98822,7.8549557,0.7725843
0.84279275,375.98822,7.8549557,0.97179663
0.77495944,571.3682,10.88113,0.90150726
1.336808,571.3682,10.88113,0.93441755
1.6019977,571.3682,10.88113,0.7502457
2.5320675,571.3682,10.88113,0.8863556
2.8692698,571.3682,10.88113,0.52449524
2.0395446,571.3682,10.88113,0.84293133
1.7206566,571.3682,10.88113,0.8660903
2.3480682,571.3682,10.88113,0.6032567
1.6139914,551.2074,10.64104,0.8956996
2.7440236,551.2074,10.64104,0.7610468
1.5554768,551.2074,10.64104,0.8223928
2.0888827,551.2074,10.64104,0.851161
0.18037555,551.2074,10.64104,0.9927763
2.8553858,551.2074,10.64104,0.56452626
2.764868,551.2074,10.64104,0.7830514
0.99193966,551.2074,10.64104,0.95257163
2.3939707,544.1916,10.245809,0.70712703
1.696553,544.1916,10.245809,0.92507124
1.6533678,544.1916,10.245809,0.86467934
2.1249945,544.1916,10.245809,0.63597345
1.7673117,544.1916,10.245809,0.9021777
0.25481015,544.1916,10.245809,0.9906422
1.9760579,544.1916,10.245809,0.8439656
2.337185,544.1916,10.245809,0.7485058
1.8106488,537.1782,10.305961,0.84089124
2.0938253,537.1782,10.305961,0.84985095
2.7815604,537.1782,10.305961,0.48980486
2.2344885,537.1782,10.305961,0.759588
2.2266781,537.1782,10.305961,0.6860678
0.838665,537.1782,10.305961,0.88805956
0.42072088,537.1782,10.305961,0.98483086
1.8417606,537.1782,10.305961,0.88877666
2.3978238,531.9646,10.611466,0.5597255
2.224049,531.9646,10.611466,0.65024626
1.3048493,531.9646,10.611466,0.95243096
2.4416254,531.9646,10.611466,0.5654439
2.9822958,531.9646,10.611466,0.69567674
1.51332,531.9646,10.611466,0.7392038
0.2050816,531.9646,10.611466,0.9917476
1.6397456,531.9646,10.611466,0.9031377
1.5412085,458.33447,8.788131,0.91885525
1.0631418,458.33447,8.788131,0.8435909
1.185579,458.33447,8.788131,0.8442681
1.4214665,458.33447,8.788131,0.9551463
1.4670345,458.33447,8.788131,0.9052931
1.6586299,458.33447,8.788131,0.9189483
0.59921557,458.33447,8.788131,0.971385
2.7068872,458.33447,8.788131,0.5224911
0.84781665,479.70358,9.729623,0.9691903
1.6192707,479.70358,9.729623,0.88264894
1.319269,479.70358,9.729623,0.8427917
2.209329,479.70358,9.729623,0.88876104
1.7898507,479.70358,9.729623,0.7290044
2.4187129,479.70358,9.729623,0.6026006
1.6420839,479.70358,9.729623,0.8874278
0.29818866,479.70358,9.729623,0.9821612
1.1706748,499.55484,10.105907,0.8604593
2.709925,499.55484,10.105907,0.603945
0.71238637,499.55484,10.105907,0.93583727
2.4899142,499.55484,10.105907,0.84384304
0.7818449,499.55484,10.105907,0.9236115
1.6143452,499.55484,10.105907,0.8704612
1.894601,499.55484,10.105907,0.71673226
1.2263793,499.55484,10.105907,0.96493864
1.6631023,537.42773,10.315602,0.7412945
2.4205732,537.42773,10.315602,0.79455197
1.3450196,537.42773,10.315602,0.82479095
2.5126586,537.42773,10.315602,0.6672187
0.5832998,537.42773,10.315602,0.9366413
1.693233,537.42773,10.315602,0.73533624
1.5083402,537.42773,10.315602,0.79229134
