transform_param,l1_distance,l2_distance,cosine_similarity
2.0620215,2111.779,39.571606,0.6034474
1.5750539,2111.779,39.571606,0.9943718
2.7844105,2111.779,39.571606,0.93148065
2.115232,2111.779,39.571606,0.76774716
0.32207102,2066.0366,40.498356,0.993077
2.5025327,2066.0366,40.498356,0.7960453
0.46437052,2066.0366,40.498356,0.85931146
2.8172684,2066.0366,40.498356,0.5777012
1.5433968,1891.508,39.78819,0.9961285
0.23901612,1891.508,39.78819,0.98910564
2.8304899,1891.508,39.78819,0.68436724
2.7691317,1891.508,39.78819,0.5732006
2.3105512,1508.612,26.667557,0.9950853
1.137881,1508.612,26.667557,0.93805975
0.3588378,1508.612,26.667557,0.8731144
2.7464776,1508.612,26.667557,0.93691903
0.4811938,1836.4261,34.658295,0.8446629
1.1729194,1836.4261,34.658295,0.989196
2.969738,1836.4261,34.658295,0.6472702
2.0439804,1836.4261,34.658295,0.96029615
0.93849134,1809.6049,32.442493,0.9218713
1.8312668,1809.6049,32.442493,0.9517175
0.61573035,1809.6049,32.442493,0.8222238
0.47036165,1809.6049,32.442493,0.83667743
1.2604669,1849.02,36.51987,0.9107785
2.60806,1849.02,36.51987,0.5852834
0.39344174,1849.02,36.51987,0.9832877
0.3414796,1849.02,36.51987,0.88900954
1.8026714,2343.9595,44.195995,0.74917436
1.1174209,2343.9595,44.195995,0.8498961
2.8500175,2343.9595,44.195995,0.53150463
2.4706192,2343.9595,44.195995,0.97285783
2.1746373,2266.8271,44.578423,0.57851934
1.1116735,2266.8271,44.578423,0.97754276
2.4688284,2266.8271,44.578423,0.57319105
2.9086432,2266.8271,44.578423,0.9654474
2.943398,2126.1409,38.55021,0.70549345
1.0083368,2126.1409,38.55021,0.95777535
2.8109138,2126.1409,38.55021,0.9163603
1.0807893,2126.1409,38.55021,0.7822045
1.9978408,1895.5386,32.99489,0.8801702
1.846385,1895.5386,32.99489,0.9508756
2.231458,1895.5386,32.99489,0.78852224
1.2616836,1895.5386,32.99489,0.9576238
2.7800298,1610.9133,28.304937,0.90615857
1.5796089,1610.9133,28.304937,0.877065
1.6558888,1610.9133,28.304937,0.9558939
0.29496017,1610.9133,28.304937,0.99078965
2.1924496,2090.2913,38.062252,0.85353726
1.3139113,2090.2913,38.062252,0.98545396
1.5782745,2090.2913,38.062252,0.9101471
2.2248054,2090.2913,38.062252,0.6052152
0.35427943,1600.1702,28.283323,0.99699056
1.6696781,1600.1702,28.283323,0.9784554
2.186213,1600.1702,28.283323,0.87824094
2.33608,1600.1702,28.283323,0.8372457
1.1174854,2085.9414,38.57163,0.89456666
1.247636,2085.9414,38.57163,0.96561843
2.8815026,2085.9414,38.57163,0.58634436
1.630128,2085.9414,38.57163,0.88931173
0.23732252,1474.1188,29.766981,0.9264165
1.5064625,1474.1188,29.766981,0.69373465
0.22969145,1474.1188,29.766981,0.999002
1.5808884,1474.1188,29.766981,0.9629703
0.2795263,1363.8157,26.427761,0.90826637
0.42880958,1363.8157,26.427761,0.85789645
0.3740194,1363.8157,26.427761,0.99817514
0.2981521,1363.8157,26.427761,0.89880335
1.0227963,2053.8486,38.38731,0.9392657
1.5878345,2053.8486,38.38731,0.63887346
2.250167,2053.8486,38.38731,0.7909872
1.1721954,2053.8486,38.38731,0.9478869
2.7723384,2179.0552,41.77497,0.9148991
1.7936735,2179.0552,41.77497,0.6444736
1.8599982,2179.0552,41.77497,0.6387857
0.9712558,2179.0552,41.77497,0.99262804
2.2935956,1452.2969,25.68834,0.9385761
1.1293377,1452.2969,25.68834,0.9770678
1.26189,1452.2969,25.68834,0.9389376
0.24984343,1452.2969,25.68834,0.92474484
2.9285092,1827.3557,32.072247,0.8971863
1.294845,1827.3557,32.072247,0.8970016
1.1470864,1827.3557,32.072247,0.8010818
