transform_param,l1_distance,l2_distance,cosine_similarity
2.4362032,47.145107,2.5457227,0.8738985
1.7485043,50.408684,2.4579704,0.85053355
0.30565575,31.798647,1.5879041,0.9713429
1.4153808,24.92632,1.2566723,0.98144525
0.932229,27.189613,1.3703932,0.96480656
2.4758162,37.645897,1.9502685,0.95417416
2.1035266,33.59758,1.8917811,0.94520783
2.0291004,35.678818,2.0071404,0.94060946
1.126618,62.3145,3.0012217,0.7762999
1.3689208,55.838055,3.0922709,0.9483111
0.25427523,22.675808,1.1545765,0.9858376
0.81265306,15.560391,0.7935386,0.99059355
2.7711172,70.18552,3.4933484,0.71557033
0.6916832,45.41566,2.2976127,0.9640918
1.6054223,20.596119,1.0914828,0.97633934
0.44898233,22.975615,1.1117264,0.97876966
2.693352,42.420918,2.3714602,0.9180298
2.861256,35.250435,1.7447693,0.92464316
1.5092239,22.932245,1.1817086,0.98324347
2.7924938,51.688858,2.861945,0.9271076
1.2263823,31.8862,1.678932,0.97651845
2.397258,37.10288,1.8617772,0.9594321
2.9707847,52.268402,2.8347552,0.870322
2.0155313,26.708881,1.4343785,0.9670848
2.8536756,34.84493,1.7996892,0.9569673
0.84318316,15.250904,0.79616797,0.99018264
2.8757617,44.30778,2.2286272,0.9334446
1.6538348,26.520344,1.4055026,0.97103864
1.5823525,30.529085,1.5285163,0.97228014
1.1646943,29.41029,1.4947544,0.979207
2.1326115,33.115746,1.7733357,0.95186406
1.1346834,26.482065,1.3097022,0.9589119
2.6020596,29.13728,1.6333145,0.95492375
0.6289268,27.180584,1.3282413,0.9771699
1.5283523,19.75985,1.0357925,0.98219573
0.1404989,14.121929,0.67432857,0.9886622
0.40528536,24.553804,1.270104,0.9830385
1.2845521,47.41719,2.518333,0.9442972
0.5799228,27.008003,1.2883826,0.97236127
0.45041853,24.388618,1.2347467,0.9841156
2.6254194,37.220314,1.8101391,0.9568291
1.4894211,29.931181,1.5182862,0.9707328
0.40350926,26.18215,1.334035,0.98062813
1.987474,37.62442,2.0705779,0.96988046
1.2000496,34.39676,1.8185717,0.9626
1.1069238,29.560612,1.5104187,0.976293
2.6775928,41.254963,2.3117032,0.946263
2.3351731,34.428223,1.7754146,0.9591652
0.7440226,29.771114,1.5001186,0.978895
0.7678568,20.49665,1.0206888,0.9806685
0.70320857,37.365234,2.0945227,0.9671855
0.950462,16.245056,0.86118734,0.98746014
1.604784,32.894375,1.5907232,0.95777506
2.6672742,34.545982,1.7593064,0.9530691
2.7963624,37.61424,1.9322273,0.96667343
2.781698,39.293617,2.0996041,0.95107204
0.43637368,30.603342,1.5681232,0.9783813
0.16511722,21.476673,1.0996264,0.9843514
1.4669614,19.229897,1.011345,0.9838701
0.79489636,22.25395,1.1425518,0.9830206
0.7998344,14.681442,0.7483295,0.99141216
2.8421848,51.95097,2.722194,0.89494526
1.4054563,58.416256,2.8174891,0.77042294
2.1074507,43.221252,2.1599193,0.95393616
1.2504059,21.172602,1.1444153,0.979674
2.6484103,49.92382,2.7542253,0.8830975
1.2532631,60.76237,2.903341,0.77537143
0.72961843,13.625416,0.7140724,0.9915242
2.7745402,41.705647,2.1597638,0.93887776
0.20399171,11.26721,0.5846528,0.9940601
1.4770981,33.05684,1.8650407,0.9744122
2.287488,49.102665,2.7607474,0.94790053
0.6598028,36.160126,1.7739772,0.96851456
1.443687,21.722008,1.1121665,0.98200554
2.156735,38.783802,2.129728,0.9169372
1.6051589,33.683537,1.6118691,0.9492689
0.14878732,20.764349,1.0260302,0.98891306
2.2518091,49.45099,2.7678626,0.935121
2.708316,36.914795,1.9065555,0.95809305
2.6833231,32.555763,1.8041496,0.93985784
2.002547,31.663986,1.620942,0.9646231
0.5917833,40.54502,2.2098236,0.9714126
2.205987,27.892242,1.4732795,0.9632808
1.9177006,30.786766,1.5829397,0.96586156
1.8714458,24.758224,1.2441612,0.97577345
2.336431,47.691437,2.4512842,0.93503046
1.0422376,35.404854,1.6710672,0.92466223
0.6143078,18.32655,0.9445466,0.988336
0.686884,14.091556,0.7309708,0.9908339
2.430526,43.340546,2.2332275,0.9439296
0.65846944,18.931423,0.9393102,0.98645437
0.9872847,26.846128,1.3851734,0.9698588
0.9645588,16.378124,0.82586104,0.98876405
0.93616825,47.636097,2.296047,0.8732935
2.3731887,41.28943,2.1401992,0.9374637
2.7594774,39.27848,2.1462088,0.93327963
0.44846314,14.551828,0.7450228,0.991693
2.6950235,39.31794,1.9975461,0.9474973
0.24950571,11.674228,0.59420097,0.99453926
0.9829356,15.367052,0.7600277,0.9910592
1.9035624,43.120888,2.054712,0.8910917
0.6064002,13.141555,0.6579544,0.99214756
2.733755,52.815422,2.8221405,0.86550474
0.14855623,13.667074,0.6758938,0.99413264
1.2590743,27.548485,1.4999219,0.98067683
1.3614765,23.285543,1.2182893,0.97624516
2.1557927,36.5838,1.8181018,0.9572731
2.8602512,71.23909,3.6944604,0.80507034
2.028601,32.820858,1.6341978,0.9689515
1.3624476,29.868107,1.5930536,0.9724327
1.8686877,29.436348,1.5194534,0.9745382
2.9602993,51.19289,2.7749865,0.8918803
1.8183719,27.337162,1.385473,0.97320634
1.1739948,17.150412,0.86935806,0.9874781
2.6445837,43.01355,2.1545634,0.9477863
0.2088378,24.269333,1.263016,0.9875709
2.673053,55.8992,2.984987,0.8310251
0.66966236,24.40519,1.2080518,0.9694258
2.3876605,61.14197,3.2534351,0.8645437
2.5598211,37.87386,1.8624365,0.95700467
0.43679947,14.969175,0.78661823,0.99124306
2.5253618,52.859318,2.7281942,0.8108915
0.22395465,9.579727,0.49961334,0.9960924
1.6569362,36.89466,1.8245078,0.96092963
1.4949557,30.82336,1.6278074,0.9690417
2.510848,60.358246,3.1907825,0.8963628
2.2404764,59.79988,3.1129775,0.88956404
1.1361783,30.11935,1.5230548,0.9738147
2.968933,58.565403,3.0948238,0.8594674
2.3771858,34.099174,1.7035412,0.961233
2.9353874,54.91568,2.8920364,0.9040907
1.9130508,32.34297,1.795131,0.9457153
1.0364941,19.778862,0.9944854,0.98686564
1.5031765,45.234577,2.254728,0.8533925
1.7039821,33.846336,1.8206946,0.96063864
1.7211576,35.045227,1.7036766,0.930827
1.4916073,29.396374,1.5287101,0.968128
1.4311818,30.960419,1.6542726,0.9685762
2.814414,39.210625,2.1235523,0.95348144
2.9950552,42.325108,2.2287865,0.93835264
1.7064736,32.16597,1.5512223,0.97455084
1.8180157,37.940254,2.063732,0.9326724
2.057519,39.83989,1.9098463,0.9025028
0.4305247,18.325771,0.90591323,0.9886253
2.5567093,50.91423,2.7120776,0.90169775
1.3828757,22.236351,1.1866213,0.9771869
0.7977511,29.836838,1.3966182,0.944378
2.4004428,31.937843,1.6740445,0.9664665
2.7258437,59.16918,3.165172,0.8760421
1.9975162,32.525,1.782078,0.95155305
0.9509056,36.74315,1.8353199,0.9549023
0.18294679,19.50862,0.9989194,0.99071574
1.3302058,25.986126,1.3103563,0.9793116
2.2752607,42.19913,2.3169785,0.9539745
0.73452556,18.07799,0.96949226,0.98737323
1.243657,46.614624,2.2615557,0.8535366
1.0825999,27.607502,1.4148375,0.9737461
2.307262,38.76055,2.0842626,0.9535338
1.7719145,29.444578,1.59804,0.96220106
2.813035,74.955505,3.8744376,0.85904026
2.9815812,79.47902,4.146648,0.8134855
1.1445782,33.176872,1.6628197,0.9832766
1.1134106,31.3609,1.6283712,0.97438306
2.619335,60.36786,3.2814574,0.91933763
2.0092292,29.680874,1.4949409,0.96953297
0.31649622,21.218708,1.010496,0.9882661
2.5502439,42.177757,2.1411376,0.955035
0.42555138,20.933002,1.046947,0.9901884
2.2974336,39.73545,2.1423562,0.9595085
1.4515226,28.964634,1.4723443,0.9768251
2.1849444,35.945885,1.9026594,0.9598277
2.434255,41.89084,2.218808,0.9591529
2.447298,43.28474,2.259571,0.95425
2.2690103,28.726105,1.4512888,0.96146846
0.29247338,15.96585,0.7633674,0.9896981
0.58967346,18.09077,0.9200888,0.9910581
1.9603499,28.289623,1.4822626,0.97472465
2.9117024,53.591763,2.7231004,0.87628794
0.29692826,19.150465,1.0153685,0.9880142
1.301834,33.525764,1.6729785,0.97008747
2.1081307,28.332375,1.601902,0.9635994
1.8213018,28.20221,1.5086235,0.9774139
2.8183126,37.54456,1.8746036,0.9562806
2.1548324,25.513332,1.4409838,0.97209567
2.095639,38.14279,1.9004184,0.9758436
0.11697472,12.306193,0.62944543,0.9955078
1.724787,27.569878,1.3999265,0.98039025
0.7062179,16.828457,0.86348933,0.9912274
2.0946329,29.364594,1.5958741,0.96588075
0.18320386,16.364088,0.8310864,0.9951001
0.947727,15.670011,0.8161979,0.9912802
0.21936813,13.851176,0.7305748,0.9910711
0.91472834,17.55436,0.9475174,0.9893542
0.11520419,32.221874,1.5026553,0.9418695
2.3197794,58.381004,3.172746,0.91521525
0.9841206,35.299896,1.6753484,0.9273257
2.9536302,54.373486,2.81027,0.9366245
0.26367477,13.36714,0.6771756,0.9926033
2.3436928,44.62174,2.3128798,0.94992036
0.34461135,21.547184,1.1002067,0.98679507
2.000602,33.615616,1.7531022,0.965084
0.34279782,20.148563,0.9985731,0.98611677
2.1921244,32.737926,1.6582612,0.9684001
2.215116,44.368046,2.3105595,0.9504934
2.295527,42.551624,2.111922,0.9486655
1.9031587,46.334053,2.5232255,0.95005983
2.545753,41.870613,2.2420092,0.9404443
0.6156144,29.448078,1.472513,0.9723846
1.8110226,37.37847,1.9204955,0.9510969
0.50165737,31.83955,1.5992253,0.9696787
1.7719133,37.914734,1.8556751,0.96058697
0.7352188,16.804253,0.81622106,0.9878858
2.8388557,59.400593,3.1147897,0.9126257
0.19208911,23.805906,1.1661857,0.98340553
2.3833234,58.93091,3.0797083,0.90098953
1.4875097,44.583797,2.2968228,0.9572461
1.5006603,46.41104,2.4027774,0.9462983
2.82302,49.159943,2.630318,0.89690936
0.6490699,50.649094,2.6439173,0.9510723
0.49806863,22.583857,1.1140058,0.9811385
2.8050072,47.5677,2.3976398,0.9320155
2.119666,24.094048,1.3573138,0.9749132
0.6466609,26.37096,1.2290994,0.9588899
2.2673676,33.082687,1.8241735,0.94064915
0.85667026,36.632225,1.8418064,0.96858275
2.2839975,28.311132,1.5769696,0.96036565
0.17444167,14.205961,0.7019948,0.99444366
2.771486,34.330727,1.8295507,0.9549707
0.20130336,9.011604,0.4608824,0.9966818
2.8296738,44.75736,2.2217412,0.94783854
1.8621762,31.014507,1.5618058,0.9721868
1.1972036,30.58033,1.5070066,0.9730821
2.463277,38.90838,2.0331182,0.93930775
1.285253,20.795792,1.0950023,0.98361
1.8404045,51.11422,2.523816,0.8324659
1.0523666,30.277386,1.5633817,0.97225523
2.827025,39.258533,1.9791664,0.9450367
0.484107,22.920334,1.1510482,0.98835576
1.7299633,28.154762,1.5125073,0.9721118
1.5038015,51.729027,2.7307682,0.94996315
2.0716548,36.577675,1.8331851,0.9478516
1.5927727,21.781218,1.2679994,0.97004807
2.1328092,56.343,3.0034287,0.9377023
1.9214882,16.839653,0.91925204,0.9853998
0.74203944,29.780094,1.5015867,0.9756385
2.3466039,34.70642,1.7622011,0.97021115
0.6587849,10.91083,0.5654835,0.9947588
2.570302,40.593754,2.034413,0.9590442
1.8268228,26.195972,1.2775657,0.97930443
2.0704443,19.060589,1.0776812,0.977736
2.7734613,46.795654,2.3851142,0.9276364
2.1290057,21.908865,1.2172662,0.9766845
2.3619192,53.27027,2.6428654,0.85264415
0.5814626,15.451012,0.775051,0.99159044
2.3370328,24.945156,1.4174538,0.964828
2.8442,58.637306,2.890209,0.79705703
2.5311995,23.914673,1.3450441,0.96184427
2.5224335,60.737396,3.0318751,0.7647562
1.6015397,16.048677,0.88328874,0.98901224
2.3289804,41.47915,2.0771976,0.9526087
2.6146743,31.4899,1.7495996,0.95523894
1.4087553,15.583392,0.83213997,0.9886477
1.5800675,60.55073,2.9056575,0.79187113
0.38615647,10.088472,0.53289366,0.995358
0.57542074,31.588406,1.5944501,0.97441286
1.2057631,36.932144,1.8935802,0.97057205
0.39547494,27.645107,1.3900695,0.9791752
2.049673,52.00055,2.8397639,0.9442863
2.6568465,35.546185,1.9541024,0.9185115
0.5288276,9.971285,0.54235154,0.9949653
0.62414116,30.833649,1.507134,0.96799123
1.4620214,14.405687,0.7577387,0.98924613
