transform_param,l1_distance,l2_distance,cosine_similarity
1.2771748,252.86864,5.2547374,0.97375035
0.45805454,252.86864,5.2547374,0.95490867
2.3347714,252.86864,5.2547374,0.9773712
2.6074939,252.86864,5.2547374,0.9449857
2.8742507,252.86864,5.2547374,0.9621737
0.9508515,252.86864,5.2547374,0.9846107
0.95675707,252.86864,5.2547374,0.98495007
1.2033031,252.86864,5.2547374,0.987955
2.6328638,344.98846,6.9473367,0.6925005
2.3946187,344.98846,6.9473367,0.97314507
2.858346,344.98846,6.9473367,0.94454134
1.3119524,344.98846,6.9473367,0.98015714
1.9005554,344.98846,6.9473367,0.9123169
1.0211383,344.98846,6.9473367,0.97270066
2.7395172,344.98846,6.9473367,0.9143109
1.6883938,344.98846,6.9473367,0.95806855
2.6737669,414.11902,8.568597,0.90574706
1.7302597,414.11902,8.568597,0.9123138
2.776188,414.11902,8.568597,0.94111955
1.2619066,414.11902,8.568597,0.9738317
2.659981,414.11902,8.568597,0.9532961
2.9551337,414.11902,8.568597,0.96151817
2.3788283,414.11902,8.568597,0.9157673
2.9262547,414.11902,8.568597,0.9151257
2.5553014,316.87958,6.542493,0.97217035
0.85845006,316.87958,6.542493,0.9919296
0.4217806,316.87958,6.542493,0.9767163
2.7804735,316.87958,6.542493,0.90638006
1.9602251,316.87958,6.542493,0.96028066
1.6157624,316.87958,6.542493,0.9542477
2.6460612,316.87958,6.542493,0.9171668
1.5474408,316.87958,6.542493,0.926069
1.5840503,297.04102,5.9243126,0.9685234
2.1286192,297.04102,5.9243126,0.95715
1.0006146,297.04102,5.9243126,0.9838459
0.6859015,297.04102,5.9243126,0.919982
1.7652584,297.04102,5.9243126,0.97960055
2.5984652,297.04102,5.9243126,0.97932625
1.2174476,297.04102,5.9243126,0.9739343
1.5909841,297.04102,5.9243126,0.9800753
1.6919498,301.10776,6.0111523,0.9537389
1.0691606,301.10776,6.0111523,0.9414383
1.9142464,301.10776,6.0111523,0.97711104
2.0604856,301.10776,6.0111523,0.9788858
0.7128099,301.10776,6.0111523,0.99150056
0.7991267,301.10776,6.0111523,0.99320555
1.8798993,301.10776,6.0111523,0.9711499
2.6502595,301.10776,6.0111523,0.9349661
0.83966714,233.96579,5.150855,0.9922795
1.2280962,233.96579,5.150855,0.97621024
1.4742318,233.96579,5.150855,0.9822759
0.41975093,233.96579,5.150855,0.99613845
1.4697849,233.96579,5.150855,0.9210055
1.2451789,233.96579,5.150855,0.97575617
0.2858015,233.96579,5.150855,0.9949691
1.1208564,233.96579,5.150855,0.9940618
2.9084892,341.76324,7.241324,0.95763445
0.9009693,341.76324,7.241324,0.98537064
1.6632489,341.76324,7.241324,0.9753902
1.7972964,341.76324,7.241324,0.96676916
2.9769523,341.76324,7.241324,0.8820174
1.9119803,341.76324,7.241324,0.9495382
1.393273,341.76324,7.241324,0.9522986
0.6782767,341.76324,7.241324,0.9473045
0.9112028,254.44824,5.3409567,0.9861149
1.3853645,254.44824,5.3409567,0.9689496
2.624025,254.44824,5.3409567,0.8360702
0.7856998,254.44824,5.3409567,0.98534584
1.1489707,254.44824,5.3409567,0.97903955
2.557045,254.44824,5.3409567,0.9127152
2.0407944,254.44824,5.3409567,0.9649098
0.52173656,254.44824,5.3409567,0.9955688
1.4721537,317.47537,6.178187,0.97230476
0.88989604,317.47537,6.178187,0.9830394
2.207176,317.47537,6.178187,0.9182534
2.40297,317.47537,6.178187,0.9630256
2.3228238,317.47537,6.178187,0.98210794
1.5681628,317.47537,6.178187,0.9746175
2.527856,317.47537,6.178187,0.96605057
1.6906607,317.47537,6.178187,0.95359445
0.7002815,278.2459,5.5600667,0.9817972
1.9147656,278.2459,5.5600667,0.9738264
1.8202622,278.2459,5.5600667,0.9702791
0.9656532,278.2459,5.5600667,0.9534775
2.2204351,278.2459,5.5600667,0.96246773
0.73217475,278.2459,5.5600667,0.98161614
0.9213077,278.2459,5.5600667,0.9389702
1.4499503,278.2459,5.5600667,0.9793118
1.31878,312.47467,6.4009786,0.97690785
2.3526602,312.47467,6.4009786,0.9538382
1.5588744,312.47467,6.4009786,0.9665675
1.0645447,312.47467,6.4009786,0.96870184
1.151659,312.47467,6.4009786,0.98398346
2.0621488,312.47467,6.4009786,0.8077666
1.9073418,312.47467,6.4009786,0.9506706
2.700632,312.47467,6.4009786,0.9638885
2.0242054,321.82935,9.159358,0.92491984
0.16807967,321.82935,9.159358,0.99648
1.9701613,321.82935,9.159358,0.9247344
0.759173,321.82935,9.159358,0.99393606
2.7753541,321.82935,9.159358,0.40916282
0.9691878,321.82935,9.159358,0.9876394
0.94994944,321.82935,9.159358,0.98829246
1.4981707,321.82935,9.159358,0.95749927
0.10802141,249.30011,5.2392187,0.9945515
2.6547275,249.30011,5.2392187,0.9152132
0.8264699,249.30011,5.2392187,0.9862027
0.3690297,249.30011,5.2392187,0.9968637
1.8558536,249.30011,5.2392187,0.9802201
2.1168532,249.30011,5.2392187,0.9714642
2.2012804,249.30011,5.2392187,0.97478867
1.1067467,249.30011,5.2392187,0.9874464
0.73321176,296.91507,6.798069,0.99202925
2.3955908,296.91507,6.798069,0.89685065
2.9219263,296.91507,6.798069,0.95692277
0.6258524,296.91507,6.798069,0.9951637
0.26973343,296.91507,6.798069,0.99700475
0.80744624,296.91507,6.798069,0.801277
2.502191,296.91507,6.798069,0.89880335
1.3775386,296.91507,6.798069,0.98126787
0.4237104,244.7231,5.2802334,0.9961664
1.270968,244.7231,5.2802334,0.9153411
1.6183873,244.7231,5.2802334,0.9630765
1.951394,244.7231,5.2802334,0.9778336
1.8542778,244.7231,5.2802334,0.9245695
0.1536721,244.7231,5.2802334,0.9914739
2.09897,244.7231,5.2802334,0.9537604
0.2972366,244.7231,5.2802334,0.9938473
1.3728888,275.278,6.3742566,0.9712319
1.1414897,275.278,6.3742566,0.9891284
0.111335754,275.278,6.3742566,0.9987908
2.1478484,275.278,6.3742566,0.89870024
1.364978,275.278,6.3742566,0.97760296
0.73240805,275.278,6.3742566,0.9661646
2.7719119,275.278,6.3742566,0.8692279
2.7563984,275.278,6.3742566,0.87808704
1.4842548,253.46666,5.315614,0.9779216
1.0683995,253.46666,5.315614,0.993178
0.9973622,253.46666,5.315614,0.9849491
2.0805483,253.46666,5.315614,0.95541173
2.6183395,253.46666,5.315614,0.97547734
2.7388437,253.46666,5.315614,0.9294976
0.42242727,253.46666,5.315614,0.99109733
1.982527,253.46666,5.315614,0.97938275
1.0233487,284.11566,5.880958,0.9840997
1.4804027,284.11566,5.880958,0.96745956
1.3383756,284.11566,5.880958,0.87170565
0.72185695,284.11566,5.880958,0.9739882
2.2054286,284.11566,5.880958,0.9431074
0.1104951,284.11566,5.880958,0.9966947
2.1311948,284.11566,5.880958,0.9574639
2.1588423,284.11566,5.880958,0.97844374
2.4844053,273.31848,5.5848293,0.9676659
2.558285,273.31848,5.5848293,0.9809389
0.39471948,273.31848,5.5848293,0.9967805
1.4161094,273.31848,5.5848293,0.9265797
1.8281075,273.31848,5.5848293,0.96126366
1.0543633,273.31848,5.5848293,0.98289514
2.5106683,273.31848,5.5848293,0.9322479
1.2411547,273.31848,5.5848293,0.9779068
1.5592054,340.7444,7.351171,0.94389063
0.49970287,340.7444,7.351171,0.9910397
0.2670459,340.7444,7.351171,0.98828274
1.4380203,340.7444,7.351171,0.9876195
2.9200494,340.7444,7.351171,0.9554524
2.977747,340.7444,7.351171,0.9390373
2.515385,340.7444,7.351171,0.95680904
0.4935297,340.7444,7.351171,0.9909785
0.6147028,332.96436,6.798076,0.99249417
2.6326368,332.96436,6.798076,0.95850825
1.4921663,332.96436,6.798076,0.9771218
2.2548065,332.96436,6.798076,0.9630074
1.7066603,332.96436,6.798076,0.96822876
2.6856098,332.96436,6.798076,0.9775178
2.0679317,332.96436,6.798076,0.94901615
1.196018,332.96436,6.798076,0.9722506
0.87801135,321.95154,7.08878,0.99526644
1.2230488,321.95154,7.08878,0.9472722
1.8268166,321.95154,7.08878,0.9621538
2.6010509,321.95154,7.08878,0.94618046
0.8197582,321.95154,7.08878,0.989225
2.4951992,321.95154,7.08878,0.9293976
2.0275192,321.95154,7.08878,0.9542639
2.629769,321.95154,7.08878,0.92767537
2.5361593,188.56921,3.9583814,0.9712982
2.6106088,188.56921,3.9583814,0.973619
1.068224,188.56921,3.9583814,0.98356193
0.7020977,188.56921,3.9583814,0.99348235
1.0781505,188.56921,3.9583814,0.9866739
0.16060606,188.56921,3.9583814,0.99820685
0.9080413,188.56921,3.9583814,0.99307096
1.0342185,188.56921,3.9583814,0.9842372
1.4574138,245.33243,7.21068,0.9755508
