transform_param,l1_distance,l2_distance,cosine_similarity
2.7157762,79.82456,3.747514,0.9813955
1.7822335,148.7209,6.746843,0.97257787
1.9353386,86.548836,4.0243597,0.98544115
1.4904475,81.175995,3.7229393,0.9816804
0.8790707,83.41551,3.8454895,0.9877435
2.293738,138.14752,6.5421953,0.9496062
1.2259525,52.49849,2.4167607,0.9918005
2.677872,81.44393,3.9031236,0.97933656
1.5301067,155.03168,7.013646,0.96901065
2.6482692,128.59247,6.0390654,0.9614453
1.2035534,77.20137,3.624204,0.9827403
0.2363854,23.517597,1.0742102,0.99843824
0.959846,118.56702,5.334413,0.98272705
1.8487085,95.42914,4.394182,0.9801481
0.8539827,38.537476,1.777496,0.99562126
1.8354206,108.77559,5.1787586,0.97915787
2.1040955,67.10257,3.1275842,0.9871327
1.4446995,92.99327,4.3232455,0.9864875
1.5755256,71.68216,3.2767339,0.98494786
0.40887862,92.66622,4.3531747,0.9850769
2.932301,142.34692,6.7597327,0.9450287
2.7367754,115.10307,5.320534,0.9743788
2.9096847,106.434265,5.0227365,0.96291876
0.13421038,15.900421,0.7260666,0.99932367
1.3941101,76.252975,3.5062063,0.9852189
0.16948183,16.501865,0.7551695,0.99925774
1.7090088,92.930565,4.2904077,0.9816646
0.864157,43.632896,2.031461,0.9945402
1.6207831,75.249245,3.4681783,0.98392993
2.6397853,109.94777,5.1713862,0.9660296
0.24791804,21.750204,1.006709,0.99872273
0.91408247,81.80459,3.824148,0.99020773
2.2003908,65.0263,3.0037735,0.98804307
0.15066928,33.869385,1.5654528,0.99786025
2.1730156,67.507996,3.1446013,0.9864732
2.017795,110.53817,5.127519,0.9807714
0.8852147,52.026833,2.3492317,0.9929415
1.4603728,96.19614,4.4698496,0.9803442
2.6705775,139.27602,6.5441875,0.9638959
0.99773043,53.200935,2.4666233,0.9917638
0.55111486,58.898827,2.6526926,0.9926374
2.1500676,122.05962,5.8391814,0.9724501
0.60413975,46.512474,2.1456404,0.99417853
2.654739,125.78818,5.8564353,0.965806
0.7491465,65.26053,3.026456,0.99210244
1.8627846,117.09573,5.462111,0.963346
1.6978357,100.78072,4.6305118,0.9807922
1.6486518,135.93768,6.2660766,0.9656923
1.0059694,71.915115,3.3425946,0.986869
0.78025633,94.25782,4.4423475,0.9851607
2.1581078,97.58545,4.562541,0.9764338
0.3117858,22.69328,1.0476121,0.9984535
1.7966805,123.8478,5.8088865,0.97750986
1.1332704,113.02052,5.3315005,0.97813714
2.3636332,102.888,4.7716956,0.97494507
1.4927652,86.528564,4.0062795,0.98127556
0.51907885,56.960415,2.6494565,0.9916878
0.28979272,50.518387,2.3402567,0.9950447
0.14215668,15.799139,0.7306237,0.99926156
1.7335371,94.62198,4.4189034,0.9780085
1.1609508,47.789585,2.2145798,0.9932842
2.0194352,73.014175,3.410491,0.98365843
0.76267457,132.21121,5.93801,0.97744125
2.350405,111.85553,5.195436,0.97683364
1.3229668,54.91359,2.5360684,0.9915369
0.85975176,43.802605,2.013725,0.9946258
1.1544057,89.5048,4.4603505,0.98716134
2.1594913,74.73092,3.5001664,0.98373336
2.634724,114.035095,5.322205,0.96950126
0.1255271,12.959906,0.591031,0.99953794
0.7354699,50.315834,2.3182719,0.99343604
1.2903296,74.37424,3.4002926,0.9881789
0.47022212,88.63764,4.0886474,0.98563546
1.9952742,77.246506,3.6292052,0.9814215
0.7126487,33.428883,1.5246632,0.99692476
0.73849344,96.923996,4.5709143,0.9848614
1.5999933,108.85917,5.06234,0.9789902
0.4660151,70.47964,3.2436774,0.9908635
2.848204,146.94586,6.908903,0.9535207
0.5824345,28.528313,1.3069171,0.9977525
2.5804107,126.26431,5.8460774,0.96954465
2.8754485,109.76545,5.1780357,0.968455
0.7907072,58.23908,2.6774862,0.98978037
2.8682585,143.99527,6.965307,0.9630596
2.8665543,95.664116,4.571676,0.97144645
0.46585897,35.19725,1.5924735,0.996702
2.3893456,162.07838,7.377269,0.9659253
1.9412743,76.15691,3.4882083,0.98344886
1.6129361,50.042675,2.3243861,0.99235755
1.6007527,72.2038,3.3397262,0.98480076
0.33218476,31.433577,1.4313473,0.9972983
1.9228407,123.45674,5.8306713,0.97215724
2.4176822,73.611755,3.5352023,0.98320806
0.93481606,129.32693,5.903461,0.9790538
2.731101,89.324234,4.324177,0.973851
2.901292,161.17636,7.4942384,0.95697695
2.7065036,81.746895,3.8184347,0.97883886
1.8205487,100.69159,4.5762935,0.97911274
1.4463803,62.297367,2.8938265,0.9880061
1.0796102,41.508133,1.9289728,0.9950667
2.3137605,170.28082,7.7908525,0.9624106
1.938365,64.665085,3.072662,0.9866566
2.451689,82.587494,3.985985,0.9769081
2.5760508,126.40192,5.8842587,0.97117347
2.2630253,111.58769,5.193126,0.96651256
2.5244572,79.45088,3.8582294,0.9800924
0.8963499,56.531937,2.5973876,0.9926211
1.9694852,75.90685,3.5366476,0.9833362
0.42654628,67.34455,3.0430443,0.9906026
2.842599,144.27332,6.7618637,0.9630004
2.4115672,127.00159,5.8114104,0.96690667
1.2195438,50.184235,2.3124754,0.9929653
0.4905632,43.302715,1.9758433,0.9952744
0.34081808,22.374056,1.0435514,0.998626
2.4168146,101.759735,4.833833,0.9710083
0.84292316,67.51439,3.090191,0.99013823
0.96802455,36.49603,1.714103,0.9958163
2.0430036,104.74776,5.0376825,0.982568
