transform_param,l1_distance,l2_distance,cosine_similarity
0.9194534,10548.4375,244.77832,0.9705373
2.1236475,10548.4375,244.77832,0.9451192
2.7623644,10548.4375,244.77832,0.96716344
2.6533163,10548.4375,244.77832,0.9405123
0.32954153,10548.4375,244.77832,0.9938361
0.14568272,10548.4375,244.77832,0.9987538
2.5472496,10548.4375,244.77832,0.9370549
2.3569956,10548.4375,244.77832,0.9480876
2.5375884,12214.79,265.27676,0.8771431
0.63257515,12214.79,265.27676,0.9896138
2.6346164,12214.79,265.27676,0.9364296
0.9331469,12214.79,265.27676,0.9705105
2.7180543,12214.79,265.27676,0.90945965
2.117093,12214.79,265.27676,0.960148
1.436703,12214.79,265.27676,0.9518335
2.614724,12214.79,265.27676,0.96196395
0.5841303,9980.889,219.19745,0.9877547
0.5905809,9980.889,219.19745,0.99363554
1.1741278,9980.889,219.19745,0.9754174
2.462472,9980.889,219.19745,0.95054793
2.4995666,9980.889,219.19745,0.9642284
0.65741295,9980.889,219.19745,0.9869481
0.98682654,9980.889,219.19745,0.9605469
1.2514772,9980.889,219.19745,0.965523
2.3447459,13270.574,321.31787,0.9636444
2.5973675,13270.574,321.31787,0.94232005
0.10614857,13270.574,321.31787,0.99938124
2.7468214,13270.574,321.31787,0.9442651
2.9138398,13270.574,321.31787,0.86941576
2.7764611,13270.574,321.31787,0.92558724
2.1158035,13270.574,321.31787,0.94849044
0.336164,13270.574,321.31787,0.997301
2.5154142,11338.875,258.88522,0.9400947
1.750947,11338.875,258.88522,0.9819505
0.5251566,11338.875,258.88522,0.98486876
2.077211,11338.875,258.88522,0.92420685
2.759271,11338.875,258.88522,0.94515395
0.8554964,11338.875,258.88522,0.98400164
0.29616016,11338.875,258.88522,0.9917772
1.9765846,11338.875,258.88522,0.9395147
2.8475149,8809.367,196.66075,0.9630015
2.1309426,8809.367,196.66075,0.9670624
2.1789024,8809.367,196.66075,0.9649216
2.3675928,8809.367,196.66075,0.97123736
0.33252415,8809.367,196.66075,0.9939673
0.21236588,8809.367,196.66075,0.99716604
2.1614296,8809.367,196.66075,0.97506046
1.0492935,8809.367,196.66075,0.98482525
0.52254254,8556.24,200.32314,0.98902917
2.4604745,8556.24,200.32314,0.927685
0.46461993,8556.24,200.32314,0.9941221
2.0999737,8556.24,200.32314,0.9483122
0.5856229,8556.24,200.32314,0.99254084
2.5411415,8556.24,200.32314,0.9428105
1.8823293,8556.24,200.32314,0.9710461
0.6655587,8556.24,200.32314,0.9926146
2.6043322,11127.072,238.37337,0.95505583
2.5181649,11127.072,238.37337,0.96600294
0.67717326,11127.072,238.37337,0.9795657
1.7140708,11127.072,238.37337,0.9665221
0.8690929,11127.072,238.37337,0.97393423
2.3079045,11127.072,238.37337,0.95017517
1.9431334,11127.072,238.37337,0.87183297
0.5921032,11127.072,238.37337,0.9885202
0.8415835,12643.928,269.2039,0.9718596
1.5498376,12643.928,269.2039,0.9596692
2.5442376,12643.928,269.2039,0.80043495
1.0996008,12643.928,269.2039,0.957179
2.4606328,12643.928,269.2039,0.96614206
2.5785296,12643.928,269.2039,0.9371406
0.82953805,12643.928,269.2039,0.98062897
1.2941304,12643.928,269.2039,0.97911185
0.6505129,7963.4976,200.19319,0.99152505
2.0074582,7963.4976,200.19319,0.92387575
2.1620803,7963.4976,200.19319,0.9480481
0.13388523,7963.4976,200.19319,0.9988818
1.3859544,7963.4976,200.19319,0.98832077
2.0621939,7963.4976,200.19319,0.9750395
2.0097256,7963.4976,200.19319,0.9702633
0.14059247,7963.4976,200.19319,0.99852145
2.8794327,10583.647,242.25536,0.9689423
2.1836698,10583.647,242.25536,0.95930535
1.9782574,10583.647,242.25536,0.9511655
1.3321842,10583.647,242.25536,0.9710239
0.7006107,10583.647,242.25536,0.9863857
0.8710379,10583.647,242.25536,0.98187333
0.39355853,10583.647,242.25536,0.99656475
2.4518025,10583.647,242.25536,0.921831
2.3441312,10321.777,228.29282,0.9499941
0.19931509,10321.777,228.29282,0.9982556
2.4839919,10321.777,228.29282,0.95804465
2.9276867,10321.777,228.29282,0.9640823
2.4807465,10321.777,228.29282,0.95880437
1.7837625,10321.777,228.29282,0.9065215
1.4603691,10321.777,228.29282,0.9734162
1.2614889,10321.777,228.29282,0.9832008
1.4152001,11082.76,236.16266,0.9740979
1.4439129,11082.76,236.16266,0.9851921
1.8342952,11082.76,236.16266,0.96580756
1.1054226,11082.76,236.16266,0.97929907
2.8505733,11082.76,236.16266,0.8528202
1.369413,11082.76,236.16266,0.969936
2.8523288,11082.76,236.16266,0.95557237
2.7539108,11082.76,236.16266,0.97901547
0.73065317,9054.093,205.54721,0.99082196
2.9357138,9054.093,205.54721,0.9482432
0.38329852,9054.093,205.54721,0.9953174
2.139045,9054.093,205.54721,0.96388316
1.0402379,9054.093,205.54721,0.9850934
0.13820606,9054.093,205.54721,0.9990232
2.45536,9054.093,205.54721,0.97444105
2.9831195,9054.093,205.54721,0.95310163
2.9168317,12931.067,277.92505,0.94095993
1.7370371,12931.067,277.92505,0.9615487
2.749708,12931.067,277.92505,0.9570822
2.842282,12931.067,277.92505,0.9564227
1.5098035,12931.067,277.92505,0.9610564
2.606671,12931.067,277.92505,0.9321948
2.3308473,12931.067,277.92505,0.9505938
1.2548616,12931.067,277.92505,0.988505
2.4714828,12115.116,269.5154,0.9531533
2.5420704,12115.116,269.5154,0.7488733
1.0833935,12115.116,269.5154,0.9755707
0.7687178,12115.116,269.5154,0.9903137
2.5594392,12115.116,269.5154,0.9494161
2.2201207,12115.116,269.5154,0.959681
1.3470165,12115.116,269.5154,0.97313964
2.6991017,12115.116,269.5154,0.9743676
2.099239,11189.797,250.14264,0.9582118
0.86855936,11189.797,250.14264,0.9882622
1.5686951,11189.797,250.14264,0.97066975
2.1502764,11189.797,250.14264,0.95581895
1.8174286,11189.797,250.14264,0.9572811
2.1041849,11189.797,250.14264,0.7848369
0.756041,11189.797,250.14264,0.98725295
1.0974116,11189.797,250.14264,0.97787213
2.192705,9211.062,227.54817,0.9618014
0.27450904,9211.062,227.54817,0.99711144
0.8785124,9211.062,227.54817,0.992741
2.2956545,9211.062,227.54817,0.9205187
2.9355102,9211.062,227.54817,0.9819324
2.692308,9211.062,227.54817,0.9491744
1.9753549,9211.062,227.54817,0.8300339
0.2755872,9211.062,227.54817,0.9972993
0.95733106,9144.523,201.62029,0.979943
0.9184875,9144.523,201.62029,0.9776031
1.1503403,9144.523,201.62029,0.97899556
2.7284124,9144.523,201.62029,0.9772725
2.1439035,9144.523,201.62029,0.9405299
0.6471935,9144.523,201.62029,0.98467267
2.0049713,9144.523,201.62029,0.9776357
0.6514774,9144.523,201.62029,0.992404
1.0629486,10100.02,219.15547,0.98224497
2.2790291,10100.02,219.15547,0.97622895
0.37103307,10100.02,219.15547,0.9907974
1.7257315,10100.02,219.15547,0.86242276
2.7772894,10100.02,219.15547,0.9718732
1.015677,10100.02,219.15547,0.98656774
1.5969028,10100.02,219.15547,0.96082866
1.6688676,10100.02,219.15547,0.95292205
2.2196252,10816.056,252.27583,0.92758155
1.1163132,10816.056,252.27583,0.9825646
2.7205992,10816.056,252.27583,0.9608488
2.9406292,10816.056,252.27583,0.93802655
0.53454405,10816.056,252.27583,0.99014944
1.6077337,10816.056,252.27583,0.8717215
2.7935724,10816.056,252.27583,0.96198285
0.26323876,10816.056,252.27583,0.9960447
2.5727305,9639.425,221.54323,0.9598311
2.3746884,9639.425,221.54323,0.9476578
0.28413582,9639.425,221.54323,0.99406666
0.20342761,9639.425,221.54323,0.99841774
1.3354043,9639.425,221.54323,0.9801167
2.3646727,9639.425,221.54323,0.93403184
2.1896853,9639.425,221.54323,0.9317305
0.9640137,9639.425,221.54323,0.970047
1.6999774,11098.998,248.95724,0.9644584
1.8975596,11098.998,248.95724,0.8635237
0.6003042,11098.998,248.95724,0.9847373
0.1682009,11098.998,248.95724,0.99844366
2.691423,11098.998,248.95724,0.94830966
2.709567,11098.998,248.95724,0.94864285
1.5147713,11098.998,248.95724,0.97210455
0.9684811,11098.998,248.95724,0.9756249
2.565458,10898.676,234.33281,0.9604061
1.0132998,10898.676,234.33281,0.975159
0.7984957,10898.676,234.33281,0.9868563
1.1309413,10898.676,234.33281,0.9735372
0.6359761,10898.676,234.33281,0.98133355
0.53840524,10898.676,234.33281,0.9921962
2.6504846,10898.676,234.33281,0.95066535
0.98489636,10898.676,234.33281,0.9687616
2.3479877,12167.433,268.9862,0.9251723
1.471795,12167.433,268.9862,0.98939806
0.75346565,12167.433,268.9862,0.9878768
1.2518783,12167.433,268.9862,0.95982075
2.231606,12167.433,268.9862,0.9456594
2.9655,12167.433,268.9862,0.94637537
2.4145129,12167.433,268.9862,0.96224993
1.6179143,12167.433,268.9862,0.965811
0.44981575,7976.659,180.59549,0.9925886
1.7908617,7976.659,180.59549,0.915766
1.6562593,7976.659,180.59549,0.96872914
2.3027458,7976.659,180.59549,0.9706823
0.33665222,7976.659,180.59549,0.9961714
0.8314903,7976.659,180.59549,0.98688245
0.5784873,7976.659,180.59549,0.99186414
1.5402969,7976.659,180.59549,0.95866597
2.2501495,9816.999,208.60695,0.9657066
2.3380902,9816.999,208.60695,0.96547955
1.7260092,9816.999,208.60695,0.969702
1.5589406,9816.999,208.60695,0.97459
2.8362434,9816.999,208.60695,0.9607911
1.9678261,9816.999,208.60695,0.9562667
1.5605037,9816.999,208.60695,0.9700197
1.235205,9816.999,208.60695,0.9780885
2.23579,10665.146,232.15424,0.9661464
2.306342,10665.146,232.15424,0.960373
0.3403521,10665.146,232.15424,0.9958864
2.2316184,10665.146,232.15424,0.94391143
2.3296847,10665.146,232.15424,0.96952736
2.1992953,10665.146,232.15424,0.9530718
0.95079327,10665.146,232.15424,0.95456964
2.1444724,10665.146,232.15424,0.95056415
1.1234202,12047.184,251.4667,0.97530603
1.9707662,12047.184,251.4667,0.9562416
1.2350594,12047.184,251.4667,0.9741878
1.1914774,12047.184,251.4667,0.9759097
2.8045795,12047.184,251.4667,0.9415125
2.9186041,12047.184,251.4667,0.955073
1.3120079,12047.184,251.4667,0.9729081
0.7220503,12047.184,251.4667,0.98535925
1.1973821,8932.238,210.42535,0.9721464
2.0113907,8932.238,210.42535,0.9608271
0.5454993,8932.238,210.42535,0.9949146
2.3944309,8932.238,210.42535,0.95058155
2.9391716,8932.238,210.42535,0.9501488
1.2296859,8932.238,210.42535,0.97634125
1.8569206,8932.238,210.42535,0.95041907
0.14510337,8932.238,210.42535,0.9991876
2.4006639,7038.535,155.50569,0.97224814
0.42174202,7038.535,155.50569,0.9888452
2.0589757,7038.535,155.50569,0.9642758
0.22296089,7038.535,155.50569,0.9960077
0.28050473,7038.535,155.50569,0.9950037
1.4944073,7038.535,155.50569,0.97807795
0.18603572,7038.535,155.50569,0.99791735
2.2416239,7038.535,155.50569,0.96910715
0.40281066,10155.439,238.43858,0.9926851
2.1440284,10155.439,238.43858,0.955449
1.1481186,10155.439,238.43858,0.9824002
0.96984243,10155.439,238.43858,0.9767747
0.9947877,10155.439,238.43858,0.99016815
1.6039827,10155.439,238.43858,0.9303098
2.7417238,10155.439,238.43858,0.94682705
0.70701414,10155.439,238.43858,0.9911967
1.2461845,10586.396,232.59315,0.97224635
0.3736023,10586.396,232.59315,0.9879188
1.5647761,10586.396,232.59315,0.97000235
2.4609144,10586.396,232.59315,0.96721196
0.7173723,10586.396,232.59315,0.9869793
2.8535235,10586.396,232.59315,0.9501059
2.9971778,10586.396,232.59315,0.90891606
1.124644,10586.396,232.59315,0.97673124
0.6584845,9984.0625,217.65494,0.9902748
0.91050357,9984.0625,217.65494,0.98797166
2.166696,9984.0625,217.65494,0.9730857
0.33494532,9984.0625,217.65494,0.99387515
2.312133,9984.0625,217.65494,0.9545587
2.417918,9984.0625,217.65494,0.9666915
2.8934798,9984.0625,217.65494,0.9633492
1.4965359,9984.0625,217.65494,0.9732174
2.117669,9775.82,219.21555,0.96893907
0.6747668,9775.82,219.21555,0.9829792
0.88221395,9775.82,219.21555,0.98591423
1.1185802,9775.82,219.21555,0.9789477
1.0232261,9775.82,219.21555,0.97909665
0.7764035,9775.82,219.21555,0.9842871
2.2609005,9775.82,219.21555,0.92480034
0.19280346,9775.82,219.21555,0.9971584
0.5154105,6918.8037,160.48431,0.9888166
0.3012023,6918.8037,160.48431,0.99321485
1.1192455,6918.8037,160.48431,0.98817223
1.8274063,6918.8037,160.48431,0.9652085
0.13207354,6918.8037,160.48431,0.99678916
0.78044516,6918.8037,160.48431,0.99002075
1.8024114,6918.8037,160.48431,0.9617555
0.5018973,6918.8037,160.48431,0.9903524
1.8772609,11009.809,251.13414,0.92425156
2.437529,11009.809,251.13414,0.9543549
1.9418623,11009.809,251.13414,0.97041297
0.4327715,11009.809,251.13414,0.9905106
2.8218234,11009.809,251.13414,0.96872246
1.8530729,11009.809,251.13414,0.9584129
1.9890069,11009.809,251.13414,0.9585285
0.12955607,11009.809,251.13414,0.9986389
2.3558145,9100.314,197.0117,0.9708507
1.1426557,9100.314,197.0117,0.9724264
0.88567007,9100.314,197.0117,0.9855556
2.2291443,9100.314,197.0117,0.9529515
0.5663246,9100.314,197.0117,0.9911804
0.6313129,9100.314,197.0117,0.98779273
1.2648501,9100.314,197.0117,0.956259
1.4219443,9100.314,197.0117,0.97863954
2.244109,10313.496,223.807,0.9649232
1.2210132,10313.496,223.807,0.9727664
2.362029,10313.496,223.807,0.9727094
0.2787603,10313.496,223.807,0.9938509
1.2251239,10313.496,223.807,0.9825463
1.9440807,10313.496,223.807,0.9564197
2.5695698,10313.496,223.807,0.9516109
1.1776998,10313.496,223.807,0.98155564
1.380839,13932.18,304.36282,0.9641745
1.044896,13932.18,304.36282,0.98202753
1.8684479,13932.18,304.36282,0.95614624
2.4798756,13932.18,304.36282,0.96063095
0.8180774,13932.18,304.36282,0.9861005
1.8677696,13932.18,304.36282,0.96522224
2.678558,13932.18,304.36282,0.9198462
2.7365954,13932.18,304.36282,0.92144203
1.5824724,9421.465,211.42729,0.9544996
1.0785133,9421.465,211.42729,0.9769462
1.7200239,9421.465,211.42729,0.96352935
1.4373475,9421.465,211.42729,0.9546934
0.45546082,9421.465,211.42729,0.9959576
1.4827589,9421.465,211.42729,0.9755955
2.9195323,9421.465,211.42729,0.9631258
0.27492097,9421.465,211.42729,0.9972321
2.9830043,9295.534,212.31181,0.9523356
0.5714057,9295.534,212.31181,0.99397403
2.6697028,9295.534,212.31181,0.9510639
0.87899226,9295.534,212.31181,0.9828897
1.4257058,9295.534,212.31181,0.96927696
0.8137544,9295.534,212.31181,0.9676023
1.7495583,9295.534,212.31181,0.96224463
0.46618393,9295.534,212.31181,0.9941946
1.1382619,11677.943,255.50182,0.9834696
1.9085189,11677.943,255.50182,0.95957464
1.5364288,11677.943,255.50182,0.97068906
1.599622,11677.943,255.50182,0.9724346
2.779028,11677.943,255.50182,0.9562262
2.0729933,11677.943,255.50182,0.91673964
0.5308677,11677.943,255.50182,0.99240386
1.914488,11677.943,255.50182,0.96665585
1.5358696,12319.619,266.88574,0.97710294
1.1959087,12319.619,266.88574,0.9789227
2.2475798,12319.619,266.88574,0.9494419
2.9913645,12319.619,266.88574,0.9158563
2.290744,12319.619,266.88574,0.9664862
1.9611313,12319.619,266.88574,0.96880484
0.8088145,12319.619,266.88574,0.9875911
1.3230244,12319.619,266.88574,0.96852446
1.5892087,8946.922,236.84947,0.9232838
0.527242,8946.922,236.84947,0.9947581
0.6764414,8946.922,236.84947,0.9877079
2.6206722,8946.922,236.84947,0.8967562
0.56351674,8946.922,236.84947,0.9948972
0.19285156,8946.922,236.84947,0.9984539
2.6599648,8946.922,236.84947,0.8822087
0.93269134,8946.922,236.84947,0.9881291
1.8698564,10575.049,237.66577,0.9693684
2.6129029,10575.049,237.66577,0.95878196
0.9387776,10575.049,237.66577,0.9861269
0.6296558,10575.049,237.66577,0.99009913
1.6135265,10575.049,237.66577,0.95005125
2.766973,10575.049,237.66577,0.93797886
0.14434707,10575.049,237.66577,0.99805474
0.65447927,10575.049,237.66577,0.9890049
2.6355739,9444.816,211.31094,0.9642998
2.4547744,9444.816,211.31094,0.934494
1.2088218,9444.816,211.31094,0.9722227
0.69005495,9444.816,211.31094,0.9811015
0.61642367,9444.816,211.31094,0.99373186
1.7018626,9444.816,211.31094,0.96842074
1.3478098,9444.816,211.31094,0.97943044
0.81666017,9444.816,211.31094,0.9878643
1.5682113,11390.583,257.086,0.95526016
2.478094,11390.583,257.086,0.95627975
2.204267,11390.583,257.086,0.7985713
0.6044446,11390.583,257.086,0.98860526
0.9212285,11390.583,257.086,0.98749876
1.2588193,11390.583,257.086,0.9739471
2.5102103,11390.583,257.086,0.94604456
0.5062383,11390.583,257.086,0.9820528
0.47018072,10568.505,225.43082,0.99283135
2.3159752,10568.505,225.43082,0.9709847
1.2494423,10568.505,225.43082,0.9711139
1.522255,10568.505,225.43082,0.96484935
2.653965,10568.505,225.43082,0.96914065
2.1042569,10568.505,225.43082,0.9567761
1.1996351,10568.505,225.43082,0.9601556
2.6881866,10568.505,225.43082,0.9485728
0.84984547,11299.34,247.57463,0.98819244
1.0779908,11299.34,247.57463,0.96787405
1.5435888,11299.34,247.57463,0.97121227
0.6248005,11299.34,247.57463,0.98351717
0.8861752,11299.34,247.57463,0.98297596
2.6136708,11299.34,247.57463,0.9366311
2.8742838,11299.34,247.57463,0.93505573
0.9260641,11299.34,247.57463,0.9795914
1.2733707,10168.372,217.64366,0.9757973
1.9922957,10168.372,217.64366,0.9711844
1.3905305,10168.372,217.64366,0.97196865
2.357727,10168.372,217.64366,0.969134
2.0031874,10168.372,217.64366,0.94198537
1.3358235,10168.372,217.64366,0.96177244
0.34815586,10168.372,217.64366,0.9917937
0.85688025,10168.372,217.64366,0.9830503
0.46066517,10876.958,240.14998,0.9891623
0.98818016,10876.958,240.14998,0.9853121
1.1253027,10876.958,240.14998,0.9761808
1.5336415,10876.958,240.14998,0.9739772
1.8823081,10876.958,240.14998,0.96273047
1.3891063,10876.958,240.14998,0.9731392
2.029119,10876.958,240.14998,0.9467323
1.4693639,10876.958,240.14998,0.9548524
1.8271763,10881.3,242.34744,0.97723144
1.9791356,10881.3,242.34744,0.9515695
2.2975626,10881.3,242.34744,0.96444714
2.8108776,10881.3,242.34744,0.9367254
1.0364182,10881.3,242.34744,0.96899307
0.46650952,10881.3,242.34744,0.9944025
2.2618568,10881.3,242.34744,0.9645171
0.5715838,10881.3,242.34744,0.98908675
2.6905973,9911.402,232.10953,0.94364685
0.1916412,9911.402,232.10953,0.997004
0.9550487,9911.402,232.10953,0.9819678
1.2131704,9911.402,232.10953,0.9803076
1.4883376,9911.402,232.10953,0.9629493
2.4759445,9911.402,232.10953,0.99999994
1.3533663,9911.402,232.10953,0.9552903
1.9329693,9911.402,232.10953,0.9633831
2.719366,11418.596,257.6678,0.9256366
1.4707713,11418.596,257.6678,0.9587628
2.7315476,11418.596,257.6678,0.9547092
0.18446307,11418.596,257.6678,0.99756527
2.409503,11418.596,257.6678,0.9508436
0.63023067,11418.596,257.6678,0.9818432
2.3447342,11418.596,257.6678,0.95794547
1.2451445,11418.596,257.6678,0.9620969
0.93423927,10275.074,240.79272,0.9788197
2.7694685,10275.074,240.79272,0.8892075
0.14427087,10275.074,240.79272,0.9980031
2.856897,10275.074,240.79272,0.9668713
0.67608535,10275.074,240.79272,0.9876724
0.4328655,10275.074,240.79272,0.98985654
0.464862,10275.074,240.79272,0.9910397
2.5515442,10275.074,240.79272,0.9612547
0.40590346,12726.459,283.84427,0.99133897
1.0842626,12726.459,283.84427,0.9702198
1.5342681,12726.459,283.84427,0.97282827
1.8573158,12726.459,283.84427,0.9437338
1.9413546,12726.459,283.84427,0.9721224
2.3655202,12726.459,283.84427,0.960985
2.835744,12726.459,283.84427,0.9354161
2.3869972,12726.459,283.84427,0.84607226
0.59371907,12967.15,294.4821,0.9834719
2.5490644,12967.15,294.4821,0.81975496
2.701286,12967.15,294.4821,0.9217224
2.5416367,12967.15,294.4821,0.9481372
0.33834344,12967.15,294.4821,0.9938204
2.867241,12967.15,294.4821,0.9385281
2.215137,12967.15,294.4821,0.9596754
1.611905,12967.15,294.4821,0.9612998
1.0083473,13758.029,309.28937,0.9840455
0.8237355,13758.029,309.28937,0.9816152
0.9861684,13758.029,309.28937,0.9795601
1.3173255,13758.029,309.28937,0.9724824
2.4318392,13758.029,309.28937,0.89865077
2.34687,13758.029,309.28937,0.9358571
2.9887526,13758.029,309.28937,0.7615974
1.8594207,13758.029,309.28937,0.95354307
1.9413723,11899.9,251.39444,0.96152717
2.776509,11899.9,251.39444,0.9527316
2.6998425,11899.9,251.39444,0.95589405
1.7529335,11899.9,251.39444,0.9543294
1.8303473,11899.9,251.39444,0.959535
2.638179,11899.9,251.39444,0.9508734
1.2193002,11899.9,251.39444,0.97956884
1.168478,11899.9,251.39444,0.9693723
1.5077074,9488.135,214.47475,0.9606302
2.9585161,9488.135,214.47475,0.9579446
1.8890429,9488.135,214.47475,0.9584165
2.1902957,9488.135,214.47475,0.95589405
0.50732356,9488.135,214.47475,0.99112207
0.62631893,9488.135,214.47475,0.98875207
2.127137,9488.135,214.47475,0.9614538
0.14974928,9488.135,214.47475,0.9981091
0.20462695,8434.401,182.29938,0.99733317
2.7443094,8434.401,182.29938,0.94771314
1.1299419,8434.401,182.29938,0.97663474
1.2554455,8434.401,182.29938,0.97627914
0.74184203,8434.401,182.29938,0.98627007
0.6322661,8434.401,182.29938,0.9876407
2.0364313,8434.401,182.29938,0.9607444
0.96556705,8434.401,182.29938,0.9711084
0.745916,11184.395,242.8004,0.98542154
0.6418521,11184.395,242.8004,0.9850739
1.0311826,11184.395,242.8004,0.97900945
2.1782038,11184.395,242.8004,0.9428842
2.678524,11184.395,242.8004,0.8299085
1.0085168,11184.395,242.8004,0.9790234
2.3366225,11184.395,242.8004,0.9542006
1.9491637,11184.395,242.8004,0.9625577
2.558918,13990.344,315.67273,0.8872309
1.4744189,13990.344,315.67273,0.96191466
1.3268806,13990.344,315.67273,0.97799957
1.670334,13990.344,315.67273,0.9692372
2.5034258,13990.344,315.67273,0.9455572
2.8303442,13990.344,315.67273,0.8777151
1.7494916,13990.344,315.67273,0.97226286
0.8377437,13990.344,315.67273,0.9812516
2.820159,8089.732,179.15953,0.960795
2.617643,8089.732,179.15953,0.96037835
1.0645669,8089.732,179.15953,0.97294486
1.3035644,8089.732,179.15953,0.9762104
0.7626382,8089.732,179.15953,0.98216456
0.34149897,8089.732,179.15953,0.9909971
0.15712288,8089.732,179.15953,0.9975202
0.7521593,8089.732,179.15953,0.9847506
1.2550771,9480.324,208.94174,0.9823442
1.6274804,9480.324,208.94174,0.97027254
0.46732736,9480.324,208.94174,0.9957278
1.4358287,9480.324,208.94174,0.97601
2.021555,9480.324,208.94174,0.9732635
2.811089,9480.324,208.94174,0.95876086
2.979659,9480.324,208.94174,0.96100235
2.9956503,9480.324,208.94174,0.93944645
0.47461197,8784.895,207.81413,0.9912197
2.3661857,8784.895,207.81413,0.908556
1.1562227,8784.895,207.81413,0.9820095
0.6674614,8784.895,207.81413,0.98541415
1.4599358,8784.895,207.81413,0.96945155
0.4111503,8784.895,207.81413,0.9915657
1.5058514,8784.895,207.81413,0.9647578
0.41001362,8784.895,207.81413,0.99087745
2.198152,8690.043,184.63985,0.9638065
0.8129588,8690.043,184.63985,0.9887028
0.9964533,8690.043,184.63985,0.979204
2.9136906,8690.043,184.63985,0.95987105
2.061359,8690.043,184.63985,0.97449493
0.59701836,8690.043,184.63985,0.9847412
2.1697395,8690.043,184.63985,0.9621672
2.019861,8690.043,184.63985,0.96680826
0.38994792,10612.605,246.45064,0.9930949
0.6752762,10612.605,246.45064,0.9884126
1.6918497,10612.605,246.45064,0.97766525
2.977333,10612.605,246.45064,0.94952035
0.8030749,10612.605,246.45064,0.9764677
1.5462036,10612.605,246.45064,0.9354789
1.4183354,10612.605,246.45064,0.9703242
2.8459501,10612.605,246.45064,0.91611916
2.0335538,8535.313,185.6148,0.9779098
2.7365928,8535.313,185.6148,0.9641521
0.15446243,8535.313,185.6148,0.9983944
2.7260811,8535.313,185.6148,0.95476454
1.238244,8535.313,185.6148,0.967596
1.151387,8535.313,185.6148,0.96899724
1.0213062,8535.313,185.6148,0.98077995
0.30786985,8535.313,185.6148,0.9917667
0.8870707,11516.15,249.65314,0.98225343
1.3861365,11516.15,249.65314,0.97047555
1.611811,11516.15,249.65314,0.97078633
2.4996803,11516.15,249.65314,0.9691223
2.830512,11516.15,249.65314,0.94003415
2.913502,11516.15,249.65314,0.93944705
1.754835,11516.15,249.65314,0.9567395
1.0018486,11516.15,249.65314,0.97486264
2.846045,8423.758,183.15314,0.95484746
2.94852,8423.758,183.15314,0.9679402
2.6511662,8423.758,183.15314,0.9519317
1.344893,8423.758,183.15314,0.9752661
0.12564208,8423.758,183.15314,0.9988338
0.49664417,8423.758,183.15314,0.98924065
0.8584345,8423.758,183.15314,0.9823937
2.4371893,8423.758,183.15314,0.95260614
1.3813611,7443.809,169.70433,0.95913607
0.8419655,7443.809,169.70433,0.9740145
1.2705194,7443.809,169.70433,0.96809804
0.45261127,7443.809,169.70433,0.9931093
0.8994959,7443.809,169.70433,0.99058694
1.5554274,7443.809,169.70433,0.98284686
0.12840232,7443.809,169.70433,0.99913615
1.5018587,7443.809,169.70433,0.96930313
1.5953615,12129.992,293.0179,0.96391684
1.877219,12129.992,293.0179,0.97274363
2.5830767,12129.992,293.0179,0.930581
0.1261817,12129.992,293.0179,0.99849534
0.26627722,12129.992,293.0179,0.99429476
2.8469274,12129.992,293.0179,0.91120076
2.7903519,12129.992,293.0179,0.90298015
2.783632,12129.992,293.0179,0.9513915
1.3703352,11248.74,239.40904,0.9762279
1.9746611,11248.74,239.40904,0.9707556
0.9778926,11248.74,239.40904,0.98350817
1.6073011,11248.74,239.40904,0.9734843
2.0517714,11248.74,239.40904,0.97937673
2.0528567,11248.74,239.40904,0.9657209
2.141424,11248.74,239.40904,0.96593654
2.7419994,11248.74,239.40904,0.89724255
0.9062869,10285.884,231.77477,0.9862789
0.2709504,10285.884,231.77477,0.9968555
0.6937318,10285.884,231.77477,0.99189496
2.368096,10285.884,231.77477,0.96859694
1.5691332,10285.884,231.77477,0.95268434
2.3666413,10285.884,231.77477,0.9727094
2.4206762,10285.884,231.77477,0.9346489
